3.092057e-02 -5.583221e-01 2.790560e+00,3.089684e-02 -5.588248e-01 2.787259e+00,3.076413e-02 -5.588158e-01 2.785171e+00,3.000779e-02 -5.585114e-01 2.782056e+00,2.671177e-02 -5.587676e-01 2.774804e+00,2.140539e-02 -5.586301e-01 2.768032e+00,1.923695e-02 -5.588485e-01 2.765747e+00,1.828195e-02 -5.584835e-01 2.763262e+00,1.651857e-02 -5.580343e-01 2.756851e+00,1.540133e-02 -5.570921e-01 2.753549e+00,1.463397e-02 -5.547709e-01 2.744529e+00,1.247845e-02 -5.514418e-01 2.740886e+00,9.456588e-03 -5.329535e-01 2.733947e+00,9.977746e-03 -5.267494e-01 2.732607e+00,9.875818e-03 -5.200586e-01 2.730222e+00,1.077393e-02 -5.191823e-01 2.729711e+00,1.235705e-02 -5.196730e-01 2.728545e+00,1.205041e-02 -5.203595e-01 2.728503e+00,1.239541e-02 -5.227242e-01 2.728104e+00,1.195700e-02 -5.296306e-01 2.727391e+00,1.192322e-02 -5.341730e-01 2.727443e+00,1.581456e-02 -5.459241e-01 2.725432e+00,1.529276e-02 -5.471327e-01 2.725562e+00,1.529425e-02 -5.490313e-01 2.726176e+00,1.573251e-02 -5.509875e-01 2.727217e+00,1.589838e-02 -5.521886e-01 2.729047e+00,1.668153e-02 -5.545622e-01 2.731641e+00,1.849934e-02 -5.555290e-01 2.733123e+00,2.193205e-02 -5.567482e-01 2.734394e+00,2.748433e-02 -5.575317e-01 2.736269e+00,2.868048e-02 -5.576545e-01 2.736746e+00,3.168398e-02 -5.583968e-01 2.738621e+00,3.454183e-02 -5.588503e-01 2.739978e+00,3.516621e-02 -5.588985e-01 2.740298e+00,3.703083e-02 -5.590948e-01 2.741773e+00,3.904438e-02 -5.592330e-01 2.743679e+00,3.982462e-02 -5.592831e-01 2.744141e+00,4.094844e-02 -5.593780e-01 2.745110e+00,4.180603e-02 -5.595271e-01 2.746245e+00,4.210274e-02 -5.594668e-01 2.746753e+00,4.219351e-02 -5.594069e-01 2.746923e+00,4.232205e-02 -5.593356e-01 2.747371e+00,4.234819e-02 -5.592347e-01 2.747569e+00,4.255315e-02 -5.591011e-01 2.748370e+00,4.251228e-02 -5.590719e-01 2.748387e+00
2.925185e-02 -2.665634e-01 2.817397e+00,2.962891e-02 -2.669075e-01 2.813276e+00,2.966831e-02 -2.667998e-01 2.810830e+00,2.946179e-02 -2.663377e-01 2.807597e+00,2.785987e-02 -2.661357e-01 2.800037e+00,2.531058e-02 -2.652842e-01 2.792931e+00,2.443899e-02 -2.649007e-01 2.790140e+00,2.403187e-02 -2.646959e-01 2.786936e+00,2.335312e-02 -2.640779e-01 2.780161e+00,2.294612e-02 -2.626270e-01 2.776650e+00,2.289419e-02 -2.585475e-01 2.767919e+00,2.136701e-02 -2.512927e-01 2.761909e+00,2.096530e-02 -2.343753e-01 2.749558e+00,2.056051e-02 -2.301292e-01 2.745537e+00,1.920059e-02 -2.258589e-01 2.739943e+00,1.751041e-02 -2.255839e-01 2.736458e+00,1.793454e-02 -2.259361e-01 2.736182e+00,1.733198e-02 -2.269539e-01 2.736499e+00,1.602046e-02 -2.319949e-01 2.734046e+00,1.643422e-02 -2.483033e-01 2.728853e+00,1.896135e-02 -2.453735e-01 2.728713e+00,2.524230e-02 -2.401311e-01 2.730015e+00,2.171723e-02 -2.420592e-01 2.732038e+00,2.043996e-02 -2.475375e-01 2.738548e+00,2.141101e-02 -2.518012e-01 2.742785e+00,2.223410e-02 -2.541739e-01 2.745010e+00,2.392679e-02 -2.580370e-01 2.748336e+00,2.535440e-02 -2.593336e-01 2.749933e+00,2.688430e-02 -2.605227e-01 2.751294e+00,3.093928e-02 -2.617238e-01 2.753949e+00,3.188107e-02 -2.621950e-01 2.754756e+00,3.442392e-02 -2.634164e-01 2.757930e+00,3.624196e-02 -2.641229e-01 2.759301e+00,3.679149e-02 -2.643890e-01 2.760229e+00,3.858100e-02 -2.651671e-01 2.762935e+00,3.994020e-02 -2.656332e-01 2.765315e+00,4.050323e-02 -2.659638e-01 2.766300e+00,4.084617e-02 -2.662059e-01 2.767543e+00,4.122441e-02 -2.664290e-01 2.768929e+00,4.138783e-02 -2.665138e-01 2.769582e+00,4.136815e-02 -2.665501e-01 2.769794e+00,4.120000e-02 -2.666174e-01 2.770391e+00,4.110495e-02 -2.666579e-01 2.770866e+00,4.091376e-02 -2.667609e-01 2.771711e+00,4.078187e-02 -2.667405e-01 2.771815e+00
2.740214e-02 1.981749e-02 2.831032e+00,2.829044e-02 1.973287e-02 2.825983e+00,2.851239e-02 1.992782e-02 2.823290e+00,2.884562e-02 2.053022e-02 2.819955e+00,2.890048e-02 2.119072e-02 2.811812e+00,2.867557e-02 2.270135e-02 2.804117e+00,2.916499e-02 2.378665e-02 2.800488e+00,2.946891e-02 2.375215e-02 2.796873e+00,2.986526e-02 2.444666e-02 2.790161e+00,3.022240e-02 2.646096e-02 2.786411e+00,3.083839e-02 3.241117e-02 2.777853e+00,3.058422e-02 4.495495e-02 2.768935e+00,3.278053e-02 6.007839e-02 2.750837e+00,3.100994e-02 6.237631e-02 2.743518e+00,2.910057e-02 6.491778e-02 2.731045e+00,2.002822e-02 6.220029e-02 2.722988e+00,2.117576e-02 6.136955e-02 2.725433e+00,2.042238e-02 5.975701e-02 2.727837e+00,1.734873e-02 5.225053e-02 2.724001e+00,2.011839e-02 2.342443e-02 2.713551e+00,3.678842e-02 5.917156e-02 2.715711e+00,4.325548e-02 7.420284e-02 2.722438e+00,2.192451e-02 5.977098e-02 2.731120e+00,2.183865e-02 4.833672e-02 2.744573e+00,2.489447e-02 4.187286e-02 2.749200e+00,2.717229e-02 3.802749e-02 2.750614e+00,3.044271e-02 3.273228e-02 2.753406e+00,3.154228e-02 3.123397e-02 2.754749e+00,3.194532e-02 3.000883e-02 2.756074e+00,3.455216e-02 2.851210e-02 2.759073e+00,3.521675e-02 2.763589e-02 2.760231e+00,3.711755e-02 2.589766e-02 2.764742e+00,3.810124e-02 2.505148e-02 2.766011e+00,3.844181e-02 2.444327e-02 2.767868e+00,4.003237e-02 2.293121e-02 2.771904e+00,4.071671e-02 2.222649e-02 2.774594e+00,4.102119e-02 2.153028e-02 2.776254e+00,4.059093e-02 2.115360e-02 2.777911e+00,4.053009e-02 2.097313e-02 2.779337e+00,4.053345e-02 2.076796e-02 2.780031e+00,4.036736e-02 2.062353e-02 2.780288e+00,3.986939e-02 2.048491e-02 2.781012e+00,3.956653e-02 2.020013e-02 2.781831e+00,3.895064e-02 1.984119e-02 2.782724e+00,3.871148e-02 1.985095e-02 2.782909e+00
2.601962e-02 1.592032e-01 2.830404e+00,2.686784e-02 1.592848e-01 2.827708e+00,2.702332e-02 1.593578e-01 2.826550e+00,2.722656e-02 1.595964e-01 2.823979e+00,2.779227e-02 1.602058e-01 2.819698e+00,2.836150e-02 1.609739e-01 2.814119e+00,2.769317e-02 1.614482e-01 2.811754e+00,2.696195e-02 1.616552e-01 2.808242e+00,2.507730e-02 1.628135e-01 2.803917e+00,2.355969e-02 1.637340e-01 2.802078e+00,1.737697e-02 1.682177e-01 2.792984e+00,9.291582e-03 1.685646e-01 2.786791e+00,-6.052216e-03 1.800125e-01 2.777117e+00,-1.107707e-02 1.817490e-01 2.772167e+00,-2.790540e-03 1.889193e-01 2.768491e+00,8.142458e-03 1.942708e-01 2.762478e+00,1.068319e-02 1.971891e-01 2.765007e+00,1.051286e-02 1.977762e-01 2.766297e+00,9.479285e-03 1.966174e-01 2.766136e+00,4.203634e-03 1.805813e-01 2.761936e+00,4.964040e-03 1.837494e-01 2.762453e+00,1.883441e-02 2.007876e-01 2.772588e+00,1.496470e-02 1.929531e-01 2.775104e+00,1.287142e-02 1.839212e-01 2.776381e+00,1.241201e-02 1.808171e-01 2.776164e+00,1.379385e-02 1.783493e-01 2.775469e+00,1.855277e-02 1.728162e-01 2.773210e+00,2.161189e-02 1.707916e-01 2.772958e+00,2.495488e-02 1.695751e-01 2.773286e+00,3.162367e-02 1.679388e-01 2.771742e+00,3.450605e-02 1.669353e-01 2.771393e+00,4.044158e-02 1.648061e-01 2.771720e+00,4.330635e-02 1.640955e-01 2.772082e+00,4.546167e-02 1.634379e-01 2.772743e+00,4.810651e-02 1.627640e-01 2.774125e+00,4.925096e-02 1.621039e-01 2.775213e+00,5.086882e-02 1.609759e-01 2.777117e+00,5.134138e-02 1.607447e-01 2.777739e+00,5.149770e-02 1.607644e-01 2.778945e+00,5.159248e-02 1.606567e-01 2.779299e+00,5.150632e-02 1.605593e-01 2.779753e+00,5.091168e-02 1.598487e-01 2.781344e+00,5.063076e-02 1.597335e-01 2.781687e+00,4.967051e-02 1.593618e-01 2.782367e+00,4.933470e-02 1.593091e-01 2.782717e+00
-1.290361e-01 -9.084450e-02 2.805253e+00,-1.278420e-01 -9.135935e-02 2.801720e+00,-1.276890e-01 -9.142999e-02 2.800837e+00,-1.274039e-01 -9.091035e-02 2.798907e+00,-1.273722e-01 -9.106607e-02 2.795545e+00,-1.270918e-01 -9.145863e-02 2.790093e+00,-1.268657e-01 -9.157826e-02 2.787838e+00,-1.268716e-01 -9.128329e-02 2.786421e+00,-1.269571e-01 -8.989555e-02 2.785728e+00,-1.266724e-01 -8.901661e-02 2.785680e+00,-1.191960e-01 -8.474463e-02 2.781229e+00,-1.167548e-01 -8.284340e-02 2.779181e+00,-9.670763e-02 -4.050762e-02 2.776301e+00,-9.687062e-02 -4.032380e-02 2.776324e+00,-9.723637e-02 -3.931500e-02 2.777604e+00,-1.030542e-01 -4.065277e-02 2.773542e+00,-1.019269e-01 -4.136916e-02 2.776727e+00,-9.862461e-02 -3.611069e-02 2.774207e+00,-9.748396e-02 -3.508635e-02 2.773389e+00,-8.832885e-02 -4.771845e-02 2.767134e+00,-9.438557e-02 -5.494273e-02 2.771904e+00,-9.541398e-02 -6.784765e-02 2.764325e+00,-9.673066e-02 -6.810731e-02 2.766399e+00,-9.704362e-02 -6.979454e-02 2.766300e+00,-1.007731e-01 -7.566823e-02 2.764678e+00,-1.082144e-01 -7.887803e-02 2.769380e+00,-1.130698e-01 -8.339292e-02 2.768794e+00,-1.144950e-01 -8.509617e-02 2.767200e+00,-1.148606e-01 -8.552910e-02 2.764669e+00,-1.152152e-01 -8.533671e-02 2.759759e+00,-1.152202e-01 -8.540518e-02 2.757117e+00,-1.138298e-01 -8.687428e-02 2.750359e+00,-1.131420e-01 -8.728404e-02 2.748264e+00,-1.121813e-01 -8.769658e-02 2.746146e+00,-1.106802e-01 -8.825775e-02 2.744196e+00,-1.106287e-01 -8.832847e-02 2.744107e+00,-1.106959e-01 -8.847696e-02 2.744015e+00,-1.109638e-01 -8.850371e-02 2.744441e+00,-1.112514e-01 -8.923561e-02 2.745199e+00,-1.114409e-01 -8.910780e-02 2.745745e+00,-1.116620e-01 -8.934973e-02 2.746227e+00,-1.124907e-01 -8.998162e-02 2.748771e+00,-1.127249e-01 -9.036151e-02 2.749915e+00,-1.124567e-01 -8.970521e-02 2.751952e+00,-1.134591e-01 -8.939844e-02 2.753502e+00
-1.686129e-01 -3.219776e-01 2.796523e+00,-1.678857e-01 -3.220518e-01 2.795240e+00,-1.673785e-01 -3.222808e-01 2.794806e+00,-1.668525e-01 -3.221942e-01 2.794441e+00,-1.663277e-01 -3.230601e-01 2.794022e+00,-1.662785e-01 -3.231518e-01 2.793987e+00,-1.661792e-01 -3.231573e-01 2.793845e+00,-1.659186e-01 -3.230914e-01 2.793823e+00,-1.626405e-01 -3.206685e-01 2.795345e+00,-1.604969e-01 -3.162720e-01 2.797992e+00,-1.565662e-01 -3.091329e-01 2.804995e+00,-1.526962e-01 -3.130629e-01 2.804438e+00,-1.292492e-01 -2.802448e-01 2.815873e+00,-1.291547e-01 -2.802090e-01 2.816089e+00,-1.272468e-01 -2.803463e-01 2.818658e+00,-1.255984e-01 -2.804929e-01 2.821114e+00,-1.209209e-01 -2.840368e-01 2.829453e+00,-1.199006e-01 -2.842978e-01 2.832073e+00,-1.191530e-01 -2.855928e-01 2.836381e+00,-1.178396e-01 -2.849240e-01 2.839444e+00,-1.174824e-01 -2.852963e-01 2.840502e+00,-1.181784e-01 -2.879964e-01 2.842576e+00,-1.188438e-01 -2.893273e-01 2.842550e+00,-1.211236e-01 -2.930186e-01 2.842511e+00,-1.279941e-01 -2.959116e-01 2.837939e+00,-1.376461e-01 -3.099204e-01 2.828587e+00,-1.490704e-01 -3.225622e-01 2.811630e+00,-1.536765e-01 -3.187488e-01 2.804763e+00,-1.597109e-01 -3.164625e-01 2.795854e+00,-1.672528e-01 -3.039246e-01 2.777673e+00,-1.680580e-01 -3.016748e-01 2.771273e+00,-1.618084e-01 -3.131669e-01 2.752119e+00,-1.583140e-01 -3.157767e-01 2.748271e+00,-1.541118e-01 -3.193392e-01 2.745675e+00,-1.493158e-01 -3.221416e-01 2.740847e+00,-1.494115e-01 -3.217786e-01 2.740073e+00,-1.502151e-01 -3.198977e-01 2.738949e+00,-1.503121e-01 -3.194892e-01 2.738940e+00,-1.501043e-01 -3.195485e-01 2.739138e+00,-1.499780e-01 -3.202392e-01 2.739337e+00,-1.498645e-01 -3.208579e-01 2.739754e+00,-1.506577e-01 -3.200850e-01 2.743253e+00,-1.510808e-01 -3.201246e-01 2.744393e+00,-1.514600e-01 -3.194831e-01 2.746979e+00,-1.517410e-01 -3.188750e-01 2.748247e+00
-1.604982e-01 -5.100720e-01 2.712522e+00,-1.610875e-01 -5.099171e-01 2.710529e+00,-1.612414e-01 -5.100253e-01 2.709738e+00,-1.614897e-01 -5.100666e-01 2.709644e+00,-1.620653e-01 -5.109052e-01 2.709113e+00,-1.627370e-01 -5.109010e-01 2.708804e+00,-1.630526e-01 -5.110403e-01 2.708987e+00,-1.634741e-01 -5.111250e-01 2.709330e+00,-1.644645e-01 -5.085335e-01 2.710413e+00,-1.649196e-01 -5.037812e-01 2.712246e+00,-1.667820e-01 -4.946264e-01 2.714877e+00,-1.677425e-01 -4.983031e-01 2.714563e+00,-1.615606e-01 -4.797479e-01 2.730234e+00,-1.611903e-01 -4.799263e-01 2.733460e+00,-1.634241e-01 -4.737880e-01 2.762368e+00,-1.573619e-01 -4.757310e-01 2.769482e+00,-1.592681e-01 -4.795503e-01 2.785833e+00,-1.609997e-01 -4.794745e-01 2.789870e+00,-1.624471e-01 -4.802511e-01 2.793953e+00,-1.629268e-01 -4.792223e-01 2.797308e+00,-1.630935e-01 -4.794259e-01 2.798084e+00,-1.646221e-01 -4.818367e-01 2.799665e+00,-1.655882e-01 -4.830852e-01 2.799616e+00,-1.683305e-01 -4.866430e-01 2.799556e+00,-1.759913e-01 -4.893098e-01 2.794907e+00,-1.624177e-01 -5.011442e-01 2.757841e+00,-1.713841e-01 -5.119786e-01 2.734611e+00,-1.722633e-01 -5.092753e-01 2.729759e+00,-1.795499e-01 -5.063361e-01 2.719283e+00,-1.801620e-01 -4.966012e-01 2.707712e+00,-1.794000e-01 -4.948142e-01 2.702473e+00,-1.693002e-01 -5.067328e-01 2.684223e+00,-1.630564e-01 -5.093110e-01 2.679975e+00,-1.547826e-01 -5.118549e-01 2.673845e+00,-1.511514e-01 -5.148991e-01 2.669862e+00,-1.492768e-01 -5.140082e-01 2.667356e+00,-1.491118e-01 -5.116412e-01 2.664685e+00,-1.491153e-01 -5.110792e-01 2.664180e+00,-1.481362e-01 -5.111391e-01 2.664358e+00,-1.486965e-01 -5.121792e-01 2.665593e+00,-1.484121e-01 -5.127135e-01 2.665761e+00,-1.481771e-01 -5.113739e-01 2.667536e+00,-1.495204e-01 -5.116701e-01 2.669419e+00,-1.493237e-01 -5.109438e-01 2.671736e+00,-1.492395e-01 -5.101739e-01 2.672515e+00
-1.519256e-01 -5.336354e-01 2.701167e+00,-1.516914e-01 -5.325183e-01 2.696804e+00,-1.522148e-01 -5.320693e-01 2.696907e+00,-1.522137e-01 -5.319305e-01 2.697956e+00,-1.544430e-01 -5.285048e-01 2.698632e+00,-1.569172e-01 -5.327973e-01 2.699852e+00,-1.568069e-01 -5.348369e-01 2.700145e+00,-1.590442e-01 -5.351527e-01 2.701500e+00,-1.566438e-01 -5.379934e-01 2.697409e+00,-1.551581e-01 -5.397288e-01 2.697375e+00,-1.575320e-01 -5.286986e-01 2.700894e+00,-1.577768e-01 -5.279045e-01 2.700888e+00,-1.644853e-01 -5.121387e-01 2.716951e+00,-1.666715e-01 -5.123547e-01 2.726673e+00,-1.655457e-01 -5.229936e-01 2.743348e+00,-1.631709e-01 -5.247813e-01 2.754284e+00,-1.536109e-01 -5.354759e-01 2.775337e+00,-1.491786e-01 -5.349404e-01 2.779764e+00,-1.465906e-01 -5.351174e-01 2.779480e+00,-1.428991e-01 -5.309251e-01 2.781195e+00,-1.426181e-01 -5.379214e-01 2.789057e+00,-1.432330e-01 -5.409529e-01 2.779344e+00,-1.444266e-01 -5.482483e-01 2.772599e+00,-1.479160e-01 -5.412601e-01 2.768159e+00,-1.584802e-01 -5.334043e-01 2.755545e+00,-1.547629e-01 -5.480963e-01 2.735829e+00,-1.685290e-01 -5.538154e-01 2.716811e+00,-1.774400e-01 -5.491191e-01 2.709194e+00,-1.814355e-01 -5.497220e-01 2.701350e+00,-1.763030e-01 -5.420307e-01 2.682451e+00,-1.699076e-01 -5.406888e-01 2.674948e+00,-1.527395e-01 -5.486162e-01 2.665107e+00,-1.424775e-01 -5.258733e-01 2.668977e+00,-1.402922e-01 -5.261890e-01 2.668315e+00,-1.336954e-01 -5.256765e-01 2.662614e+00,-1.380100e-01 -5.276223e-01 2.661931e+00,-1.371898e-01 -5.280319e-01 2.658883e+00,-1.383786e-01 -5.370568e-01 2.657378e+00,-1.342434e-01 -5.293943e-01 2.663975e+00,-1.354280e-01 -5.305329e-01 2.667175e+00,-1.302312e-01 -5.587291e-01 2.664887e+00,-1.373982e-01 -5.301934e-01 2.669456e+00,-1.398490e-01 -5.274219e-01 2.668834e+00,-1.397479e-01 -5.287067e-01 2.669417e+00,-1.398541e-01 -5.288105e-01 2.670897e+00
1.700714e-01 -9.225348e-02 2.807024e+00,1.703648e-01 -9.279956e-02 2.800772e+00,1.701910e-01 -9.334892e-02 2.797087e+00,1.698925e-01 -9.371951e-02 2.793295e+00,1.693314e-01 -9.347884e-02 2.786004e+00,1.699663e-01 -9.298826e-02 2.776680e+00,1.694660e-01 -9.173137e-02 2.768047e+00,1.695811e-01 -9.093630e-02 2.767071e+00,1.458486e-01 -9.188377e-02 2.732560e+00,1.276234e-01 -9.149709e-02 2.708360e+00,1.246258e-01 -8.972765e-02 2.699053e+00,1.166736e-01 -8.238336e-02 2.688599e+00,1.089625e-01 -5.407615e-02 2.668449e+00,1.090453e-01 -4.472992e-02 2.664878e+00,1.054167e-01 -1.624383e-02 2.654388e+00,1.047214e-01 -1.364526e-02 2.653859e+00,1.039999e-01 -1.506940e-02 2.652955e+00,1.024502e-01 -1.907698e-02 2.649639e+00,1.015197e-01 -2.603483e-02 2.646200e+00,9.707657e-02 -5.078404e-02 2.639634e+00,9.774060e-02 -5.010782e-02 2.641019e+00,9.882989e-02 -5.124178e-02 2.640965e+00,1.006843e-01 -5.236531e-02 2.640536e+00,1.197423e-01 -5.736710e-02 2.645670e+00,1.468278e-01 -6.939925e-02 2.672845e+00,1.511275e-01 -7.251527e-02 2.677244e+00,1.587464e-01 -7.923662e-02 2.689937e+00,1.597560e-01 -7.963835e-02 2.691349e+00,1.760664e-01 -8.708894e-02 2.718102e+00,1.805898e-01 -8.855106e-02 2.726326e+00,1.833755e-01 -9.001815e-02 2.733374e+00,1.864739e-01 -9.186147e-02 2.744457e+00,1.866626e-01 -9.182335e-02 2.748107e+00,1.867337e-01 -9.239949e-02 2.751933e+00,1.876632e-01 -9.232846e-02 2.759294e+00,1.878762e-01 -9.256104e-02 2.762352e+00,1.883921e-01 -9.305285e-02 2.764792e+00,1.887108e-01 -9.338696e-02 2.766397e+00,1.885786e-01 -9.318935e-02 2.767408e+00,1.885302e-01 -9.309817e-02 2.767777e+00,1.885153e-01 -9.308280e-02 2.767852e+00,1.883497e-01 -9.295907e-02 2.768040e+00,1.882616e-01 -9.293244e-02 2.768027e+00,1.877548e-01 -9.271739e-02 2.767680e+00,1.875013e-01 -9.268600e-02 2.767684e+00
2.079648e-01 -3.300375e-01 2.839350e+00,2.079740e-01 -3.302657e-01 2.836112e+00,2.079251e-01 -3.302359e-01 2.835853e+00,2.079116e-01 -3.301431e-01 2.835295e+00,2.077470e-01 -3.244849e-01 2.828026e+00,2.104976e-01 -2.893209e-01 2.791623e+00,1.925468e-01 -2.935792e-01 2.745528e+00,2.159156e-01 -2.641579e-01 2.655236e+00,2.160371e-01 -2.083855e-01 2.565993e+00,2.080559e-01 -1.632808e-01 2.520724e+00,1.594234e-01 -2.152541e-03 2.465617e+00,1.427288e-01 4.449682e-02 2.459812e+00,8.535486e-02 1.477661e-01 2.466387e+00,6.279269e-02 1.737241e-01 2.486858e+00,1.449698e-02 1.877666e-01 2.504853e+00,1.873385e-02 1.934588e-01 2.509582e+00,1.081041e-02 1.451255e-01 2.500790e+00,-1.981142e-02 1.640913e-01 2.467485e+00,-1.116901e-02 1.481832e-01 2.454269e+00,9.501889e-03 8.261174e-02 2.436614e+00,5.072818e-02 1.395102e-02 2.432477e+00,1.099085e-01 -8.547008e-02 2.425744e+00,1.270775e-01 -1.108697e-01 2.432427e+00,1.840270e-01 -1.938840e-01 2.493476e+00,2.512141e-01 -2.381887e-01 2.612471e+00,2.531016e-01 -2.480974e-01 2.664621e+00,2.594652e-01 -2.706598e-01 2.701251e+00,2.616293e-01 -2.892181e-01 2.718128e+00,2.616967e-01 -2.970953e-01 2.727295e+00,2.533426e-01 -3.105658e-01 2.759794e+00,2.486112e-01 -3.172785e-01 2.774957e+00,2.356705e-01 -3.338631e-01 2.797412e+00,2.288283e-01 -3.342685e-01 2.803157e+00,2.223186e-01 -3.277361e-01 2.807600e+00,2.194396e-01 -3.262787e-01 2.810217e+00,2.193867e-01 -3.260947e-01 2.811135e+00,2.199392e-01 -3.266228e-01 2.811682e+00,2.198897e-01 -3.283589e-01 2.811193e+00,2.194531e-01 -3.288402e-01 2.810615e+00,2.192886e-01 -3.289267e-01 2.810330e+00,2.192138e-01 -3.289757e-01 2.809796e+00,2.189886e-01 -3.294112e-01 2.808543e+00,2.189145e-01 -3.294632e-01 2.808304e+00,2.187897e-01 -3.299087e-01 2.806900e+00,2.186994e-01 -3.300518e-01 2.806595e+00
2.340655e-01 -5.208822e-01 2.768354e+00,2.287850e-01 -5.194030e-01 2.757970e+00,2.186147e-01 -5.130463e-01 2.739992e+00,2.158340e-01 -5.040929e-01 2.722223e+00,2.274938e-01 -4.382980e-01 2.651683e+00,2.300335e-01 -2.925909e-01 2.559431e+00,2.204670e-01 -2.200975e-01 2.516526e+00,2.126944e-01 -1.830663e-01 2.565865e+00,1.822532e-01 -1.304659e-02 2.506006e+00,1.665040e-01 3.658884e-02 2.509710e+00,8.990896e-02 1.859330e-01 2.488596e+00,5.517904e-02 2.279444e-01 2.454651e+00,-2.769150e-02 3.341461e-01 2.414920e+00,-6.931049e-02 3.664523e-01 2.391428e+00,-1.061117e-01 3.759416e-01 2.377405e+00,-1.236050e-01 3.721620e-01 2.381124e+00,-1.397500e-01 3.230579e-01 2.397142e+00,-1.459301e-01 3.203001e-01 2.399805e+00,-1.537569e-01 2.851548e-01 2.397887e+00,-1.233143e-01 2.357522e-01 2.413669e+00,-8.336393e-02 1.893612e-01 2.423566e+00,-2.765836e-02 1.007775e-01 2.458083e+00,9.948411e-03 5.624292e-02 2.420977e+00,7.314625e-02 -4.566351e-02 2.396439e+00,2.080794e-01 -2.806665e-01 2.408759e+00,2.282136e-01 -3.236590e-01 2.468049e+00,2.954601e-01 -4.308856e-01 2.572795e+00,3.067922e-01 -4.618405e-01 2.612803e+00,3.110327e-01 -4.815330e-01 2.651041e+00,3.069734e-01 -5.014492e-01 2.712121e+00,2.920061e-01 -5.111782e-01 2.729610e+00,2.660861e-01 -5.300505e-01 2.751147e+00,2.488214e-01 -5.314890e-01 2.754985e+00,2.414178e-01 -5.245912e-01 2.756889e+00,2.368970e-01 -5.228193e-01 2.757161e+00,2.363473e-01 -5.229464e-01 2.759356e+00,2.354198e-01 -5.230381e-01 2.757213e+00,2.354458e-01 -5.246775e-01 2.756307e+00,2.250098e-01 -5.241077e-01 2.748868e+00,2.238131e-01 -5.243161e-01 2.748905e+00,2.227009e-01 -5.242005e-01 2.747634e+00,2.202499e-01 -5.248811e-01 2.747158e+00,2.194501e-01 -5.248694e-01 2.746639e+00,2.170703e-01 -5.254546e-01 2.745751e+00,2.174693e-01 -5.256311e-01 2.745563e+00
