3.950799e-02 -5.585577e-01 2.748135e+00,3.953278e-02 -5.586496e-01 2.747362e+00,3.543201e-02 -5.579613e-01 2.743506e+00,3.376030e-02 -5.585768e-01 2.741402e+00,3.312577e-02 -5.582422e-01 2.738889e+00,2.842586e-02 -5.574930e-01 2.734393e+00,2.441683e-02 -5.576506e-01 2.731985e+00,2.270384e-02 -5.586475e-01 2.728719e+00,1.940990e-02 -5.593935e-01 2.727578e+00,1.931710e-02 -5.598378e-01 2.727088e+00,1.871943e-02 -5.537264e-01 2.722774e+00,1.828580e-02 -5.484251e-01 2.719373e+00,1.743943e-02 -5.357305e-01 2.718995e+00,1.877034e-02 -5.328228e-01 2.717883e+00,1.957534e-02 -5.318297e-01 2.717586e+00,2.030625e-02 -5.316838e-01 2.717471e+00,2.058517e-02 -5.316430e-01 2.717412e+00,2.301035e-02 -5.389153e-01 2.719867e+00,2.434663e-02 -5.456402e-01 2.722657e+00,2.468297e-02 -5.482925e-01 2.725341e+00,2.683106e-02 -5.512582e-01 2.728351e+00,2.741756e-02 -5.551063e-01 2.730925e+00,2.634458e-02 -5.578882e-01 2.736148e+00,2.630326e-02 -5.578144e-01 2.737012e+00,2.730459e-02 -5.579843e-01 2.738552e+00,2.941119e-02 -5.584586e-01 2.740531e+00,3.093820e-02 -5.589557e-01 2.741004e+00,3.488677e-02 -5.597702e-01 2.741763e+00,3.639739e-02 -5.595860e-01 2.742008e+00,4.204813e-02 -5.594063e-01 2.743919e+00,4.373020e-02 -5.590705e-01 2.744204e+00,4.387422e-02 -5.592070e-01 2.744344e+00,4.468563e-02 -5.591632e-01 2.744161e+00,4.480690e-02 -5.592260e-01 2.743933e+00,4.534581e-02 -5.589024e-01 2.743132e+00,4.551610e-02 -5.590025e-01 2.743052e+00,4.587237e-02 -5.588356e-01 2.742790e+00,4.572764e-02 -5.591650e-01 2.742182e+00,4.573064e-02 -5.589721e-01 2.741829e+00,4.579087e-02 -5.591658e-01 2.741431e+00,4.570338e-02 -5.592527e-01 2.741064e+00,4.546163e-02 -5.593808e-01 2.740717e+00
3.670543e-02 -2.665014e-01 2.771428e+00,3.640063e-02 -2.663538e-01 2.770039e+00,3.417991e-02 -2.655451e-01 2.766645e+00,3.321524e-02 -2.656278e-01 2.765096e+00,3.248600e-02 -2.650337e-01 2.761832e+00,3.019833e-02 -2.641723e-01 2.758239e+00,2.895130e-02 -2.638232e-01 2.756093e+00,2.832996e-02 -2.632708e-01 2.751999e+00,2.793829e-02 -2.630680e-01 2.750564e+00,2.780066e-02 -2.625941e-01 2.749092e+00,2.784096e-02 -2.549748e-01 2.741100e+00,2.719778e-02 -2.506140e-01 2.738780e+00,3.010641e-02 -2.386804e-01 2.730228e+00,3.307606e-02 -2.362777e-01 2.724300e+00,3.342014e-02 -2.353640e-01 2.723549e+00,3.349007e-02 -2.351944e-01 2.723399e+00,3.348313e-02 -2.351572e-01 2.723395e+00,3.266603e-02 -2.383116e-01 2.725799e+00,3.237431e-02 -2.433479e-01 2.729929e+00,3.265141e-02 -2.468833e-01 2.734480e+00,3.297983e-02 -2.512264e-01 2.738475e+00,3.287810e-02 -2.566931e-01 2.741454e+00,3.351486e-02 -2.602339e-01 2.745549e+00,3.362547e-02 -2.605746e-01 2.746198e+00,3.446029e-02 -2.610933e-01 2.747401e+00,3.595382e-02 -2.619515e-01 2.748953e+00,3.712349e-02 -2.627285e-01 2.749491e+00,4.083703e-02 -2.641243e-01 2.751012e+00,4.224136e-02 -2.643875e-01 2.751721e+00,4.541136e-02 -2.649021e-01 2.753401e+00,4.608265e-02 -2.649674e-01 2.753737e+00,4.638069e-02 -2.653113e-01 2.754313e+00,4.664266e-02 -2.656522e-01 2.754513e+00,4.666959e-02 -2.657347e-01 2.754529e+00,4.670504e-02 -2.660040e-01 2.754453e+00,4.668721e-02 -2.661734e-01 2.754507e+00,4.672841e-02 -2.662046e-01 2.754424e+00,4.644153e-02 -2.666219e-01 2.754137e+00,4.630421e-02 -2.666098e-01 2.753969e+00,4.597514e-02 -2.667413e-01 2.753762e+00,4.579044e-02 -2.668104e-01 2.753650e+00,4.547989e-02 -2.669045e-01 2.753605e+00
3.333485e-02 2.013744e-02 2.781455e+00,3.262570e-02 2.066919e-02 2.779296e+00,3.203870e-02 2.148055e-02 2.776450e+00,3.170878e-02 2.173192e-02 2.775411e+00,3.114411e-02 2.264429e-02 2.771507e+00,3.039000e-02 2.347706e-02 2.768661e+00,3.120029e-02 2.438711e-02 2.766054e+00,3.259927e-02 2.685208e-02 2.760949e+00,3.524890e-02 2.829086e-02 2.757690e+00,3.528686e-02 3.048727e-02 2.755208e+00,3.635727e-02 4.075088e-02 2.744387e+00,3.579713e-02 4.295248e-02 2.743691e+00,4.463796e-02 5.456311e-02 2.721753e+00,4.831315e-02 5.447371e-02 2.712604e+00,4.805426e-02 5.521027e-02 2.712254e+00,4.701298e-02 5.583675e-02 2.712962e+00,4.637016e-02 5.609662e-02 2.713452e+00,4.164711e-02 5.463976e-02 2.718693e+00,3.991080e-02 5.156025e-02 2.724408e+00,3.970135e-02 4.754376e-02 2.731660e+00,3.801402e-02 4.206947e-02 2.736434e+00,3.739778e-02 3.560327e-02 2.739298e+00,3.982962e-02 3.137859e-02 2.742610e+00,4.019391e-02 3.061994e-02 2.743084e+00,4.094566e-02 2.992226e-02 2.743870e+00,4.205532e-02 2.883807e-02 2.744914e+00,4.294795e-02 2.783439e-02 2.745434e+00,4.658327e-02 2.588437e-02 2.747569e+00,4.798814e-02 2.512708e-02 2.748831e+00,4.939101e-02 2.436564e-02 2.750157e+00,4.948996e-02 2.407468e-02 2.750516e+00,4.974375e-02 2.340261e-02 2.751732e+00,4.940071e-02 2.227461e-02 2.752444e+00,4.926996e-02 2.200918e-02 2.752755e+00,4.837570e-02 2.102509e-02 2.753202e+00,4.794338e-02 2.060646e-02 2.753503e+00,4.779496e-02 2.043687e-02 2.753391e+00,4.707050e-02 1.993716e-02 2.753356e+00,4.667257e-02 1.983425e-02 2.753222e+00,4.551040e-02 1.982882e-02 2.753154e+00,4.517744e-02 1.978066e-02 2.753213e+00,4.468313e-02 1.972673e-02 2.753488e+00
4.364517e-02 1.598517e-01 2.785773e+00,4.336789e-02 1.600584e-01 2.784832e+00,4.279742e-02 1.603748e-01 2.783085e+00,4.233364e-02 1.607725e-01 2.782001e+00,4.194559e-02 1.609089e-01 2.781007e+00,4.115107e-02 1.617131e-01 2.778936e+00,4.042663e-02 1.626803e-01 2.777711e+00,4.109174e-02 1.665104e-01 2.775278e+00,4.028789e-02 1.703260e-01 2.773864e+00,3.299077e-02 1.742201e-01 2.770773e+00,2.218208e-02 1.662838e-01 2.765896e+00,1.713283e-02 1.657411e-01 2.762969e+00,1.277887e-02 1.783046e-01 2.759127e+00,1.219534e-02 1.772580e-01 2.752474e+00,1.990907e-02 1.798033e-01 2.748801e+00,1.985434e-02 1.804737e-01 2.747950e+00,2.015475e-03 1.762929e-01 2.755497e+00,1.303003e-02 1.790790e-01 2.754869e+00,1.884803e-02 1.856909e-01 2.760140e+00,2.416674e-02 1.842606e-01 2.762799e+00,2.723473e-02 1.805727e-01 2.763600e+00,3.019761e-02 1.743606e-01 2.763202e+00,3.380102e-02 1.698951e-01 2.762689e+00,3.582550e-02 1.691016e-01 2.762245e+00,3.881836e-02 1.685536e-01 2.761339e+00,4.651743e-02 1.667951e-01 2.758582e+00,4.892043e-02 1.655639e-01 2.758135e+00,5.532159e-02 1.642994e-01 2.756786e+00,5.802076e-02 1.636716e-01 2.756060e+00,6.113184e-02 1.632609e-01 2.756086e+00,6.184180e-02 1.630019e-01 2.756034e+00,6.281346e-02 1.624558e-01 2.755979e+00,6.400422e-02 1.617169e-01 2.754804e+00,6.434294e-02 1.613774e-01 2.754479e+00,6.435090e-02 1.611345e-01 2.754137e+00,6.416120e-02 1.610702e-01 2.753542e+00,6.420773e-02 1.609650e-01 2.753083e+00,6.353599e-02 1.608516e-01 2.752508e+00,6.342480e-02 1.608426e-01 2.752415e+00,6.235136e-02 1.607028e-01 2.751207e+00,6.203574e-02 1.604953e-01 2.751084e+00,6.177111e-02 1.604567e-01 2.750801e+00
-1.185582e-01 -8.994199e-02 2.756042e+00,-1.184057e-01 -9.028388e-02 2.754115e+00,-1.186587e-01 -9.073284e-02 2.752622e+00,-1.190011e-01 -9.065235e-02 2.752151e+00,-1.192525e-01 -9.050266e-02 2.751772e+00,-1.196087e-01 -9.028507e-02 2.750493e+00,-1.197579e-01 -9.022904e-02 2.750348e+00,-1.171931e-01 -8.804248e-02 2.751657e+00,-1.157907e-01 -8.733033e-02 2.751405e+00,-1.113252e-01 -8.684354e-02 2.751203e+00,-1.027753e-01 -7.922772e-02 2.746015e+00,-1.004931e-01 -7.822083e-02 2.745542e+00,-9.779827e-02 -7.632676e-02 2.744152e+00,-9.614652e-02 -7.558255e-02 2.742332e+00,-9.117130e-02 -7.279260e-02 2.734584e+00,-8.916993e-02 -7.242510e-02 2.731715e+00,-8.943644e-02 -6.941035e-02 2.733511e+00,-8.923241e-02 -6.882253e-02 2.734993e+00,-9.100143e-02 -7.040241e-02 2.738182e+00,-1.034761e-01 -7.439633e-02 2.754655e+00,-1.055993e-01 -7.591632e-02 2.757123e+00,-1.084908e-01 -7.997736e-02 2.759345e+00,-1.095358e-01 -8.341248e-02 2.757385e+00,-1.096787e-01 -8.442511e-02 2.754765e+00,-1.062460e-01 -8.302291e-02 2.749593e+00,-1.057861e-01 -8.573307e-02 2.744460e+00,-1.055131e-01 -8.647285e-02 2.742387e+00,-1.034253e-01 -8.679829e-02 2.738189e+00,-1.021355e-01 -8.651021e-02 2.735337e+00,-1.014489e-01 -8.629053e-02 2.734007e+00,-1.014663e-01 -8.619587e-02 2.733772e+00,-1.013260e-01 -8.612263e-02 2.733544e+00,-1.014498e-01 -8.620376e-02 2.733197e+00,-1.014586e-01 -8.620775e-02 2.733187e+00,-1.016429e-01 -8.627298e-02 2.733029e+00,-1.019023e-01 -8.641835e-02 2.732833e+00,-1.024674e-01 -8.670276e-02 2.732587e+00,-1.039139e-01 -8.722375e-02 2.732733e+00,-1.041789e-01 -8.731638e-02 2.732570e+00,-1.054198e-01 -8.743566e-02 2.732169e+00,-1.061268e-01 -8.722458e-02 2.731989e+00,-1.065140e-01 -8.732945e-02 2.731872e+00
-1.573834e-01 -3.201673e-01 2.751434e+00,-1.589940e-01 -3.208923e-01 2.749432e+00,-1.603370e-01 -3.223088e-01 2.748355e+00,-1.603608e-01 -3.225426e-01 2.748231e+00,-1.604815e-01 -3.225066e-01 2.748250e+00,-1.603673e-01 -3.224834e-01 2.748571e+00,-1.596726e-01 -3.211422e-01 2.750230e+00,-1.571113e-01 -3.176101e-01 2.754125e+00,-1.556123e-01 -3.132406e-01 2.758397e+00,-1.537803e-01 -3.076912e-01 2.763847e+00,-1.374905e-01 -2.728906e-01 2.784719e+00,-1.362257e-01 -2.692463e-01 2.787576e+00,-1.327357e-01 -2.672998e-01 2.788227e+00,-1.311393e-01 -2.675481e-01 2.788866e+00,-1.293049e-01 -2.684022e-01 2.790947e+00,-1.256454e-01 -2.718149e-01 2.795709e+00,-1.260175e-01 -2.736929e-01 2.798843e+00,-1.269087e-01 -2.767377e-01 2.802816e+00,-1.276757e-01 -2.795623e-01 2.805086e+00,-1.340326e-01 -2.990312e-01 2.806580e+00,-1.368830e-01 -3.073840e-01 2.806851e+00,-1.391951e-01 -3.137220e-01 2.806271e+00,-1.449967e-01 -3.221932e-01 2.799446e+00,-1.471479e-01 -3.231456e-01 2.792861e+00,-1.491208e-01 -3.205765e-01 2.786475e+00,-1.530116e-01 -3.172472e-01 2.773452e+00,-1.537819e-01 -3.154538e-01 2.766015e+00,-1.495396e-01 -3.161942e-01 2.751723e+00,-1.459186e-01 -3.160929e-01 2.746423e+00,-1.411451e-01 -3.165988e-01 2.740521e+00,-1.399461e-01 -3.159110e-01 2.739002e+00,-1.395317e-01 -3.161508e-01 2.738173e+00,-1.393895e-01 -3.164609e-01 2.737836e+00,-1.394008e-01 -3.164875e-01 2.737865e+00,-1.398832e-01 -3.167204e-01 2.737741e+00,-1.408661e-01 -3.173499e-01 2.737612e+00,-1.415229e-01 -3.178648e-01 2.737520e+00,-1.431210e-01 -3.182095e-01 2.737623e+00,-1.438659e-01 -3.184793e-01 2.737531e+00,-1.449796e-01 -3.186017e-01 2.737161e+00,-1.455637e-01 -3.185217e-01 2.736911e+00,-1.460119e-01 -3.186177e-01 2.736470e+00
-1.533946e-01 -5.107628e-01 2.673664e+00,-1.533404e-01 -5.119312e-01 2.673061e+00,-1.546108e-01 -5.133591e-01 2.672040e+00,-1.555708e-01 -5.135388e-01 2.671694e+00,-1.564977e-01 -5.133016e-01 2.671081e+00,-1.583407e-01 -5.130906e-01 2.670791e+00,-1.598351e-01 -5.110990e-01 2.670590e+00,-1.610543e-01 -5.065821e-01 2.671912e+00,-1.619756e-01 -5.011342e-01 2.673520e+00,-1.684190e-01 -4.951507e-01 2.679047e+00,-1.745877e-01 -4.551220e-01 2.694630e+00,-1.741962e-01 -4.529361e-01 2.701343e+00,-1.463991e-01 -4.530185e-01 2.698565e+00,-1.492206e-01 -4.537687e-01 2.701337e+00,-1.539440e-01 -4.574973e-01 2.712947e+00,-1.569064e-01 -4.616033e-01 2.722703e+00,-1.480412e-01 -4.634166e-01 2.721764e+00,-1.462739e-01 -4.952512e-01 2.716497e+00,-1.589509e-01 -4.711009e-01 2.737875e+00,-1.582774e-01 -4.890536e-01 2.731497e+00,-1.580593e-01 -4.976573e-01 2.731511e+00,-1.585019e-01 -5.040317e-01 2.730517e+00,-1.658857e-01 -5.144978e-01 2.730601e+00,-1.676899e-01 -5.170134e-01 2.729414e+00,-1.687019e-01 -5.145852e-01 2.723140e+00,-1.605193e-01 -5.094699e-01 2.700963e+00,-1.542019e-01 -5.072749e-01 2.691740e+00,-1.468629e-01 -5.060063e-01 2.671654e+00,-1.440979e-01 -5.057693e-01 2.665957e+00,-1.424870e-01 -5.072699e-01 2.662863e+00,-1.421789e-01 -5.067476e-01 2.661842e+00,-1.421454e-01 -5.068043e-01 2.660505e+00,-1.421860e-01 -5.071421e-01 2.660260e+00,-1.423758e-01 -5.072833e-01 2.660629e+00,-1.438555e-01 -5.077665e-01 2.661299e+00,-1.444346e-01 -5.086527e-01 2.661909e+00,-1.447131e-01 -5.092610e-01 2.662078e+00,-1.463488e-01 -5.098392e-01 2.662889e+00,-1.468296e-01 -5.101790e-01 2.662998e+00,-1.484505e-01 -5.101013e-01 2.662056e+00,-1.476915e-01 -5.100067e-01 2.661691e+00,-1.483876e-01 -5.100635e-01 2.661145e+00
-1.446174e-01 -5.399992e-01 2.665948e+00,-1.460854e-01 -5.399357e-01 2.661911e+00,-1.468056e-01 -5.401180e-01 2.661043e+00,-1.463970e-01 -5.426474e-01 2.662309e+00,-1.472133e-01 -5.403935e-01 2.661116e+00,-1.473827e-01 -5.388938e-01 2.660555e+00,-1.506532e-01 -5.393751e-01 2.661412e+00,-1.513656e-01 -5.341809e-01 2.662474e+00,-1.515469e-01 -5.273746e-01 2.665383e+00,-1.511853e-01 -5.047388e-01 2.670141e+00,-1.544046e-01 -5.059018e-01 2.670769e+00,-1.538753e-01 -5.044668e-01 2.675561e+00,-1.430604e-01 -5.023432e-01 2.676798e+00,-1.464501e-01 -5.036589e-01 2.681705e+00,-1.464886e-01 -5.073714e-01 2.687942e+00,-1.510838e-01 -5.105476e-01 2.700613e+00,-1.493694e-01 -5.157564e-01 2.702237e+00,-1.454236e-01 -5.404163e-01 2.706597e+00,-1.543845e-01 -5.202789e-01 2.711163e+00,-1.560254e-01 -5.292390e-01 2.716730e+00,-1.564049e-01 -5.436418e-01 2.715442e+00,-1.553284e-01 -5.495648e-01 2.714750e+00,-1.512876e-01 -5.297243e-01 2.713757e+00,-1.509901e-01 -5.292726e-01 2.710687e+00,-1.585462e-01 -5.322639e-01 2.710531e+00,-1.460836e-01 -5.374671e-01 2.683969e+00,-1.410846e-01 -5.388387e-01 2.670773e+00,-1.318029e-01 -5.330960e-01 2.654579e+00,-1.282750e-01 -5.315045e-01 2.653165e+00,-1.223959e-01 -5.500678e-01 2.651672e+00,-1.227380e-01 -5.498312e-01 2.652440e+00,-1.244090e-01 -5.490345e-01 2.652449e+00,-1.267158e-01 -5.356718e-01 2.655384e+00,-1.299010e-01 -5.376471e-01 2.658147e+00,-1.292961e-01 -5.379493e-01 2.659048e+00,-1.299342e-01 -5.399703e-01 2.658047e+00,-1.331910e-01 -5.246155e-01 2.657543e+00,-1.352405e-01 -5.376619e-01 2.657767e+00,-1.351959e-01 -5.383654e-01 2.657501e+00,-1.323279e-01 -5.169706e-01 2.658462e+00,-1.321630e-01 -5.515125e-01 2.655335e+00,-1.368185e-01 -5.369778e-01 2.656272e+00
1.829393e-01 -9.131776e-02 2.760245e+00,1.821041e-01 -9.117134e-02 2.757235e+00,1.813621e-01 -9.087858e-02 2.752023e+00,1.804499e-01 -9.146708e-02 2.747083e+00,1.799775e-01 -9.082981e-02 2.743842e+00,1.791136e-01 -8.933052e-02 2.733731e+00,1.763762e-01 -8.849146e-02 2.724765e+00,1.500807e-01 -8.367296e-02 2.700154e+00,1.496778e-01 -8.600572e-02 2.699338e+00,1.485602e-01 -8.706513e-02 2.698734e+00,1.377739e-01 -8.826940e-02 2.686995e+00,1.339775e-01 -7.916171e-02 2.681322e+00,1.248428e-01 -4.377680e-02 2.656532e+00,1.239152e-01 -3.924219e-02 2.654087e+00,1.234685e-01 -3.746061e-02 2.653251e+00,1.226382e-01 -3.767085e-02 2.652478e+00,1.230832e-01 -3.988627e-02 2.652550e+00,1.162118e-01 -5.750502e-02 2.652733e+00,9.232333e-02 -8.203450e-02 2.652611e+00,1.032111e-01 -7.948285e-02 2.654001e+00,1.303619e-01 -7.118893e-02 2.668315e+00,1.610987e-01 -8.483344e-02 2.683121e+00,1.690212e-01 -8.705374e-02 2.691743e+00,1.799461e-01 -8.847006e-02 2.705503e+00,1.852147e-01 -8.951938e-02 2.712867e+00,1.900713e-01 -9.133925e-02 2.720489e+00,1.913463e-01 -9.145539e-02 2.724604e+00,1.939958e-01 -9.229466e-02 2.731607e+00,1.946212e-01 -9.279851e-02 2.734024e+00,1.964813e-01 -9.350189e-02 2.739740e+00,1.969770e-01 -9.327290e-02 2.741252e+00,1.973300e-01 -9.314578e-02 2.742273e+00,1.974699e-01 -9.294356e-02 2.742696e+00,1.974591e-01 -9.294650e-02 2.742746e+00,1.973674e-01 -9.286815e-02 2.742721e+00,1.972577e-01 -9.285228e-02 2.742581e+00,1.971444e-01 -9.273813e-02 2.742436e+00,1.964060e-01 -9.257044e-02 2.741826e+00,1.958301e-01 -9.246369e-02 2.741422e+00,1.947835e-01 -9.179117e-02 2.740211e+00,1.943502e-01 -9.172395e-02 2.739804e+00,1.940618e-01 -9.157769e-02 2.739488e+00
2.163680e-01 -3.335754e-01 2.795210e+00,2.164529e-01 -3.338162e-01 2.792553e+00,2.163071e-01 -3.342909e-01 2.789627e+00,2.158957e-01 -3.352088e-01 2.781887e+00,2.143412e-01 -3.324581e-01 2.768504e+00,2.050752e-01 -2.909765e-01 2.718240e+00,1.770497e-01 -2.879533e-01 2.667605e+00,1.898557e-01 -1.724048e-01 2.473322e+00,1.676145e-01 -1.030569e-01 2.440190e+00,1.451005e-01 -1.196274e-02 2.424614e+00,1.155656e-01 8.445144e-02 2.457867e+00,1.022264e-01 1.180039e-01 2.475310e+00,8.282106e-02 1.721389e-01 2.473931e+00,7.174229e-02 1.833535e-01 2.483310e+00,7.186449e-02 1.866625e-01 2.484473e+00,7.336678e-02 1.736779e-01 2.466140e+00,8.225223e-02 1.455834e-01 2.447046e+00,1.277596e-01 2.548692e-02 2.436345e+00,1.409381e-01 -9.338682e-03 2.446569e+00,2.171110e-01 -1.791241e-01 2.502329e+00,2.314611e-01 -2.188427e-01 2.549412e+00,2.785429e-01 -2.028142e-01 2.550655e+00,2.620003e-01 -2.865349e-01 2.725531e+00,2.613776e-01 -2.917391e-01 2.737140e+00,2.558708e-01 -2.989907e-01 2.760355e+00,2.508045e-01 -3.136428e-01 2.779889e+00,2.473863e-01 -3.204764e-01 2.786948e+00,2.369122e-01 -3.283671e-01 2.795997e+00,2.330016e-01 -3.276097e-01 2.798868e+00,2.299934e-01 -3.271927e-01 2.799688e+00,2.294496e-01 -3.271919e-01 2.799437e+00,2.290720e-01 -3.270998e-01 2.799248e+00,2.279630e-01 -3.274980e-01 2.797537e+00,2.270756e-01 -3.279722e-01 2.795370e+00,2.255391e-01 -3.289794e-01 2.790807e+00,2.250646e-01 -3.295026e-01 2.789634e+00,2.244179e-01 -3.295394e-01 2.787606e+00,2.235469e-01 -3.295125e-01 2.784349e+00,2.230019e-01 -3.290736e-01 2.783329e+00,2.221617e-01 -3.293740e-01 2.780693e+00,2.219014e-01 -3.294421e-01 2.780452e+00,2.218249e-01 -3.300542e-01 2.779856e+00
2.187330e-01 -5.302555e-01 2.738827e+00,2.145123e-01 -5.297354e-01 2.732864e+00,2.228331e-01 -5.229588e-01 2.707052e+00,2.195417e-01 -5.152346e-01 2.679518e+00,2.282009e-01 -4.815009e-01 2.622087e+00,2.288214e-01 -3.498370e-01 2.515728e+00,1.862077e-01 -2.717261e-01 2.455493e+00,1.476628e-01 -2.359844e-02 2.330050e+00,1.146484e-01 7.308100e-02 2.341341e+00,7.568695e-02 1.693748e-01 2.352115e+00,3.858007e-02 2.525325e-01 2.362522e+00,1.322395e-02 2.974734e-01 2.381759e+00,-1.843209e-02 3.569291e-01 2.383712e+00,-1.837964e-02 3.549042e-01 2.388344e+00,-2.491338e-02 3.614093e-01 2.395478e+00,-2.210676e-02 3.451302e-01 2.401719e+00,-1.751393e-02 3.269411e-01 2.410167e+00,4.388281e-02 2.108166e-01 2.430469e+00,5.802000e-02 1.765920e-01 2.441059e+00,1.398348e-01 2.493028e-03 2.438340e+00,1.794013e-01 -7.604231e-02 2.402987e+00,1.767600e-01 -2.123765e-01 2.364566e+00,2.853044e-01 -3.777217e-01 2.536065e+00,3.002201e-01 -4.416679e-01 2.596659e+00,3.023368e-01 -4.649555e-01 2.644255e+00,2.900420e-01 -5.013026e-01 2.705845e+00,2.820300e-01 -5.126626e-01 2.725140e+00,2.669806e-01 -5.232728e-01 2.742414e+00,2.457614e-01 -5.230848e-01 2.739205e+00,2.411165e-01 -5.213847e-01 2.734689e+00,2.407057e-01 -5.207944e-01 2.732373e+00,2.404312e-01 -5.208117e-01 2.732587e+00,2.392285e-01 -5.208260e-01 2.729531e+00,2.393869e-01 -5.217452e-01 2.729152e+00,2.397820e-01 -5.226881e-01 2.724869e+00,2.400942e-01 -5.233755e-01 2.724515e+00,2.406668e-01 -5.236109e-01 2.723588e+00,2.387522e-01 -5.240428e-01 2.721716e+00,2.356494e-01 -5.236412e-01 2.720097e+00,2.365535e-01 -5.241034e-01 2.718565e+00,2.362769e-01 -5.242054e-01 2.718451e+00,2.370724e-01 -5.246701e-01 2.717567e+00
