3.986523e-02 -5.585299e-01 2.731127e+00,3.877213e-02 -5.580927e-01 2.730496e+00,3.779566e-02 -5.583250e-01 2.729483e+00,3.540813e-02 -5.589030e-01 2.727597e+00,3.145438e-02 -5.592729e-01 2.726138e+00,2.701988e-02 -5.589013e-01 2.724191e+00,2.179610e-02 -5.595677e-01 2.722460e+00,1.444170e-02 -5.625225e-01 2.720535e+00,1.268965e-02 -5.663475e-01 2.719614e+00,8.900668e-03 -5.615885e-01 2.718513e+00,8.641351e-03 -5.526946e-01 2.718076e+00,6.489116e-03 -5.325783e-01 2.718273e+00,6.394284e-03 -5.326879e-01 2.718352e+00,6.655975e-03 -5.330334e-01 2.718477e+00,7.043499e-03 -5.351754e-01 2.721162e+00,1.115388e-02 -5.414549e-01 2.721967e+00,1.454874e-02 -5.469894e-01 2.724278e+00,1.661413e-02 -5.509604e-01 2.726182e+00,2.078189e-02 -5.612902e-01 2.732723e+00,2.132424e-02 -5.623006e-01 2.734944e+00,2.187314e-02 -5.634595e-01 2.737992e+00,2.281223e-02 -5.632432e-01 2.743531e+00,2.278429e-02 -5.629228e-01 2.744990e+00,2.647269e-02 -5.607607e-01 2.748883e+00,2.840057e-02 -5.608796e-01 2.750338e+00,3.002119e-02 -5.603330e-01 2.751403e+00,3.239589e-02 -5.601366e-01 2.752516e+00,3.523946e-02 -5.602053e-01 2.753751e+00,4.072717e-02 -5.607489e-01 2.756005e+00,4.199155e-02 -5.607511e-01 2.756258e+00,4.308537e-02 -5.607377e-01 2.756787e+00,4.468530e-02 -5.607660e-01 2.757205e+00,4.510262e-02 -5.606955e-01 2.757443e+00,4.572764e-02 -5.601996e-01 2.757087e+00,4.620657e-02 -5.598400e-01 2.756708e+00,4.618262e-02 -5.598745e-01 2.756310e+00,4.616282e-02 -5.598789e-01 2.756246e+00,4.635448e-02 -5.595016e-01 2.755851e+00
3.694480e-02 -2.666051e-01 2.748830e+00,3.593598e-02 -2.663418e-01 2.748686e+00,3.512761e-02 -2.663558e-01 2.747961e+00,3.376708e-02 -2.663066e-01 2.747035e+00,3.194024e-02 -2.663314e-01 2.746188e+00,3.008670e-02 -2.660403e-01 2.745217e+00,2.806746e-02 -2.660518e-01 2.744688e+00,2.394889e-02 -2.664126e-01 2.742615e+00,2.237264e-02 -2.676115e-01 2.741938e+00,2.265704e-02 -2.652804e-01 2.739599e+00,2.341098e-02 -2.601805e-01 2.738706e+00,2.125841e-02 -2.414351e-01 2.729184e+00,2.161633e-02 -2.420216e-01 2.729404e+00,2.179923e-02 -2.422908e-01 2.728932e+00,2.210115e-02 -2.432708e-01 2.728999e+00,2.360974e-02 -2.461392e-01 2.729056e+00,2.485220e-02 -2.504234e-01 2.731027e+00,2.555804e-02 -2.526162e-01 2.732457e+00,2.671490e-02 -2.594741e-01 2.741707e+00,2.842831e-02 -2.603416e-01 2.745535e+00,3.042830e-02 -2.625054e-01 2.750827e+00,3.254801e-02 -2.640407e-01 2.755864e+00,3.302755e-02 -2.641501e-01 2.757709e+00,3.526089e-02 -2.640388e-01 2.761017e+00,3.651173e-02 -2.644885e-01 2.761922e+00,3.767122e-02 -2.646019e-01 2.762810e+00,4.010804e-02 -2.651335e-01 2.764836e+00,4.179183e-02 -2.655387e-01 2.766101e+00,4.526622e-02 -2.660457e-01 2.768547e+00,4.608287e-02 -2.661371e-01 2.769018e+00,4.666582e-02 -2.662973e-01 2.769886e+00,4.736475e-02 -2.666963e-01 2.770947e+00,4.762885e-02 -2.667849e-01 2.771709e+00,4.759865e-02 -2.668514e-01 2.771989e+00,4.756568e-02 -2.668437e-01 2.772022e+00,4.700543e-02 -2.669508e-01 2.771944e+00,4.677155e-02 -2.669340e-01 2.771977e+00,4.661850e-02 -2.669589e-01 2.771982e+00
3.324100e-02 2.007865e-02 2.753403e+00,3.236041e-02 2.018194e-02 2.753697e+00,3.182086e-02 2.029898e-02 2.753256e+00,3.123169e-02 2.065261e-02 2.752973e+00,3.084263e-02 2.077474e-02 2.752672e+00,3.064153e-02 2.094098e-02 2.752449e+00,3.052386e-02 2.116076e-02 2.752692e+00,2.927525e-02 2.283852e-02 2.751036e+00,2.851143e-02 2.319410e-02 2.750625e+00,3.435668e-02 2.650768e-02 2.745552e+00,3.599134e-02 2.876324e-02 2.744978e+00,3.456317e-02 4.626964e-02 2.724828e+00,3.692659e-02 4.354728e-02 2.726094e+00,3.694733e-02 4.323914e-02 2.724498e+00,3.725254e-02 4.219775e-02 2.723184e+00,3.734116e-02 4.159024e-02 2.723067e+00,3.629284e-02 3.907785e-02 2.724985e+00,3.598349e-02 3.837582e-02 2.725896e+00,3.303889e-02 3.468347e-02 2.739158e+00,3.593845e-02 3.490359e-02 2.744141e+00,3.946532e-02 3.212845e-02 2.751345e+00,4.255069e-02 2.908178e-02 2.755826e+00,4.350300e-02 2.857281e-02 2.757952e+00,4.448325e-02 2.726205e-02 2.760850e+00,4.508184e-02 2.666007e-02 2.761225e+00,4.578653e-02 2.602712e-02 2.761882e+00,4.803905e-02 2.452970e-02 2.764779e+00,4.877744e-02 2.389440e-02 2.765932e+00,5.044700e-02 2.333783e-02 2.768462e+00,5.080727e-02 2.317509e-02 2.769046e+00,5.081300e-02 2.277237e-02 2.770460e+00,5.054750e-02 2.177629e-02 2.772513e+00,5.038824e-02 2.144232e-02 2.774065e+00,4.900171e-02 2.073421e-02 2.775681e+00,4.815897e-02 2.043221e-02 2.776190e+00,4.655080e-02 2.025796e-02 2.776219e+00,4.599176e-02 2.035999e-02 2.776334e+00,4.528338e-02 1.997301e-02 2.776501e+00
5.233821e-02 1.604685e-01 2.752414e+00,5.059376e-02 1.604622e-01 2.752988e+00,4.949603e-02 1.605590e-01 2.753240e+00,4.695620e-02 1.604954e-01 2.754260e+00,4.532099e-02 1.607539e-01 2.754337e+00,4.295291e-02 1.616109e-01 2.754851e+00,4.068409e-02 1.623777e-01 2.755988e+00,3.448951e-02 1.695097e-01 2.759618e+00,2.726323e-02 1.814964e-01 2.758037e+00,3.172658e-02 1.773770e-01 2.760133e+00,3.062023e-02 1.786567e-01 2.760200e+00,3.049912e-02 1.769541e-01 2.759446e+00,3.268825e-02 1.758130e-01 2.760469e+00,3.508717e-02 1.765665e-01 2.758897e+00,3.681946e-02 1.754587e-01 2.759142e+00,3.619604e-02 1.761795e-01 2.759787e+00,3.292800e-02 1.737768e-01 2.763617e+00,3.181402e-02 1.728458e-01 2.763923e+00,2.587796e-02 1.701963e-01 2.767196e+00,2.635048e-02 1.701992e-01 2.767526e+00,2.769927e-02 1.690987e-01 2.769193e+00,2.951720e-02 1.677536e-01 2.770531e+00,3.080703e-02 1.678327e-01 2.770496e+00,3.520220e-02 1.671951e-01 2.770259e+00,3.765469e-02 1.666591e-01 2.770485e+00,4.147245e-02 1.656468e-01 2.770437e+00,4.649362e-02 1.643172e-01 2.770187e+00,4.931431e-02 1.637653e-01 2.770215e+00,5.422207e-02 1.620863e-01 2.771473e+00,5.681122e-02 1.612240e-01 2.771880e+00,5.778569e-02 1.609866e-01 2.772367e+00,5.849456e-02 1.603932e-01 2.772987e+00,5.859251e-02 1.601574e-01 2.773260e+00,5.849166e-02 1.599976e-01 2.773755e+00,5.826101e-02 1.599883e-01 2.773855e+00,5.764275e-02 1.599722e-01 2.773747e+00,5.705570e-02 1.601401e-01 2.773692e+00,5.577737e-02 1.599499e-01 2.774237e+00
-1.178716e-01 -8.712014e-02 2.731800e+00,-1.186239e-01 -8.714350e-02 2.732577e+00,-1.188554e-01 -8.720807e-02 2.732728e+00,-1.197339e-01 -8.813805e-02 2.734391e+00,-1.200926e-01 -8.868206e-02 2.735292e+00,-1.205101e-01 -8.867084e-02 2.736984e+00,-1.204961e-01 -8.936290e-02 2.743901e+00,-1.179314e-01 -8.790544e-02 2.753907e+00,-1.145380e-01 -8.566725e-02 2.759933e+00,-9.963558e-02 -7.857569e-02 2.752065e+00,-9.653798e-02 -6.851493e-02 2.753807e+00,-8.333284e-02 -6.834304e-02 2.731801e+00,-8.334237e-02 -6.817396e-02 2.732723e+00,-8.332755e-02 -6.888320e-02 2.732480e+00,-8.624961e-02 -6.580883e-02 2.740810e+00,-8.687859e-02 -8.839027e-02 2.729555e+00,-8.604173e-02 -9.087412e-02 2.730869e+00,-8.512770e-02 -8.639936e-02 2.739358e+00,-8.769784e-02 -8.315207e-02 2.752758e+00,-9.149006e-02 -8.630183e-02 2.757610e+00,-9.991866e-02 -8.468856e-02 2.771065e+00,-1.039555e-01 -8.663478e-02 2.774146e+00,-1.046329e-01 -8.646532e-02 2.773849e+00,-1.058512e-01 -8.679122e-02 2.772026e+00,-1.060021e-01 -8.794467e-02 2.769753e+00,-1.061551e-01 -8.768258e-02 2.768502e+00,-1.048712e-01 -8.890481e-02 2.762125e+00,-1.045287e-01 -8.885723e-02 2.760807e+00,-1.026640e-01 -8.845929e-02 2.757385e+00,-1.024278e-01 -8.837306e-02 2.756334e+00,-1.023587e-01 -8.833575e-02 2.755982e+00,-1.026394e-01 -8.836932e-02 2.755243e+00,-1.027905e-01 -8.835875e-02 2.755291e+00,-1.033343e-01 -8.851358e-02 2.755303e+00,-1.039043e-01 -8.868691e-02 2.755388e+00,-1.049958e-01 -8.905911e-02 2.755375e+00,-1.056696e-01 -8.918724e-02 2.755701e+00,-1.068694e-01 -8.984924e-02 2.755996e+00
-1.581046e-01 -3.197617e-01 2.733397e+00,-1.595257e-01 -3.212936e-01 2.734372e+00,-1.597285e-01 -3.215084e-01 2.734586e+00,-1.596510e-01 -3.229843e-01 2.737409e+00,-1.595912e-01 -3.222751e-01 2.740935e+00,-1.591743e-01 -3.219471e-01 2.744633e+00,-1.561237e-01 -3.187484e-01 2.754918e+00,-1.539184e-01 -3.166919e-01 2.768282e+00,-1.514258e-01 -3.168477e-01 2.776172e+00,-1.366572e-01 -2.807279e-01 2.807279e+00,-1.361135e-01 -2.810378e-01 2.807770e+00,-1.324378e-01 -2.799743e-01 2.810683e+00,-1.300917e-01 -2.807009e-01 2.814287e+00,-1.278951e-01 -2.822015e-01 2.816560e+00,-1.224667e-01 -2.840616e-01 2.822037e+00,-1.215106e-01 -2.853487e-01 2.823416e+00,-1.200493e-01 -2.873464e-01 2.827029e+00,-1.197942e-01 -2.889279e-01 2.828644e+00,-1.200870e-01 -2.906575e-01 2.829492e+00,-1.217167e-01 -2.923509e-01 2.829754e+00,-1.299880e-01 -3.061126e-01 2.829173e+00,-1.375136e-01 -3.153599e-01 2.822174e+00,-1.412890e-01 -3.179852e-01 2.816465e+00,-1.496407e-01 -3.155977e-01 2.806312e+00,-1.525891e-01 -3.134606e-01 2.798653e+00,-1.543275e-01 -3.142649e-01 2.789865e+00,-1.490978e-01 -3.179160e-01 2.778567e+00,-1.449170e-01 -3.170345e-01 2.774280e+00,-1.408489e-01 -3.181962e-01 2.766839e+00,-1.398352e-01 -3.182380e-01 2.763640e+00,-1.402044e-01 -3.186892e-01 2.761877e+00,-1.426267e-01 -3.194433e-01 2.757883e+00,-1.431333e-01 -3.199384e-01 2.757445e+00,-1.433395e-01 -3.203050e-01 2.757179e+00,-1.433614e-01 -3.203129e-01 2.757214e+00,-1.442037e-01 -3.208128e-01 2.757289e+00,-1.450364e-01 -3.208141e-01 2.757430e+00,-1.471931e-01 -3.204919e-01 2.758619e+00
-1.548497e-01 -5.105383e-01 2.656106e+00,-1.559008e-01 -5.116687e-01 2.655966e+00,-1.567912e-01 -5.119528e-01 2.656351e+00,-1.585898e-01 -5.130100e-01 2.657968e+00,-1.595062e-01 -5.114442e-01 2.659146e+00,-1.603609e-01 -5.104750e-01 2.661167e+00,-1.640588e-01 -5.063771e-01 2.669603e+00,-1.711079e-01 -5.026515e-01 2.680419e+00,-1.728380e-01 -5.005993e-01 2.684187e+00,-1.734359e-01 -4.637896e-01 2.719077e+00,-1.729257e-01 -4.646805e-01 2.720981e+00,-1.592665e-01 -4.698980e-01 2.736144e+00,-1.577281e-01 -4.736470e-01 2.744794e+00,-1.576983e-01 -4.785089e-01 2.748159e+00,-1.553136e-01 -4.827662e-01 2.753515e+00,-1.549453e-01 -4.848163e-01 2.755100e+00,-1.543916e-01 -4.876275e-01 2.758836e+00,-1.544713e-01 -4.895596e-01 2.760528e+00,-1.551437e-01 -4.916666e-01 2.761399e+00,-1.547983e-01 -4.918492e-01 2.761980e+00,-1.562338e-01 -4.980124e-01 2.760979e+00,-1.634111e-01 -5.062255e-01 2.750575e+00,-1.680382e-01 -5.089111e-01 2.745476e+00,-1.698098e-01 -5.081121e-01 2.737829e+00,-1.698187e-01 -5.065827e-01 2.731217e+00,-1.682424e-01 -5.074377e-01 2.721668e+00,-1.559264e-01 -5.099772e-01 2.705492e+00,-1.542928e-01 -5.092724e-01 2.702101e+00,-1.490711e-01 -5.103661e-01 2.694278e+00,-1.476936e-01 -5.102800e-01 2.690627e+00,-1.472537e-01 -5.109386e-01 2.689414e+00,-1.466672e-01 -5.125494e-01 2.687882e+00,-1.464992e-01 -5.130066e-01 2.687277e+00,-1.453400e-01 -5.129161e-01 2.685462e+00,-1.452188e-01 -5.128142e-01 2.685142e+00,-1.452695e-01 -5.131223e-01 2.684593e+00,-1.455256e-01 -5.131586e-01 2.684832e+00,-1.458502e-01 -5.126052e-01 2.685292e+00
-1.404008e-01 -5.160626e-01 2.653488e+00,-1.408197e-01 -5.183389e-01 2.652399e+00,-1.417656e-01 -5.221068e-01 2.653419e+00,-1.458938e-01 -5.409158e-01 2.654527e+00,-1.469786e-01 -5.379469e-01 2.653044e+00,-1.489708e-01 -5.374406e-01 2.655525e+00,-1.524822e-01 -5.350788e-01 2.661699e+00,-1.553784e-01 -5.262560e-01 2.670516e+00,-1.557492e-01 -5.263087e-01 2.677552e+00,-1.595652e-01 -5.121974e-01 2.688987e+00,-1.614273e-01 -5.139675e-01 2.699100e+00,-1.693794e-01 -5.201675e-01 2.724211e+00,-1.614596e-01 -5.131784e-01 2.727552e+00,-1.647497e-01 -5.188683e-01 2.746682e+00,-1.569400e-01 -5.289196e-01 2.758518e+00,-1.532395e-01 -5.325479e-01 2.757601e+00,-1.476115e-01 -5.367655e-01 2.755671e+00,-1.465223e-01 -5.410304e-01 2.748455e+00,-1.419547e-01 -5.429671e-01 2.740753e+00,-1.460489e-01 -5.419075e-01 2.736949e+00,-1.480939e-01 -5.412515e-01 2.738674e+00,-1.618745e-01 -5.363399e-01 2.733701e+00,-1.572197e-01 -5.222691e-01 2.729365e+00,-1.641179e-01 -5.367896e-01 2.717799e+00,-1.613590e-01 -5.374115e-01 2.709807e+00,-1.555858e-01 -5.378695e-01 2.701426e+00,-1.424817e-01 -5.388488e-01 2.688698e+00,-1.382138e-01 -5.388008e-01 2.686326e+00,-1.325105e-01 -5.380206e-01 2.682408e+00,-1.262337e-01 -5.163610e-01 2.678860e+00,-1.273549e-01 -5.234863e-01 2.679821e+00,-1.293514e-01 -5.211985e-01 2.680401e+00,-1.333181e-01 -5.427705e-01 2.677709e+00,-1.329613e-01 -5.428052e-01 2.677549e+00,-1.328283e-01 -5.418882e-01 2.676702e+00,-1.332295e-01 -5.428292e-01 2.679116e+00,-1.335707e-01 -5.421969e-01 2.677790e+00,-1.344783e-01 -5.426356e-01 2.676866e+00
1.834349e-01 -9.029418e-02 2.731522e+00,1.818838e-01 -9.029738e-02 2.729080e+00,1.810702e-01 -9.046272e-02 2.727548e+00,1.797961e-01 -9.073026e-02 2.725205e+00,1.784801e-01 -9.050762e-02 2.722009e+00,1.772970e-01 -8.987541e-02 2.718475e+00,1.714586e-01 -8.759080e-02 2.709500e+00,1.237533e-01 -9.414556e-02 2.657115e+00,8.439562e-02 -1.137000e-01 2.654703e+00,8.674926e-02 -1.092448e-01 2.655204e+00,9.212602e-02 -9.764359e-02 2.653885e+00,1.211935e-01 -2.629333e-02 2.640375e+00,1.212258e-01 -2.590165e-02 2.640243e+00,1.206935e-01 -2.496747e-02 2.640333e+00,1.177243e-01 -2.896528e-02 2.638982e+00,1.179641e-01 -3.057970e-02 2.639144e+00,1.147681e-01 -4.703066e-02 2.640728e+00,1.140497e-01 -5.212412e-02 2.643050e+00,9.401383e-02 -9.697484e-02 2.664389e+00,1.025278e-01 -9.558237e-02 2.667672e+00,1.176094e-01 -9.743194e-02 2.674687e+00,1.444091e-01 -8.573413e-02 2.688838e+00,1.476572e-01 -8.753516e-02 2.691410e+00,1.859485e-01 -8.342808e-02 2.727031e+00,1.880570e-01 -8.579839e-02 2.729074e+00,1.907530e-01 -8.747526e-02 2.732519e+00,1.934863e-01 -9.044588e-02 2.739264e+00,1.944018e-01 -9.112621e-02 2.742723e+00,1.961505e-01 -9.180680e-02 2.749152e+00,1.967291e-01 -9.221876e-02 2.751559e+00,1.972290e-01 -9.259048e-02 2.754619e+00,1.970848e-01 -9.255133e-02 2.756997e+00,1.968675e-01 -9.276238e-02 2.757536e+00,1.965166e-01 -9.295967e-02 2.757712e+00,1.963424e-01 -9.313288e-02 2.757729e+00,1.957653e-01 -9.319921e-02 2.757761e+00,1.950263e-01 -9.310112e-02 2.757544e+00,1.942992e-01 -9.290215e-02 2.757196e+00
2.141495e-01 -3.317342e-01 2.767968e+00,2.141204e-01 -3.328305e-01 2.766117e+00,2.141439e-01 -3.327908e-01 2.766032e+00,2.134011e-01 -3.238063e-01 2.754151e+00,2.097044e-01 -3.030199e-01 2.738922e+00,2.115955e-01 -2.902431e-01 2.699579e+00,2.003481e-01 -2.351407e-01 2.536407e+00,1.591405e-01 -9.930943e-02 2.441834e+00,1.333273e-01 -2.333537e-02 2.440248e+00,9.126756e-02 7.554124e-02 2.435002e+00,8.356183e-02 1.000716e-01 2.445999e+00,6.071159e-02 1.587928e-01 2.467436e+00,4.557326e-02 1.605702e-01 2.480628e+00,3.934938e-02 1.614794e-01 2.482922e+00,4.550484e-02 1.421536e-01 2.483881e+00,3.626462e-02 1.567391e-01 2.463439e+00,7.875797e-02 8.627952e-02 2.450031e+00,1.048587e-01 3.871848e-02 2.434405e+00,1.653712e-01 -5.910534e-02 2.457792e+00,1.646816e-01 -4.418788e-02 2.462126e+00,2.256574e-01 -1.842487e-01 2.510325e+00,2.451915e-01 -2.620676e-01 2.668053e+00,2.561237e-01 -2.632932e-01 2.705616e+00,2.640876e-01 -2.870686e-01 2.745980e+00,2.647679e-01 -2.975451e-01 2.762077e+00,2.604825e-01 -3.074256e-01 2.774421e+00,2.405464e-01 -3.302699e-01 2.796824e+00,2.360436e-01 -3.353780e-01 2.801847e+00,2.285084e-01 -3.348678e-01 2.805823e+00,2.277046e-01 -3.345164e-01 2.806282e+00,2.272648e-01 -3.343420e-01 2.807279e+00,2.272843e-01 -3.342241e-01 2.807376e+00,2.269516e-01 -3.337759e-01 2.807137e+00,2.261467e-01 -3.332119e-01 2.805694e+00,2.259056e-01 -3.327256e-01 2.804760e+00,2.251647e-01 -3.321048e-01 2.802130e+00,2.249907e-01 -3.321419e-01 2.801214e+00,2.245992e-01 -3.328850e-01 2.798804e+00
2.209706e-01 -5.256996e-01 2.701422e+00,2.200709e-01 -5.260976e-01 2.697078e+00,2.236830e-01 -5.212180e-01 2.683171e+00,2.187280e-01 -4.591432e-01 2.593464e+00,2.102745e-01 -3.888825e-01 2.545288e+00,1.964954e-01 -3.087251e-01 2.488091e+00,1.464209e-01 -8.905444e-02 2.394152e+00,8.270910e-02 8.745039e-02 2.400262e+00,4.259861e-02 1.578959e-01 2.408000e+00,-5.339395e-03 2.490704e-01 2.380405e+00,-2.318153e-02 2.701990e-01 2.376480e+00,-6.877488e-02 3.311233e-01 2.358655e+00,-7.506469e-02 3.393976e-01 2.360813e+00,-8.085769e-02 3.444262e-01 2.363797e+00,-8.549471e-02 3.399101e-01 2.375574e+00,-8.199453e-02 3.277362e-01 2.384382e+00,-2.771794e-02 2.558355e-01 2.403826e+00,9.731489e-03 2.184342e-01 2.416283e+00,7.018100e-02 1.209124e-01 2.434886e+00,8.213624e-02 1.355617e-01 2.401762e+00,1.636670e-01 -1.130685e-02 2.410424e+00,2.020424e-01 -1.197992e-01 2.518061e+00,2.440295e-01 -1.790160e-01 2.510823e+00,3.137704e-01 -4.386835e-01 2.611317e+00,3.023102e-01 -4.791142e-01 2.671173e+00,2.929399e-01 -4.978310e-01 2.704796e+00,2.700276e-01 -5.261785e-01 2.747769e+00,2.496468e-01 -5.342970e-01 2.759979e+00,2.393942e-01 -5.336263e-01 2.761771e+00,2.397899e-01 -5.330434e-01 2.761271e+00,2.409013e-01 -5.323378e-01 2.759834e+00,2.424849e-01 -5.310592e-01 2.754598e+00,2.429817e-01 -5.304345e-01 2.753840e+00,2.431296e-01 -5.282588e-01 2.745749e+00,2.441880e-01 -5.278662e-01 2.745686e+00,2.447344e-01 -5.275553e-01 2.744884e+00,2.441848e-01 -5.267280e-01 2.740266e+00,2.427223e-01 -5.279219e-01 2.739242e+00
