3.569645e-02 -6.132308e-01 2.768018e+00,3.575172e-02 -6.131936e-01 2.767902e+00,3.525908e-02 -6.120741e-01 2.767712e+00,3.496448e-02 -6.123548e-01 2.767526e+00,3.436182e-02 -6.124510e-01 2.767205e+00,3.326556e-02 -6.122549e-01 2.767132e+00,3.128469e-02 -6.122380e-01 2.766852e+00,2.930744e-02 -6.121783e-01 2.766861e+00,2.766593e-02 -6.118649e-01 2.767243e+00,2.691644e-02 -6.110422e-01 2.767915e+00,2.721705e-02 -6.107985e-01 2.768207e+00,2.777428e-02 -6.107358e-01 2.768399e+00,2.927199e-02 -6.096391e-01 2.769941e+00,3.030891e-02 -6.088753e-01 2.770642e+00,3.656475e-02 -6.042320e-01 2.772696e+00,3.860980e-02 -6.003739e-01 2.773692e+00,3.829319e-02 -5.979746e-01 2.773736e+00,3.974928e-02 -5.973027e-01 2.773779e+00,3.971462e-02 -5.975480e-01 2.773555e+00,3.844804e-02 -5.955465e-01 2.773038e+00,3.534950e-02 -5.948775e-01 2.773410e+00,3.541496e-02 -5.953500e-01 2.772825e+00,3.212012e-02 -5.964446e-01 2.771519e+00,2.954946e-02 -5.958549e-01 2.769827e+00,2.835618e-02 -5.971507e-01 2.768172e+00,2.508618e-02 -6.007575e-01 2.767150e+00,2.174167e-02 -6.062170e-01 2.765229e+00,2.198544e-02 -6.064397e-01 2.764636e+00,2.300855e-02 -6.069303e-01 2.763700e+00,2.503182e-02 -6.090387e-01 2.761912e+00,2.687181e-02 -6.098390e-01 2.761528e+00,2.978467e-02 -6.106320e-01 2.760092e+00,3.102917e-02 -6.106027e-01 2.759604e+00,3.255032e-02 -6.107022e-01 2.759099e+00,3.503504e-02 -6.107713e-01 2.758171e+00,3.684311e-02 -6.111941e-01 2.757571e+00,3.865471e-02 -6.114407e-01 2.756943e+00,4.278310e-02 -6.124864e-01 2.757032e+00,4.428564e-02 -6.124967e-01 2.756578e+00,4.444398e-02 -6.126207e-01 2.756706e+00,4.480225e-02 -6.127300e-01 2.756961e+00,4.517666e-02 -6.131195e-01 2.757136e+00,4.541466e-02 -6.133666e-01 2.757272e+00,4.672285e-02 -6.140508e-01 2.758228e+00
4.389827e-02 -3.245181e-01 2.780320e+00,4.367322e-02 -3.245777e-01 2.780261e+00,4.285629e-02 -3.239999e-01 2.780485e+00,4.225908e-02 -3.243062e-01 2.780363e+00,4.155155e-02 -3.243120e-01 2.780192e+00,4.057603e-02 -3.241675e-01 2.780154e+00,3.987172e-02 -3.241547e-01 2.779948e+00,3.836130e-02 -3.237913e-01 2.779964e+00,3.753240e-02 -3.234605e-01 2.780113e+00,3.571541e-02 -3.227298e-01 2.781281e+00,3.553292e-02 -3.224399e-01 2.781794e+00,3.519843e-02 -3.222878e-01 2.781946e+00,3.478493e-02 -3.219762e-01 2.782336e+00,3.467213e-02 -3.214424e-01 2.782578e+00,3.486936e-02 -3.208724e-01 2.782912e+00,3.523538e-02 -3.186830e-01 2.783053e+00,3.448916e-02 -3.166730e-01 2.782938e+00,3.429341e-02 -3.154324e-01 2.782578e+00,3.399326e-02 -3.154734e-01 2.782112e+00,3.312073e-02 -3.150159e-01 2.781667e+00,3.225792e-02 -3.148616e-01 2.781560e+00,3.219458e-02 -3.150430e-01 2.781363e+00,3.184868e-02 -3.148081e-01 2.780858e+00,3.163357e-02 -3.145470e-01 2.780455e+00,3.146658e-02 -3.144512e-01 2.779624e+00,3.037577e-02 -3.156184e-01 2.779161e+00,2.910361e-02 -3.182496e-01 2.777875e+00,2.946231e-02 -3.184980e-01 2.777032e+00,3.010988e-02 -3.186765e-01 2.776378e+00,3.302387e-02 -3.206809e-01 2.773865e+00,3.485673e-02 -3.216103e-01 2.773215e+00,3.887340e-02 -3.224469e-01 2.771514e+00,3.917858e-02 -3.222527e-01 2.771445e+00,4.090726e-02 -3.219621e-01 2.770808e+00,4.526242e-02 -3.223025e-01 2.769457e+00,4.703965e-02 -3.225046e-01 2.769044e+00,4.852080e-02 -3.231846e-01 2.768357e+00,5.056448e-02 -3.239386e-01 2.768355e+00,5.234255e-02 -3.242428e-01 2.767927e+00,5.279187e-02 -3.243506e-01 2.767956e+00,5.334824e-02 -3.244874e-01 2.768008e+00,5.364545e-02 -3.247822e-01 2.768133e+00,5.390637e-02 -3.251088e-01 2.768219e+00,5.433193e-02 -3.253148e-01 2.768474e+00
5.142011e-02 -4.035833e-02 2.780456e+00,5.031672e-02 -4.077012e-02 2.780432e+00,4.919962e-02 -4.064004e-02 2.780991e+00,4.837360e-02 -4.095655e-02 2.780898e+00,4.770090e-02 -4.089705e-02 2.780808e+00,4.700948e-02 -4.081952e-02 2.780747e+00,4.694312e-02 -4.081654e-02 2.780616e+00,4.594830e-02 -4.022182e-02 2.780546e+00,4.582589e-02 -3.990890e-02 2.780514e+00,4.304083e-02 -3.935862e-02 2.782173e+00,4.218386e-02 -3.888967e-02 2.783155e+00,3.959653e-02 -3.824147e-02 2.783394e+00,3.669755e-02 -3.844152e-02 2.783033e+00,3.606629e-02 -3.782260e-02 2.782929e+00,3.307863e-02 -3.898109e-02 2.781970e+00,3.262381e-02 -3.834325e-02 2.781480e+00,3.144756e-02 -3.741453e-02 2.780923e+00,2.793129e-02 -3.562171e-02 2.778760e+00,2.726874e-02 -3.568419e-02 2.777805e+00,2.651309e-02 -3.664890e-02 2.777324e+00,2.655102e-02 -3.687461e-02 2.777092e+00,2.657395e-02 -3.714938e-02 2.777040e+00,2.874354e-02 -3.605651e-02 2.776288e+00,3.024139e-02 -3.590779e-02 2.776304e+00,3.176095e-02 -3.472885e-02 2.775900e+00,3.182466e-02 -3.493724e-02 2.775932e+00,3.243974e-02 -3.594024e-02 2.775666e+00,3.359880e-02 -3.608807e-02 2.774793e+00,3.449906e-02 -3.596045e-02 2.774473e+00,3.966977e-02 -3.758232e-02 2.771652e+00,4.176876e-02 -3.858189e-02 2.770977e+00,4.741215e-02 -3.930396e-02 2.769419e+00,4.738479e-02 -3.885348e-02 2.769623e+00,4.920158e-02 -3.811226e-02 2.769017e+00,5.561106e-02 -3.880515e-02 2.767574e+00,5.718001e-02 -3.877784e-02 2.767402e+00,5.833726e-02 -3.984584e-02 2.766728e+00,5.896660e-02 -4.028331e-02 2.766711e+00,6.088809e-02 -4.071659e-02 2.766322e+00,6.161404e-02 -4.081403e-02 2.766197e+00,6.231391e-02 -4.099318e-02 2.766008e+00,6.243017e-02 -4.122389e-02 2.766101e+00,6.263325e-02 -4.162268e-02 2.766146e+00,6.259450e-02 -4.146682e-02 2.766060e+00
5.624472e-02 6.874064e-02 2.787426e+00,5.574743e-02 6.846362e-02 2.787741e+00,5.441641e-02 6.851293e-02 2.788532e+00,5.382494e-02 6.829232e-02 2.789136e+00,5.357938e-02 6.792323e-02 2.789667e+00,5.335834e-02 6.781931e-02 2.789775e+00,5.344837e-02 6.771065e-02 2.790172e+00,5.321245e-02 6.839494e-02 2.789989e+00,5.169784e-02 6.894829e-02 2.790789e+00,4.747465e-02 6.940240e-02 2.793788e+00,4.497818e-02 6.978723e-02 2.796166e+00,4.048522e-02 7.158097e-02 2.797348e+00,3.590555e-02 7.133899e-02 2.798800e+00,3.345454e-02 7.050914e-02 2.799066e+00,2.860365e-02 7.307775e-02 2.799844e+00,2.841178e-02 7.256728e-02 2.799960e+00,2.749857e-02 7.103989e-02 2.800522e+00,2.707677e-02 7.149170e-02 2.800135e+00,2.631708e-02 7.190657e-02 2.799557e+00,2.582405e-02 7.223947e-02 2.799829e+00,2.510498e-02 7.291277e-02 2.799850e+00,2.524447e-02 7.301122e-02 2.799735e+00,2.727575e-02 7.340908e-02 2.799211e+00,2.754929e-02 7.359266e-02 2.798920e+00,2.897122e-02 7.265405e-02 2.798198e+00,3.021048e-02 7.201265e-02 2.798009e+00,3.284245e-02 7.043614e-02 2.796684e+00,3.352853e-02 7.026690e-02 2.796232e+00,3.409081e-02 7.045444e-02 2.795561e+00,3.592261e-02 7.031655e-02 2.793235e+00,3.903899e-02 7.025301e-02 2.791960e+00,4.269427e-02 7.070418e-02 2.788821e+00,4.718506e-02 7.220495e-02 2.786081e+00,4.783911e-02 7.203139e-02 2.785612e+00,5.104764e-02 7.222147e-02 2.783245e+00,5.222564e-02 7.209047e-02 2.782011e+00,5.514117e-02 7.082197e-02 2.778086e+00,5.601346e-02 6.985764e-02 2.777499e+00,5.796604e-02 6.986596e-02 2.776278e+00,5.953309e-02 6.992050e-02 2.775064e+00,6.053082e-02 6.975742e-02 2.774189e+00,6.190007e-02 6.955197e-02 2.773930e+00,6.227174e-02 6.915928e-02 2.773789e+00,6.262590e-02 6.904902e-02 2.773876e+00
-1.040559e-01 -1.474774e-01 2.764403e+00,-1.038802e-01 -1.475561e-01 2.764134e+00,-1.040921e-01 -1.475341e-01 2.764026e+00,-1.044184e-01 -1.478812e-01 2.763712e+00,-1.046220e-01 -1.477022e-01 2.763378e+00,-1.049498e-01 -1.475347e-01 2.762539e+00,-1.049264e-01 -1.467808e-01 2.761293e+00,-1.038279e-01 -1.435878e-01 2.757531e+00,-1.051358e-01 -1.441358e-01 2.756441e+00,-1.064109e-01 -1.443627e-01 2.756088e+00,-1.071907e-01 -1.442878e-01 2.756813e+00,-1.114224e-01 -1.455395e-01 2.760162e+00,-1.119409e-01 -1.440404e-01 2.761587e+00,-1.121361e-01 -1.441275e-01 2.761767e+00,-1.119098e-01 -1.438145e-01 2.761658e+00,-1.118373e-01 -1.436923e-01 2.762051e+00,-1.120350e-01 -1.438981e-01 2.762785e+00,-1.118799e-01 -1.438221e-01 2.763557e+00,-1.119192e-01 -1.438787e-01 2.763942e+00,-1.115167e-01 -1.424135e-01 2.765060e+00,-1.115095e-01 -1.423502e-01 2.765147e+00,-1.115676e-01 -1.420494e-01 2.765390e+00,-1.115647e-01 -1.420187e-01 2.765451e+00,-1.109525e-01 -1.421335e-01 2.766201e+00,-1.111409e-01 -1.428452e-01 2.765804e+00,-1.115752e-01 -1.431536e-01 2.766889e+00,-1.111552e-01 -1.448116e-01 2.766552e+00,-1.111530e-01 -1.448124e-01 2.766503e+00,-1.106326e-01 -1.443506e-01 2.765720e+00,-1.080230e-01 -1.468808e-01 2.763238e+00,-1.057729e-01 -1.458017e-01 2.761790e+00,-1.028041e-01 -1.483385e-01 2.760366e+00,-1.013252e-01 -1.478649e-01 2.759789e+00,-1.006942e-01 -1.482170e-01 2.759708e+00,-9.772431e-02 -1.491376e-01 2.757975e+00,-9.608996e-02 -1.488374e-01 2.757064e+00,-9.477393e-02 -1.488816e-01 2.755846e+00,-9.464925e-02 -1.490577e-01 2.755804e+00,-9.423367e-02 -1.490750e-01 2.755606e+00,-9.282558e-02 -1.486604e-01 2.754744e+00,-9.284186e-02 -1.487049e-01 2.754686e+00,-9.236104e-02 -1.488800e-01 2.754478e+00,-9.180105e-02 -1.487588e-01 2.754110e+00,-9.159690e-02 -1.485829e-01 2.754167e+00
-1.488927e-01 -3.930248e-01 2.769061e+00,-1.490345e-01 -3.919590e-01 2.769120e+00,-1.496063e-01 -3.919774e-01 2.768766e+00,-1.503140e-01 -3.924118e-01 2.767987e+00,-1.512981e-01 -3.908658e-01 2.767765e+00,-1.515578e-01 -3.910941e-01 2.767741e+00,-1.537511e-01 -3.830118e-01 2.769255e+00,-1.545850e-01 -3.797815e-01 2.769140e+00,-1.547086e-01 -3.798558e-01 2.768863e+00,-1.547054e-01 -3.802980e-01 2.768773e+00,-1.544575e-01 -3.807873e-01 2.768845e+00,-1.537351e-01 -3.865867e-01 2.768382e+00,-1.512655e-01 -3.885455e-01 2.770491e+00,-1.488475e-01 -3.863178e-01 2.772995e+00,-1.469139e-01 -3.863290e-01 2.775938e+00,-1.445423e-01 -3.824432e-01 2.780656e+00,-1.436649e-01 -3.807602e-01 2.783270e+00,-1.426024e-01 -3.793801e-01 2.788067e+00,-1.424060e-01 -3.791382e-01 2.790381e+00,-1.412919e-01 -3.769065e-01 2.795691e+00,-1.417227e-01 -3.825041e-01 2.797401e+00,-1.415432e-01 -3.810591e-01 2.797990e+00,-1.425137e-01 -3.851299e-01 2.797778e+00,-1.433186e-01 -3.895148e-01 2.796285e+00,-1.443405e-01 -3.945143e-01 2.792092e+00,-1.445741e-01 -3.947242e-01 2.791807e+00,-1.446314e-01 -3.953683e-01 2.789613e+00,-1.445778e-01 -3.962465e-01 2.786449e+00,-1.444351e-01 -3.961702e-01 2.784752e+00,-1.432577e-01 -3.973967e-01 2.780220e+00,-1.424629e-01 -3.948046e-01 2.779033e+00,-1.413122e-01 -3.945906e-01 2.776227e+00,-1.408777e-01 -3.945206e-01 2.775224e+00,-1.400712e-01 -3.954118e-01 2.773705e+00,-1.379081e-01 -3.961527e-01 2.770912e+00,-1.362718e-01 -3.947828e-01 2.769733e+00,-1.332312e-01 -3.955497e-01 2.766294e+00,-1.327807e-01 -3.958031e-01 2.765714e+00,-1.303828e-01 -3.912777e-01 2.764871e+00,-1.293714e-01 -3.897705e-01 2.764312e+00,-1.290920e-01 -3.888905e-01 2.763938e+00,-1.287181e-01 -3.883557e-01 2.763988e+00,-1.286627e-01 -3.883695e-01 2.764053e+00,-1.293516e-01 -3.900395e-01 2.764011e+00
-1.570565e-01 -5.962352e-01 2.689070e+00,-1.570577e-01 -5.951844e-01 2.689143e+00,-1.576547e-01 -5.952437e-01 2.688915e+00,-1.578576e-01 -5.959336e-01 2.688842e+00,-1.582015e-01 -5.948662e-01 2.689979e+00,-1.583859e-01 -5.950944e-01 2.689950e+00,-1.618813e-01 -6.013920e-01 2.689765e+00,-1.613395e-01 -5.846739e-01 2.693998e+00,-1.614236e-01 -5.848896e-01 2.694173e+00,-1.615177e-01 -5.852528e-01 2.693845e+00,-1.607198e-01 -5.853916e-01 2.692744e+00,-1.583032e-01 -5.903664e-01 2.689655e+00,-1.539522e-01 -5.910177e-01 2.687850e+00,-1.514507e-01 -5.880016e-01 2.688128e+00,-1.491556e-01 -5.871595e-01 2.688783e+00,-1.483333e-01 -5.825815e-01 2.691727e+00,-1.497148e-01 -5.815883e-01 2.696284e+00,-1.524365e-01 -5.897954e-01 2.702850e+00,-1.533678e-01 -5.854762e-01 2.706668e+00,-1.583441e-01 -5.814620e-01 2.721455e+00,-1.567799e-01 -5.867724e-01 2.721800e+00,-1.576645e-01 -5.850995e-01 2.721913e+00,-1.588893e-01 -5.889143e-01 2.721017e+00,-1.594690e-01 -5.933076e-01 2.719549e+00,-1.596441e-01 -5.984349e-01 2.715610e+00,-1.588920e-01 -5.982288e-01 2.713813e+00,-1.588463e-01 -5.980059e-01 2.709016e+00,-1.585479e-01 -5.991898e-01 2.706710e+00,-1.582022e-01 -5.991396e-01 2.705047e+00,-1.571752e-01 -6.013194e-01 2.703459e+00,-1.566999e-01 -5.992352e-01 2.703913e+00,-1.554969e-01 -5.986013e-01 2.699761e+00,-1.535738e-01 -5.985056e-01 2.698360e+00,-1.534876e-01 -5.993206e-01 2.696763e+00,-1.512756e-01 -6.001844e-01 2.694350e+00,-1.497062e-01 -5.984299e-01 2.691975e+00,-1.452084e-01 -5.986486e-01 2.686715e+00,-1.437951e-01 -5.987108e-01 2.685463e+00,-1.421575e-01 -5.946292e-01 2.686014e+00,-1.415587e-01 -5.933235e-01 2.686122e+00,-1.413230e-01 -5.926587e-01 2.686404e+00,-1.412012e-01 -5.922135e-01 2.686772e+00,-1.411663e-01 -5.922238e-01 2.686830e+00,-1.412871e-01 -5.938752e-01 2.686643e+00
-1.425441e-01 -6.011568e-01 2.685090e+00,-1.435258e-01 -6.013746e-01 2.684330e+00,-1.423148e-01 -6.015584e-01 2.686387e+00,-1.422821e-01 -6.020135e-01 2.686579e+00,-1.427242e-01 -6.010704e-01 2.687458e+00,-1.440594e-01 -6.014987e-01 2.688095e+00,-1.402315e-01 -6.280569e-01 2.679235e+00,-1.428869e-01 -6.189842e-01 2.683795e+00,-1.425235e-01 -6.202484e-01 2.685155e+00,-1.412567e-01 -6.197087e-01 2.685958e+00,-1.404426e-01 -6.205741e-01 2.681357e+00,-1.415779e-01 -6.063952e-01 2.680897e+00,-1.314090e-01 -6.244206e-01 2.675173e+00,-1.303393e-01 -6.232679e-01 2.673426e+00,-1.264751e-01 -6.254944e-01 2.678383e+00,-1.255198e-01 -6.229851e-01 2.686039e+00,-1.292605e-01 -6.101997e-01 2.694400e+00,-1.292486e-01 -6.343790e-01 2.690607e+00,-1.322272e-01 -6.243765e-01 2.698037e+00,-1.358960e-01 -6.360471e-01 2.700583e+00,-1.380235e-01 -6.232452e-01 2.706171e+00,-1.398780e-01 -6.170623e-01 2.708007e+00,-1.428208e-01 -6.273185e-01 2.708183e+00,-1.427034e-01 -6.326343e-01 2.705488e+00,-1.456693e-01 -6.168744e-01 2.704376e+00,-1.454930e-01 -6.162230e-01 2.701032e+00,-1.441927e-01 -6.158274e-01 2.698171e+00,-1.418870e-01 -6.157641e-01 2.694355e+00,-1.408881e-01 -6.144160e-01 2.693403e+00,-1.394634e-01 -6.120659e-01 2.692882e+00,-1.396980e-01 -6.134198e-01 2.693725e+00,-1.397770e-01 -6.128659e-01 2.689108e+00,-1.378054e-01 -6.099494e-01 2.689865e+00,-1.364366e-01 -6.099958e-01 2.688515e+00,-1.321401e-01 -6.079133e-01 2.685998e+00,-1.305761e-01 -6.054556e-01 2.683108e+00,-1.266486e-01 -6.291116e-01 2.675254e+00,-1.245660e-01 -6.285172e-01 2.673803e+00,-1.237103e-01 -6.286057e-01 2.672695e+00,-1.238751e-01 -6.284466e-01 2.676353e+00,-1.235611e-01 -6.286371e-01 2.676062e+00,-1.242120e-01 -6.261374e-01 2.680126e+00,-1.250390e-01 -6.251840e-01 2.677919e+00,-1.246375e-01 -6.294202e-01 2.680507e+00
1.938561e-01 -1.565016e-01 2.770478e+00,1.934574e-01 -1.563832e-01 2.770693e+00,1.927105e-01 -1.559771e-01 2.771269e+00,1.919100e-01 -1.559039e-01 2.771204e+00,1.912151e-01 -1.564173e-01 2.772186e+00,1.905422e-01 -1.560773e-01 2.773196e+00,1.898289e-01 -1.558568e-01 2.773645e+00,1.883569e-01 -1.565358e-01 2.775781e+00,1.888078e-01 -1.546201e-01 2.776567e+00,1.885534e-01 -1.513743e-01 2.775067e+00,1.853786e-01 -1.455387e-01 2.768628e+00,1.786604e-01 -1.359591e-01 2.756261e+00,1.732305e-01 -1.292197e-01 2.749984e+00,1.571671e-01 -1.305605e-01 2.737081e+00,1.537853e-01 -1.233843e-01 2.729630e+00,1.505637e-01 -1.180234e-01 2.726014e+00,1.497739e-01 -1.160050e-01 2.723473e+00,1.493351e-01 -1.160277e-01 2.722329e+00,1.488118e-01 -1.164252e-01 2.721777e+00,1.456114e-01 -1.167459e-01 2.716272e+00,1.453600e-01 -1.169021e-01 2.715505e+00,1.460184e-01 -1.175484e-01 2.716019e+00,1.492373e-01 -1.191541e-01 2.719035e+00,1.521575e-01 -1.208914e-01 2.721253e+00,1.603332e-01 -1.243789e-01 2.724924e+00,1.616913e-01 -1.322703e-01 2.729494e+00,1.604932e-01 -1.397405e-01 2.732322e+00,1.650200e-01 -1.399008e-01 2.733939e+00,1.799961e-01 -1.461037e-01 2.740658e+00,1.850208e-01 -1.494619e-01 2.743633e+00,1.874075e-01 -1.509794e-01 2.745036e+00,1.906972e-01 -1.515823e-01 2.746486e+00,1.913263e-01 -1.514309e-01 2.746818e+00,1.943610e-01 -1.514311e-01 2.749089e+00,1.982338e-01 -1.525076e-01 2.751398e+00,1.993276e-01 -1.529355e-01 2.751995e+00,2.001918e-01 -1.534230e-01 2.752670e+00,2.010857e-01 -1.545682e-01 2.753461e+00,2.025471e-01 -1.551713e-01 2.754676e+00,2.032322e-01 -1.558070e-01 2.755011e+00,2.034123e-01 -1.560286e-01 2.755016e+00,2.042821e-01 -1.567386e-01 2.755634e+00,2.043037e-01 -1.568346e-01 2.755609e+00,2.044251e-01 -1.579424e-01 2.755336e+00
2.252137e-01 -3.992329e-01 2.789465e+00,2.251843e-01 -3.994289e-01 2.790060e+00,2.248412e-01 -3.975961e-01 2.795527e+00,2.245898e-01 -3.957370e-01 2.802814e+00,2.209907e-01 -3.798518e-01 2.826228e+00,2.196481e-01 -3.778657e-01 2.828115e+00,2.188575e-01 -3.747620e-01 2.827604e+00,2.218191e-01 -3.602248e-01 2.821559e+00,2.919663e-01 -3.401888e-01 2.721192e+00,3.056328e-01 -2.675235e-01 2.619970e+00,3.159738e-01 -1.718587e-01 2.583107e+00,2.994246e-01 -1.036581e-01 2.564438e+00,2.575201e-01 -4.588082e-03 2.547000e+00,2.496473e-01 9.760003e-03 2.547010e+00,2.176629e-01 6.048804e-02 2.538640e+00,2.111806e-01 6.911246e-02 2.537013e+00,1.990429e-01 6.920193e-02 2.549929e+00,1.919926e-01 6.936328e-02 2.542966e+00,1.911635e-01 6.644014e-02 2.543496e+00,1.914735e-01 6.012624e-02 2.538464e+00,1.954424e-01 5.302255e-02 2.534680e+00,2.045912e-01 3.757317e-02 2.536236e+00,2.335836e-01 4.038883e-03 2.524112e+00,2.494857e-01 -2.183669e-02 2.526716e+00,2.721476e-01 -8.597433e-02 2.528459e+00,2.777002e-01 -1.235318e-01 2.531942e+00,2.859620e-01 -2.180584e-01 2.539026e+00,2.948437e-01 -2.542786e-01 2.560648e+00,3.044951e-01 -2.876012e-01 2.619224e+00,2.772011e-01 -3.145684e-01 2.830234e+00,2.611599e-01 -3.632905e-01 2.745579e+00,2.417639e-01 -3.677991e-01 2.767770e+00,2.409193e-01 -3.741737e-01 2.774302e+00,2.406068e-01 -3.784744e-01 2.778749e+00,2.438810e-01 -3.939725e-01 2.788285e+00,2.442246e-01 -3.965672e-01 2.789351e+00,2.442644e-01 -4.004222e-01 2.790199e+00,2.442745e-01 -4.005602e-01 2.791055e+00,2.421598e-01 -3.892872e-01 2.792989e+00,2.418815e-01 -3.906142e-01 2.792704e+00,2.414207e-01 -3.918275e-01 2.792058e+00,2.411018e-01 -3.928898e-01 2.791388e+00,2.408877e-01 -3.936009e-01 2.791072e+00,2.399853e-01 -3.953301e-01 2.789232e+00
2.132547e-01 -6.016980e-01 2.707735e+00,2.318998e-01 -6.058508e-01 2.720387e+00,2.352004e-01 -6.026057e-01 2.721588e+00,2.373445e-01 -5.982960e-01 2.721758e+00,2.358890e-01 -5.606472e-01 2.700278e+00,2.533092e-01 -5.223389e-01 2.661984e+00,2.782890e-01 -4.260682e-01 2.616922e+00,2.642997e-01 -2.917815e-01 2.702556e+00,2.689028e-01 -1.373871e-01 2.635209e+00,2.499258e-01 -4.105924e-02 2.600213e+00,2.285888e-01 2.731999e-02 2.578673e+00,2.405926e-01 2.360563e-02 2.547030e+00,1.884422e-01 1.898102e-01 2.469626e+00,1.826807e-01 2.170488e-01 2.440012e+00,1.756869e-01 2.405711e-01 2.404370e+00,1.729455e-01 2.392043e-01 2.398575e+00,1.690608e-01 2.247816e-01 2.388538e+00,1.642780e-01 2.138352e-01 2.374325e+00,1.620260e-01 2.068939e-01 2.371551e+00,1.603741e-01 1.916258e-01 2.359553e+00,1.633378e-01 1.719086e-01 2.346907e+00,1.669955e-01 1.611817e-01 2.352709e+00,1.795588e-01 1.103075e-01 2.333511e+00,1.835808e-01 8.678953e-02 2.341367e+00,2.212519e-01 -3.307319e-02 2.427403e+00,2.218491e-01 -6.725101e-02 2.427954e+00,2.619932e-01 -1.959531e-01 2.490803e+00,2.703263e-01 -2.415432e-01 2.509751e+00,2.190941e-01 -2.822505e-01 2.410562e+00,2.603913e-01 -3.731332e-01 2.613350e+00,2.546722e-01 -4.492159e-01 2.538011e+00,2.580556e-01 -5.256358e-01 2.612104e+00,2.497045e-01 -5.557718e-01 2.648937e+00,2.535383e-01 -5.656863e-01 2.663297e+00,2.629021e-01 -5.921531e-01 2.696949e+00,2.637775e-01 -5.975285e-01 2.705443e+00,2.665604e-01 -6.062791e-01 2.722868e+00,2.664637e-01 -6.083674e-01 2.731511e+00,2.649305e-01 -5.987761e-01 2.741496e+00,2.641074e-01 -6.011328e-01 2.746711e+00,2.631769e-01 -6.028567e-01 2.749040e+00,2.620919e-01 -6.042393e-01 2.750055e+00,2.612937e-01 -6.051359e-01 2.750670e+00,2.614740e-01 -6.070161e-01 2.750882e+00
