6.700385e-03 -4.816984e-01 2.811541e+00,6.520242e-03 -4.815162e-01 2.810994e+00,6.474179e-03 -4.814546e-01 2.810823e+00,5.860057e-03 -4.813777e-01 2.810792e+00,5.622827e-03 -4.812829e-01 2.810727e+00,4.676050e-03 -4.809332e-01 2.810519e+00,3.800284e-03 -4.803577e-01 2.809679e+00,3.604224e-03 -4.800464e-01 2.809373e+00,3.061746e-03 -4.796153e-01 2.809420e+00,1.786397e-03 -4.780169e-01 2.809212e+00,7.369468e-04 -4.769874e-01 2.809004e+00,-4.325894e-04 -4.747687e-01 2.809368e+00,-9.403164e-05 -4.735825e-01 2.809303e+00,2.304714e-04 -4.726903e-01 2.809286e+00,1.370827e-03 -4.688326e-01 2.810034e+00,3.018211e-03 -4.633533e-01 2.811951e+00,3.803816e-03 -4.613532e-01 2.812047e+00,4.209647e-03 -4.589280e-01 2.812589e+00,4.179707e-03 -4.586136e-01 2.812652e+00,3.966036e-03 -4.588670e-01 2.812400e+00,3.596518e-03 -4.594591e-01 2.812127e+00,3.521193e-03 -4.606526e-01 2.811700e+00,3.550457e-03 -4.610698e-01 2.811570e+00,3.586450e-03 -4.618648e-01 2.811279e+00,3.582162e-03 -4.626175e-01 2.811136e+00,3.570528e-03 -4.652178e-01 2.810434e+00,2.958420e-03 -4.675586e-01 2.809617e+00,2.840871e-03 -4.682504e-01 2.809387e+00,2.814499e-03 -4.690242e-01 2.809302e+00,2.621707e-03 -4.702025e-01 2.809088e+00,2.764006e-03 -4.712029e-01 2.809064e+00,3.033853e-03 -4.717426e-01 2.809319e+00,3.986532e-03 -4.726670e-01 2.809655e+00,4.091675e-03 -4.729322e-01 2.809824e+00,5.490739e-03 -4.740670e-01 2.810252e+00,6.086858e-03 -4.746016e-01 2.810410e+00,6.194066e-03 -4.747788e-01 2.810388e+00,6.563575e-03 -4.750362e-01 2.810448e+00,6.823845e-03 -4.751168e-01 2.810395e+00,7.348442e-03 -4.754042e-01 2.810452e+00,7.982839e-03 -4.755928e-01 2.810511e+00,8.095862e-03 -4.757146e-01 2.810659e+00
1.839887e-03 -1.685437e-01 2.812207e+00,1.777070e-03 -1.682163e-01 2.811721e+00,1.604482e-03 -1.677889e-01 2.811312e+00,1.315136e-03 -1.675728e-01 2.811074e+00,1.171980e-03 -1.674468e-01 2.811029e+00,9.061513e-04 -1.671379e-01 2.810794e+00,5.430641e-04 -1.666627e-01 2.810376e+00,4.860431e-04 -1.664731e-01 2.810262e+00,3.255556e-04 -1.659870e-01 2.810466e+00,-2.722624e-04 -1.641922e-01 2.811292e+00,-9.575721e-04 -1.629681e-01 2.811797e+00,-2.403610e-03 -1.601692e-01 2.813153e+00,-2.624415e-03 -1.589672e-01 2.813555e+00,-2.773469e-03 -1.580362e-01 2.813869e+00,-2.267665e-03 -1.553309e-01 2.814809e+00,-9.291364e-04 -1.512098e-01 2.815979e+00,-3.530202e-04 -1.498379e-01 2.815892e+00,-1.310097e-04 -1.482746e-01 2.815850e+00,-1.439892e-04 -1.480356e-01 2.815925e+00,-1.382265e-04 -1.480404e-01 2.815911e+00,-3.170457e-04 -1.481354e-01 2.816000e+00,-4.752767e-04 -1.487183e-01 2.816040e+00,-4.746496e-04 -1.490381e-01 2.816065e+00,-3.765083e-04 -1.497665e-01 2.815802e+00,-5.734157e-04 -1.507199e-01 2.815477e+00,-5.920808e-04 -1.521432e-01 2.814939e+00,-4.372886e-04 -1.541235e-01 2.813908e+00,-3.183247e-04 -1.545966e-01 2.813494e+00,-3.007468e-04 -1.550252e-01 2.813217e+00,-1.919707e-04 -1.557348e-01 2.812594e+00,-3.328270e-05 -1.562093e-01 2.812216e+00,1.154991e-04 -1.564673e-01 2.812126e+00,5.006733e-04 -1.570373e-01 2.811893e+00,5.522057e-04 -1.572707e-01 2.811987e+00,9.255939e-04 -1.576997e-01 2.812158e+00,1.202178e-03 -1.580643e-01 2.812194e+00,1.302343e-03 -1.581831e-01 2.812205e+00,1.652871e-03 -1.584760e-01 2.812140e+00,1.791960e-03 -1.586092e-01 2.812083e+00,2.147602e-03 -1.588429e-01 2.812061e+00,2.509748e-03 -1.590618e-01 2.812086e+00,2.546315e-03 -1.591415e-01 2.812114e+00
-2.788413e-03 1.387059e-01 2.798748e+00,-2.753864e-03 1.390872e-01 2.798356e+00,-3.105348e-03 1.399889e-01 2.797666e+00,-3.190293e-03 1.403581e-01 2.797140e+00,-3.249369e-03 1.404518e-01 2.797130e+00,-3.088511e-03 1.407250e-01 2.796859e+00,-3.124392e-03 1.409939e-01 2.796745e+00,-3.093337e-03 1.410686e-01 2.796752e+00,-2.815461e-03 1.417454e-01 2.797301e+00,-2.545329e-03 1.439542e-01 2.799781e+00,-2.869739e-03 1.454127e-01 2.801169e+00,-4.469854e-03 1.483670e-01 2.803533e+00,-5.384895e-03 1.496825e-01 2.804512e+00,-6.074246e-03 1.506782e-01 2.805190e+00,-5.798125e-03 1.527897e-01 2.806439e+00,-4.843365e-03 1.550644e-01 2.806776e+00,-4.458377e-03 1.557761e-01 2.806510e+00,-4.338002e-03 1.565652e-01 2.805986e+00,-4.339036e-03 1.566489e-01 2.806015e+00,-4.206513e-03 1.566780e-01 2.805973e+00,-4.451181e-03 1.568258e-01 2.806462e+00,-4.645185e-03 1.564839e-01 2.806749e+00,-4.647193e-03 1.562070e-01 2.806897e+00,-4.462215e-03 1.555491e-01 2.806637e+00,-4.847024e-03 1.542838e-01 2.805958e+00,-4.840634e-03 1.537120e-01 2.805590e+00,-3.891860e-03 1.520680e-01 2.804267e+00,-3.470568e-03 1.517928e-01 2.803557e+00,-3.407588e-03 1.516231e-01 2.803087e+00,-2.980476e-03 1.513243e-01 2.801947e+00,-2.683605e-03 1.512284e-01 2.801249e+00,-2.556986e-03 1.511353e-01 2.800846e+00,-2.432445e-03 1.508373e-01 2.800037e+00,-2.447086e-03 1.507326e-01 2.800075e+00,-2.519910e-03 1.506981e-01 2.800120e+00,-2.547536e-03 1.506144e-01 2.800080e+00,-2.525011e-03 1.506048e-01 2.800098e+00,-2.340643e-03 1.504258e-01 2.799968e+00,-2.335588e-03 1.503195e-01 2.799915e+00,-2.213204e-03 1.502294e-01 2.799856e+00,-2.122421e-03 1.501221e-01 2.799868e+00,-2.146206e-03 1.500781e-01 2.799833e+00
1.246456e-03 3.010238e-01 2.762343e+00,1.308235e-03 3.013362e-01 2.762468e+00,1.619928e-03 3.020228e-01 2.763228e+00,1.673961e-03 3.024215e-01 2.763599e+00,1.667645e-03 3.025202e-01 2.763825e+00,1.605462e-03 3.029572e-01 2.764308e+00,1.926657e-03 3.035975e-01 2.765157e+00,2.220162e-03 3.042893e-01 2.765979e+00,2.801783e-03 3.051042e-01 2.768398e+00,4.052346e-03 3.077046e-01 2.773852e+00,5.080821e-03 3.089918e-01 2.777761e+00,5.789934e-03 3.121125e-01 2.785967e+00,5.608236e-03 3.139803e-01 2.789732e+00,5.575463e-03 3.149219e-01 2.791629e+00,5.193920e-03 3.163084e-01 2.796487e+00,4.866898e-03 3.178318e-01 2.798913e+00,4.814280e-03 3.181677e-01 2.799086e+00,4.447690e-03 3.185660e-01 2.799445e+00,4.389649e-03 3.186036e-01 2.799427e+00,3.900289e-03 3.182304e-01 2.799180e+00,3.720231e-03 3.177493e-01 2.798958e+00,2.790960e-03 3.157454e-01 2.797354e+00,2.096631e-03 3.151353e-01 2.795826e+00,1.706739e-03 3.146798e-01 2.794266e+00,1.567689e-03 3.141660e-01 2.791222e+00,2.143038e-03 3.133528e-01 2.789450e+00,2.680316e-03 3.126065e-01 2.785714e+00,3.725981e-03 3.123587e-01 2.783800e+00,4.410391e-03 3.121140e-01 2.782828e+00,6.274179e-03 3.119938e-01 2.780757e+00,8.244518e-03 3.118205e-01 2.779086e+00,9.153159e-03 3.117143e-01 2.778873e+00,1.033275e-02 3.115194e-01 2.778489e+00,1.093739e-02 3.113246e-01 2.778490e+00,1.173984e-02 3.110234e-01 2.778145e+00,1.221947e-02 3.108836e-01 2.778036e+00,1.233631e-02 3.108369e-01 2.777956e+00,1.262458e-02 3.105825e-01 2.777702e+00,1.278728e-02 3.104592e-01 2.777691e+00,1.301832e-02 3.103546e-01 2.777609e+00,1.320410e-02 3.102533e-01 2.777555e+00,1.322453e-02 3.102458e-01 2.777555e+00
-1.631485e-01 2.872492e-02 2.790661e+00,-1.629876e-01 2.877915e-02 2.790027e+00,-1.629889e-01 2.854270e-02 2.789361e+00,-1.630355e-01 2.856039e-02 2.788593e+00,-1.633009e-01 2.854212e-02 2.788280e+00,-1.631148e-01 2.809227e-02 2.786871e+00,-1.628343e-01 2.803875e-02 2.785227e+00,-1.629105e-01 2.830548e-02 2.784836e+00,-1.628062e-01 2.841451e-02 2.784542e+00,-1.622492e-01 2.897401e-02 2.784102e+00,-1.618902e-01 2.975601e-02 2.784236e+00,-1.622245e-01 3.069342e-02 2.786238e+00,-1.622031e-01 3.108118e-02 2.787777e+00,-1.618705e-01 3.166195e-02 2.789528e+00,-1.620796e-01 3.296437e-02 2.793283e+00,-1.625539e-01 3.298131e-02 2.794019e+00,-1.627223e-01 3.298032e-02 2.794342e+00,-1.636834e-01 3.492825e-02 2.802756e+00,-1.641285e-01 3.499215e-02 2.805509e+00,-1.642831e-01 3.485560e-02 2.806531e+00,-1.641885e-01 3.484631e-02 2.806535e+00,-1.623186e-01 3.527776e-02 2.805448e+00,-1.620201e-01 3.539632e-02 2.804930e+00,-1.617547e-01 3.551310e-02 2.804130e+00,-1.622603e-01 3.575950e-02 2.802568e+00,-1.625036e-01 3.624599e-02 2.800641e+00,-1.618988e-01 3.639940e-02 2.795661e+00,-1.617840e-01 3.667539e-02 2.794157e+00,-1.616391e-01 3.694887e-02 2.792495e+00,-1.609560e-01 3.679859e-02 2.789954e+00,-1.596903e-01 3.639570e-02 2.787144e+00,-1.592266e-01 3.611909e-02 2.786309e+00,-1.581921e-01 3.594090e-02 2.785112e+00,-1.581502e-01 3.585871e-02 2.785011e+00,-1.578080e-01 3.566039e-02 2.784852e+00,-1.574998e-01 3.558001e-02 2.784653e+00,-1.574623e-01 3.556893e-02 2.784776e+00,-1.573278e-01 3.538918e-02 2.784907e+00,-1.572153e-01 3.528737e-02 2.784918e+00,-1.570506e-01 3.515846e-02 2.784932e+00,-1.569416e-01 3.521907e-02 2.785048e+00,-1.568276e-01 3.504840e-02 2.785053e+00
-2.182915e-01 -2.229252e-01 2.793606e+00,-2.181983e-01 -2.226354e-01 2.792493e+00,-2.181928e-01 -2.223150e-01 2.791766e+00,-2.182160e-01 -2.219269e-01 2.791403e+00,-2.181378e-01 -2.219154e-01 2.791188e+00,-2.179298e-01 -2.212981e-01 2.790676e+00,-2.177123e-01 -2.209945e-01 2.788999e+00,-2.175749e-01 -2.210814e-01 2.788106e+00,-2.175934e-01 -2.211963e-01 2.787800e+00,-2.174450e-01 -2.209240e-01 2.786653e+00,-2.173860e-01 -2.206222e-01 2.786624e+00,-2.173886e-01 -2.196677e-01 2.786792e+00,-2.174734e-01 -2.177846e-01 2.787905e+00,-2.176885e-01 -2.171730e-01 2.788833e+00,-2.181258e-01 -2.130854e-01 2.795039e+00,-2.183702e-01 -2.077376e-01 2.799565e+00,-2.188055e-01 -2.047878e-01 2.802494e+00,-2.189130e-01 -2.026801e-01 2.806366e+00,-2.189310e-01 -2.029584e-01 2.808089e+00,-2.189523e-01 -2.036162e-01 2.809473e+00,-2.190382e-01 -2.055756e-01 2.809911e+00,-2.180912e-01 -2.086675e-01 2.809574e+00,-2.183497e-01 -2.099409e-01 2.808536e+00,-2.188671e-01 -2.106994e-01 2.806861e+00,-2.203697e-01 -2.106858e-01 2.803325e+00,-2.214423e-01 -2.121236e-01 2.800400e+00,-2.227564e-01 -2.128779e-01 2.796088e+00,-2.229781e-01 -2.132453e-01 2.794118e+00,-2.229833e-01 -2.136825e-01 2.791325e+00,-2.227060e-01 -2.143857e-01 2.787918e+00,-2.220318e-01 -2.141109e-01 2.786668e+00,-2.217695e-01 -2.140927e-01 2.785847e+00,-2.206926e-01 -2.134243e-01 2.784976e+00,-2.205232e-01 -2.134128e-01 2.784938e+00,-2.198620e-01 -2.137445e-01 2.784977e+00,-2.191840e-01 -2.139466e-01 2.784868e+00,-2.189348e-01 -2.140124e-01 2.784973e+00,-2.186232e-01 -2.138068e-01 2.785310e+00,-2.184249e-01 -2.139496e-01 2.785378e+00,-2.183533e-01 -2.139197e-01 2.785416e+00,-2.182322e-01 -2.139971e-01 2.785495e+00,-2.181273e-01 -2.140874e-01 2.785680e+00
-2.273673e-01 -4.355198e-01 2.736762e+00,-2.273735e-01 -4.353079e-01 2.736036e+00,-2.271692e-01 -4.349333e-01 2.734998e+00,-2.271202e-01 -4.346201e-01 2.734968e+00,-2.270574e-01 -4.345622e-01 2.734534e+00,-2.270269e-01 -4.340016e-01 2.734320e+00,-2.270305e-01 -4.339585e-01 2.733958e+00,-2.271559e-01 -4.341781e-01 2.733796e+00,-2.277646e-01 -4.342849e-01 2.733603e+00,-2.285677e-01 -4.338751e-01 2.732013e+00,-2.291668e-01 -4.332730e-01 2.730683e+00,-2.299145e-01 -4.321041e-01 2.730018e+00,-2.303324e-01 -4.299883e-01 2.730100e+00,-2.300488e-01 -4.292808e-01 2.730429e+00,-2.304774e-01 -4.244308e-01 2.733200e+00,-2.302185e-01 -4.188843e-01 2.736670e+00,-2.299428e-01 -4.154181e-01 2.737288e+00,-2.297489e-01 -4.125322e-01 2.738075e+00,-2.297818e-01 -4.128229e-01 2.739854e+00,-2.288775e-01 -4.136636e-01 2.741750e+00,-2.291196e-01 -4.156946e-01 2.742523e+00,-2.312677e-01 -4.191356e-01 2.744300e+00,-2.323152e-01 -4.206131e-01 2.744315e+00,-2.363717e-01 -4.211522e-01 2.742893e+00,-2.391504e-01 -4.209320e-01 2.738985e+00,-2.401105e-01 -4.222992e-01 2.735757e+00,-2.409635e-01 -4.225437e-01 2.729294e+00,-2.411067e-01 -4.231634e-01 2.728276e+00,-2.411488e-01 -4.233159e-01 2.724399e+00,-2.406566e-01 -4.242347e-01 2.721756e+00,-2.390883e-01 -4.240267e-01 2.720455e+00,-2.371133e-01 -4.242229e-01 2.719924e+00,-2.344332e-01 -4.238637e-01 2.719792e+00,-2.332196e-01 -4.239162e-01 2.719730e+00,-2.293234e-01 -4.242124e-01 2.718911e+00,-2.275087e-01 -4.243905e-01 2.718506e+00,-2.269961e-01 -4.244224e-01 2.718437e+00,-2.259483e-01 -4.240704e-01 2.718093e+00,-2.250691e-01 -4.241815e-01 2.717947e+00,-2.250314e-01 -4.240064e-01 2.717440e+00,-2.246869e-01 -4.241440e-01 2.717716e+00,-2.242843e-01 -4.243219e-01 2.718197e+00
-2.214862e-01 -5.062563e-01 2.712060e+00,-2.208153e-01 -5.054976e-01 2.710124e+00,-2.220642e-01 -5.058072e-01 2.710296e+00,-2.195913e-01 -5.058107e-01 2.714573e+00,-2.214891e-01 -5.056367e-01 2.712567e+00,-2.231133e-01 -5.063515e-01 2.714142e+00,-2.218795e-01 -5.068248e-01 2.715487e+00,-2.207872e-01 -5.042868e-01 2.716588e+00,-2.236654e-01 -5.014635e-01 2.716088e+00,-2.278472e-01 -4.987676e-01 2.708743e+00,-2.303257e-01 -4.943253e-01 2.709715e+00,-2.306641e-01 -4.922045e-01 2.706579e+00,-2.304735e-01 -4.926547e-01 2.707920e+00,-2.277620e-01 -4.933158e-01 2.704877e+00,-2.250352e-01 -4.923098e-01 2.702423e+00,-2.247954e-01 -4.886826e-01 2.704579e+00,-2.255068e-01 -4.849469e-01 2.703200e+00,-2.261358e-01 -4.862282e-01 2.708412e+00,-2.259116e-01 -4.870650e-01 2.711257e+00,-2.280498e-01 -4.923202e-01 2.715441e+00,-2.302346e-01 -4.935661e-01 2.716616e+00,-2.331895e-01 -4.935206e-01 2.718899e+00,-2.332689e-01 -4.972475e-01 2.716931e+00,-2.347073e-01 -4.945263e-01 2.712738e+00,-2.354003e-01 -4.957983e-01 2.706110e+00,-2.373738e-01 -4.908952e-01 2.702531e+00,-2.366769e-01 -4.898868e-01 2.698238e+00,-2.368935e-01 -4.883521e-01 2.695848e+00,-2.336381e-01 -4.912794e-01 2.691113e+00,-2.306911e-01 -4.925102e-01 2.692271e+00,-2.286551e-01 -4.928654e-01 2.692213e+00,-2.265242e-01 -4.936976e-01 2.692406e+00,-2.236712e-01 -4.926427e-01 2.692954e+00,-2.217913e-01 -4.942506e-01 2.692399e+00,-2.203528e-01 -4.864481e-01 2.695726e+00,-2.164873e-01 -4.867235e-01 2.694899e+00,-2.180150e-01 -4.862742e-01 2.697526e+00,-2.146154e-01 -4.861965e-01 2.698498e+00,-2.119495e-01 -4.909089e-01 2.693112e+00,-2.113070e-01 -4.920942e-01 2.694584e+00,-2.121971e-01 -4.916837e-01 2.693434e+00,-2.136648e-01 -4.929470e-01 2.696635e+00
1.582673e-01 2.442943e-02 2.795420e+00,1.581081e-01 2.451313e-02 2.795246e+00,1.580041e-01 2.445891e-02 2.795173e+00,1.580898e-01 2.453133e-02 2.795263e+00,1.585081e-01 2.521591e-02 2.796093e+00,1.598541e-01 2.672957e-02 2.798989e+00,1.607894e-01 2.820506e-02 2.801039e+00,1.583036e-01 3.076427e-02 2.800965e+00,1.577498e-01 3.295299e-02 2.799578e+00,1.582837e-01 3.726466e-02 2.792873e+00,1.571427e-01 4.232801e-02 2.788632e+00,1.549930e-01 4.939435e-02 2.783600e+00,1.477893e-01 5.534580e-02 2.774434e+00,1.448729e-01 5.629832e-02 2.770386e+00,1.394772e-01 5.853971e-02 2.763253e+00,1.356434e-01 6.263723e-02 2.758765e+00,1.349593e-01 6.339090e-02 2.757292e+00,1.335368e-01 6.497768e-02 2.754672e+00,1.325789e-01 6.559977e-02 2.754248e+00,1.325024e-01 6.499961e-02 2.754414e+00,1.326696e-01 6.457952e-02 2.754775e+00,1.349079e-01 6.333683e-02 2.757577e+00,1.385430e-01 6.387953e-02 2.761458e+00,1.416842e-01 6.142276e-02 2.765454e+00,1.501835e-01 5.467988e-02 2.776622e+00,1.471195e-01 4.008923e-02 2.783700e+00,1.443700e-01 4.524217e-02 2.782890e+00,1.515517e-01 4.099544e-02 2.790383e+00,1.572450e-01 3.695611e-02 2.795468e+00,1.624392e-01 3.196403e-02 2.800622e+00,1.634434e-01 3.042348e-02 2.802536e+00,1.634653e-01 3.009162e-02 2.802547e+00,1.636554e-01 2.934644e-02 2.803135e+00,1.636893e-01 2.905626e-02 2.803255e+00,1.634488e-01 2.716077e-02 2.802283e+00,1.632750e-01 2.604292e-02 2.801367e+00,1.633056e-01 2.580420e-02 2.801324e+00,1.634640e-01 2.557295e-02 2.801118e+00,1.635305e-01 2.555291e-02 2.800995e+00,1.636025e-01 2.544514e-02 2.800860e+00,1.637047e-01 2.533824e-02 2.800655e+00,1.637584e-01 2.520020e-02 2.800541e+00
2.189356e-01 -2.345772e-01 2.795730e+00,2.190064e-01 -2.345458e-01 2.795851e+00,2.217198e-01 -2.307860e-01 2.800331e+00,2.283261e-01 -2.212925e-01 2.808386e+00,2.351817e-01 -2.117701e-01 2.811922e+00,2.536067e-01 -1.738175e-01 2.814534e+00,3.055371e-01 -1.801061e-01 2.749092e+00,2.922654e-01 -1.336529e-01 2.728761e+00,3.025251e-01 -1.182670e-01 2.717918e+00,3.187578e-01 -3.207774e-02 2.644483e+00,3.162813e-01 -2.268886e-02 2.636491e+00,2.979111e-01 4.922857e-02 2.594612e+00,2.855990e-01 8.065642e-02 2.575239e+00,2.483796e-01 1.379337e-01 2.569479e+00,2.399077e-01 1.444744e-01 2.564316e+00,2.017264e-01 1.724757e-01 2.552304e+00,1.919800e-01 1.780592e-01 2.547850e+00,1.879381e-01 1.946220e-01 2.536845e+00,1.883680e-01 1.945699e-01 2.536793e+00,2.075706e-01 1.675849e-01 2.548179e+00,2.297858e-01 1.462813e-01 2.551094e+00,2.612581e-01 1.057354e-01 2.567729e+00,2.814980e-01 6.806696e-02 2.579436e+00,2.913932e-01 5.084470e-02 2.589727e+00,3.272359e-01 -4.057733e-02 2.634694e+00,3.323720e-01 -7.717679e-02 2.662961e+00,3.051690e-01 -1.066647e-01 2.707566e+00,3.042043e-01 -1.120799e-01 2.712200e+00,3.010932e-01 -1.289109e-01 2.758613e+00,2.665130e-01 -1.577910e-01 2.815461e+00,2.501206e-01 -1.724173e-01 2.821074e+00,2.420680e-01 -1.820142e-01 2.822231e+00,2.282704e-01 -2.033876e-01 2.816659e+00,2.242357e-01 -2.146212e-01 2.813213e+00,2.156709e-01 -2.303301e-01 2.806888e+00,2.133449e-01 -2.329965e-01 2.805828e+00,2.128549e-01 -2.335906e-01 2.805824e+00,2.121916e-01 -2.348405e-01 2.805123e+00,2.118609e-01 -2.352517e-01 2.804990e+00,2.117282e-01 -2.356900e-01 2.804879e+00,2.115832e-01 -2.362039e-01 2.804394e+00,2.115964e-01 -2.363289e-01 2.804366e+00
2.273472e-01 -4.501167e-01 2.740488e+00,2.272953e-01 -4.496614e-01 2.740304e+00,2.275509e-01 -4.432994e-01 2.731315e+00,2.367996e-01 -4.168708e-01 2.701770e+00,2.386419e-01 -3.879976e-01 2.672736e+00,2.413854e-01 -2.579841e-01 2.602966e+00,2.439622e-01 -1.144170e-01 2.539064e+00,2.553151e-01 -6.440508e-02 2.618993e+00,2.511261e-01 5.085824e-02 2.577285e+00,2.505320e-01 1.534660e-01 2.538617e+00,2.378570e-01 2.300927e-01 2.522023e+00,2.310778e-01 2.891350e-01 2.492090e+00,2.238389e-01 3.118842e-01 2.472833e+00,2.073505e-01 3.515836e-01 2.437910e+00,1.928385e-01 3.888829e-01 2.394052e+00,1.899821e-01 3.737265e-01 2.377044e+00,1.890283e-01 3.670090e-01 2.369380e+00,1.876630e-01 3.632315e-01 2.364903e+00,1.872210e-01 3.589323e-01 2.366292e+00,1.913118e-01 3.270553e-01 2.384322e+00,1.940232e-01 3.088011e-01 2.395493e+00,1.981487e-01 2.649443e-01 2.420767e+00,2.043971e-01 2.324803e-01 2.446163e+00,1.985720e-01 2.096003e-01 2.459664e+00,2.130399e-01 1.074865e-01 2.508780e+00,2.162553e-01 5.879834e-02 2.524702e+00,2.514317e-01 -6.239364e-02 2.599901e+00,2.441824e-01 -9.478194e-02 2.590971e+00,2.073966e-01 -9.951827e-02 2.552400e+00,2.469576e-01 -2.122910e-01 2.594444e+00,2.394327e-01 -3.270741e-01 2.656713e+00,2.323008e-01 -3.643402e-01 2.670350e+00,2.374900e-01 -4.077159e-01 2.712489e+00,2.362740e-01 -4.226336e-01 2.722259e+00,2.324966e-01 -4.430654e-01 2.742517e+00,2.288158e-01 -4.503020e-01 2.750090e+00,2.268548e-01 -4.517208e-01 2.752781e+00,2.248449e-01 -4.530730e-01 2.755230e+00,2.244119e-01 -4.534315e-01 2.755864e+00,2.243207e-01 -4.534732e-01 2.755879e+00,2.237354e-01 -4.538175e-01 2.756299e+00,2.235589e-01 -4.539315e-01 2.756639e+00
