4.480176e-03 -4.768874e-01 2.808390e+00,4.387200e-03 -4.769181e-01 2.808384e+00,4.508481e-03 -4.770601e-01 2.808483e+00,4.571711e-03 -4.771331e-01 2.808552e+00,4.693524e-03 -4.771971e-01 2.808606e+00,4.672274e-03 -4.772409e-01 2.808812e+00,4.338316e-03 -4.770707e-01 2.809248e+00,4.273211e-03 -4.768956e-01 2.809430e+00,3.775413e-03 -4.767008e-01 2.809888e+00,3.418940e-03 -4.763280e-01 2.809705e+00,2.986642e-03 -4.759742e-01 2.810055e+00,2.083646e-03 -4.749645e-01 2.810777e+00,1.808169e-03 -4.746087e-01 2.810957e+00,1.121997e-03 -4.742956e-01 2.811157e+00,6.911696e-04 -4.724810e-01 2.811862e+00,7.844059e-04 -4.716658e-01 2.812525e+00,1.146886e-03 -4.700121e-01 2.813354e+00,1.991509e-03 -4.680849e-01 2.814141e+00,4.197150e-03 -4.641172e-01 2.815591e+00,4.968414e-03 -4.617637e-01 2.816163e+00,5.453878e-03 -4.594565e-01 2.816515e+00,5.869221e-03 -4.582159e-01 2.816585e+00,6.521700e-03 -4.565999e-01 2.816133e+00,6.484771e-03 -4.564236e-01 2.816065e+00,6.474759e-03 -4.564231e-01 2.816064e+00,6.312404e-03 -4.568157e-01 2.815765e+00,6.178371e-03 -4.579503e-01 2.815097e+00,4.462235e-03 -4.596291e-01 2.813936e+00,4.180855e-03 -4.599946e-01 2.813317e+00,3.537820e-03 -4.607130e-01 2.812516e+00,2.369521e-03 -4.620761e-01 2.811853e+00,8.128697e-04 -4.646295e-01 2.811609e+00,-2.750467e-04 -4.681915e-01 2.810957e+00,-4.370846e-04 -4.696474e-01 2.810667e+00,-4.967317e-04 -4.704894e-01 2.810418e+00,-2.462353e-04 -4.711038e-01 2.810317e+00,1.427810e-05 -4.725018e-01 2.810086e+00,1.733079e-04 -4.730588e-01 2.810254e+00,6.412646e-04 -4.735749e-01 2.810155e+00,1.046002e-03 -4.741284e-01 2.810134e+00,1.048356e-03 -4.744211e-01 2.810109e+00,1.359832e-03 -4.751404e-01 2.809815e+00,1.503057e-03 -4.754445e-01 2.809715e+00,1.525795e-03 -4.754661e-01 2.809686e+00,1.506082e-03 -4.754907e-01 2.809690e+00,1.461260e-03 -4.757113e-01 2.809648e+00,1.390107e-03 -4.758183e-01 2.809660e+00,1.199200e-03 -4.760446e-01 2.809756e+00,1.327736e-03 -4.761179e-01 2.809492e+00,1.331887e-03 -4.761531e-01 2.809504e+00
1.095257e-03 -1.588874e-01 2.808876e+00,1.062146e-03 -1.589518e-01 2.808918e+00,1.105723e-03 -1.590851e-01 2.809074e+00,1.201846e-03 -1.592151e-01 2.809223e+00,1.171099e-03 -1.592564e-01 2.809340e+00,1.108691e-03 -1.592970e-01 2.809435e+00,9.672491e-04 -1.593174e-01 2.809761e+00,8.481739e-04 -1.592458e-01 2.809924e+00,6.038691e-04 -1.593167e-01 2.810319e+00,5.174788e-04 -1.592218e-01 2.810405e+00,3.007747e-04 -1.590543e-01 2.811230e+00,-2.544575e-04 -1.584992e-01 2.812910e+00,-4.001221e-04 -1.582553e-01 2.813593e+00,-8.060120e-04 -1.578837e-01 2.814421e+00,-1.407446e-03 -1.563990e-01 2.816001e+00,-1.498677e-03 -1.557761e-01 2.816760e+00,-1.820442e-03 -1.540816e-01 2.817894e+00,-1.577728e-03 -1.527261e-01 2.818753e+00,-1.092472e-03 -1.514756e-01 2.818881e+00,-1.025351e-03 -1.509864e-01 2.818875e+00,-1.103452e-03 -1.494983e-01 2.819085e+00,-1.127280e-03 -1.484873e-01 2.818942e+00,-1.037809e-03 -1.478864e-01 2.818423e+00,-1.061715e-03 -1.477352e-01 2.818242e+00,-1.084657e-03 -1.477277e-01 2.818192e+00,-1.122273e-03 -1.475654e-01 2.818096e+00,-1.237853e-03 -1.480357e-01 2.817638e+00,-1.995437e-03 -1.486565e-01 2.817172e+00,-2.330806e-03 -1.490628e-01 2.816781e+00,-2.775122e-03 -1.494974e-01 2.816370e+00,-3.917234e-03 -1.504916e-01 2.815868e+00,-4.432213e-03 -1.512943e-01 2.815573e+00,-4.655166e-03 -1.530234e-01 2.815066e+00,-4.599405e-03 -1.541940e-01 2.814163e+00,-4.403740e-03 -1.548334e-01 2.813740e+00,-4.124295e-03 -1.552606e-01 2.813464e+00,-3.553797e-03 -1.560982e-01 2.812593e+00,-3.328033e-03 -1.563261e-01 2.812482e+00,-2.895906e-03 -1.566301e-01 2.812212e+00,-2.578575e-03 -1.570345e-01 2.812127e+00,-2.549715e-03 -1.571688e-01 2.812187e+00,-2.346555e-03 -1.575461e-01 2.812046e+00,-2.185343e-03 -1.577771e-01 2.811849e+00,-2.125285e-03 -1.578461e-01 2.811799e+00,-2.101960e-03 -1.578882e-01 2.811783e+00,-2.047901e-03 -1.580792e-01 2.811749e+00,-2.029740e-03 -1.581391e-01 2.811769e+00,-2.066117e-03 -1.583889e-01 2.811849e+00,-1.925396e-03 -1.586058e-01 2.811766e+00,-1.902068e-03 -1.586796e-01 2.811836e+00
-1.998026e-03 1.519566e-01 2.795571e+00,-1.979782e-03 1.518340e-01 2.795684e+00,-2.031495e-03 1.517280e-01 2.795912e+00,-1.924119e-03 1.515756e-01 2.796137e+00,-2.088781e-03 1.515582e-01 2.796341e+00,-2.206448e-03 1.515294e-01 2.796370e+00,-2.254558e-03 1.514076e-01 2.796640e+00,-2.451814e-03 1.514122e-01 2.796797e+00,-2.539502e-03 1.511338e-01 2.797196e+00,-2.488761e-03 1.511212e-01 2.797525e+00,-2.365736e-03 1.510235e-01 2.799210e+00,-2.512928e-03 1.510615e-01 2.802173e+00,-2.445424e-03 1.511496e-01 2.803594e+00,-2.508679e-03 1.517000e-01 2.805276e+00,-3.322361e-03 1.528535e-01 2.807441e+00,-3.585249e-03 1.532807e-01 2.808094e+00,-4.728374e-03 1.551499e-01 2.809381e+00,-4.926078e-03 1.560743e-01 2.810179e+00,-5.367852e-03 1.561794e-01 2.809372e+00,-5.671008e-03 1.559508e-01 2.808994e+00,-6.163182e-03 1.563910e-01 2.808953e+00,-7.004028e-03 1.567134e-01 2.808049e+00,-7.456133e-03 1.564483e-01 2.807100e+00,-7.551078e-03 1.563874e-01 2.806710e+00,-7.664219e-03 1.562686e-01 2.806493e+00,-7.850085e-03 1.566958e-01 2.806517e+00,-8.017502e-03 1.564203e-01 2.806148e+00,-8.444082e-03 1.561844e-01 2.806084e+00,-8.850647e-03 1.556292e-01 2.805925e+00,-9.119814e-03 1.553621e-01 2.805820e+00,-1.019632e-02 1.546016e-01 2.805586e+00,-1.024624e-02 1.545305e-01 2.805411e+00,-9.962882e-03 1.541009e-01 2.805148e+00,-9.396095e-03 1.533770e-01 2.803568e+00,-8.807036e-03 1.530145e-01 2.802927e+00,-8.399290e-03 1.528417e-01 2.802473e+00,-7.098929e-03 1.526503e-01 2.800661e+00,-6.642211e-03 1.526997e-01 2.800247e+00,-6.235930e-03 1.527108e-01 2.799901e+00,-6.039520e-03 1.525384e-01 2.799826e+00,-5.979832e-03 1.525183e-01 2.800009e+00,-5.877175e-03 1.524511e-01 2.799984e+00,-5.690478e-03 1.523682e-01 2.799718e+00,-5.604127e-03 1.522942e-01 2.799676e+00,-5.497253e-03 1.522477e-01 2.799637e+00,-5.325638e-03 1.521120e-01 2.799623e+00,-5.209380e-03 1.520854e-01 2.799684e+00,-5.118240e-03 1.518704e-01 2.799800e+00,-4.924687e-03 1.514933e-01 2.799931e+00,-4.880287e-03 1.514123e-01 2.800112e+00
1.743885e-02 3.113841e-01 2.779244e+00,1.758687e-02 3.112436e-01 2.779225e+00,1.769585e-02 3.111763e-01 2.779357e+00,1.774853e-02 3.111463e-01 2.779398e+00,1.775289e-02 3.110887e-01 2.779479e+00,1.761439e-02 3.112286e-01 2.779539e+00,1.681175e-02 3.112005e-01 2.780180e+00,1.655679e-02 3.112832e-01 2.780459e+00,1.634416e-02 3.115377e-01 2.781008e+00,1.567411e-02 3.120522e-01 2.781690e+00,1.491464e-02 3.124791e-01 2.783322e+00,1.364258e-02 3.135456e-01 2.787090e+00,1.300040e-02 3.139234e-01 2.788521e+00,1.237907e-02 3.144915e-01 2.791709e+00,1.133247e-02 3.151431e-01 2.796605e+00,1.039576e-02 3.159198e-01 2.799760e+00,9.431284e-03 3.167624e-01 2.802924e+00,8.651858e-03 3.166738e-01 2.804043e+00,8.070931e-03 3.164126e-01 2.804932e+00,7.532371e-03 3.164530e-01 2.805540e+00,7.225626e-03 3.163471e-01 2.805732e+00,6.470738e-03 3.160515e-01 2.805663e+00,5.946157e-03 3.155614e-01 2.805448e+00,5.693538e-03 3.154165e-01 2.805326e+00,5.444746e-03 3.152860e-01 2.805217e+00,4.708836e-03 3.150931e-01 2.804323e+00,3.556243e-03 3.154262e-01 2.803410e+00,1.519654e-03 3.147418e-01 2.801612e+00,6.714638e-04 3.136787e-01 2.799835e+00,8.789096e-06 3.135626e-01 2.798526e+00,-2.696783e-04 3.140499e-01 2.796087e+00,1.790995e-05 3.140291e-01 2.795112e+00,2.500263e-03 3.140044e-01 2.792596e+00,5.071053e-03 3.141378e-01 2.790733e+00,6.013641e-03 3.140858e-01 2.790069e+00,7.027844e-03 3.141562e-01 2.789505e+00,8.643682e-03 3.144059e-01 2.788433e+00,9.254880e-03 3.145142e-01 2.788065e+00,1.042696e-02 3.144960e-01 2.787696e+00,1.088546e-02 3.143284e-01 2.787656e+00,1.138078e-02 3.141848e-01 2.787717e+00,1.173573e-02 3.140405e-01 2.787593e+00,1.197500e-02 3.139824e-01 2.787420e+00,1.198674e-02 3.139808e-01 2.787393e+00,1.200543e-02 3.139745e-01 2.787390e+00,1.202381e-02 3.138953e-01 2.786999e+00,1.199437e-02 3.138442e-01 2.787009e+00,1.197466e-02 3.137587e-01 2.786992e+00,1.187376e-02 3.134407e-01 2.786909e+00,1.185715e-02 3.134076e-01 2.786892e+00
-1.568861e-01 3.208510e-02 2.779988e+00,-1.567585e-01 3.211557e-02 2.780098e+00,-1.566239e-01 3.209163e-02 2.780159e+00,-1.565297e-01 3.217194e-02 2.780368e+00,-1.566346e-01 3.232746e-02 2.780451e+00,-1.567944e-01 3.237365e-02 2.780495e+00,-1.570456e-01 3.245860e-02 2.780684e+00,-1.571388e-01 3.249098e-02 2.780708e+00,-1.571544e-01 3.251518e-02 2.780720e+00,-1.573731e-01 3.277458e-02 2.780550e+00,-1.575257e-01 3.324339e-02 2.781105e+00,-1.578159e-01 3.360439e-02 2.781805e+00,-1.578372e-01 3.382637e-02 2.782397e+00,-1.577728e-01 3.416581e-02 2.783333e+00,-1.581795e-01 3.474327e-02 2.786018e+00,-1.583016e-01 3.485662e-02 2.788368e+00,-1.599306e-01 3.356728e-02 2.789841e+00,-1.605914e-01 3.312980e-02 2.790782e+00,-1.620868e-01 3.253685e-02 2.792668e+00,-1.628724e-01 3.252200e-02 2.794141e+00,-1.641339e-01 3.195299e-02 2.802472e+00,-1.642695e-01 3.191750e-02 2.802282e+00,-1.644420e-01 3.183286e-02 2.802063e+00,-1.646057e-01 3.185679e-02 2.801909e+00,-1.648022e-01 3.178571e-02 2.801832e+00,-1.649834e-01 3.156016e-02 2.801129e+00,-1.647741e-01 3.172930e-02 2.801776e+00,-1.641553e-01 3.308799e-02 2.802389e+00,-1.633319e-01 3.404948e-02 2.802128e+00,-1.625115e-01 3.493261e-02 2.801591e+00,-1.629002e-01 3.527547e-02 2.800265e+00,-1.633461e-01 3.545314e-02 2.798481e+00,-1.638317e-01 3.521629e-02 2.794728e+00,-1.632885e-01 3.590035e-02 2.790917e+00,-1.631832e-01 3.574270e-02 2.789701e+00,-1.626066e-01 3.562298e-02 2.788162e+00,-1.610925e-01 3.558765e-02 2.785232e+00,-1.603045e-01 3.530272e-02 2.783787e+00,-1.599982e-01 3.541445e-02 2.782808e+00,-1.597319e-01 3.521518e-02 2.782463e+00,-1.596833e-01 3.501173e-02 2.782202e+00,-1.595376e-01 3.481708e-02 2.781941e+00,-1.595640e-01 3.487691e-02 2.781972e+00,-1.597843e-01 3.494294e-02 2.782055e+00,-1.598661e-01 3.499432e-02 2.782262e+00,-1.600601e-01 3.506063e-02 2.782408e+00,-1.600563e-01 3.507538e-02 2.782424e+00,-1.602442e-01 3.475422e-02 2.782627e+00,-1.605605e-01 3.489740e-02 2.782959e+00,-1.608015e-01 3.491139e-02 2.783123e+00
-2.165339e-01 -2.164421e-01 2.784546e+00,-2.165616e-01 -2.164037e-01 2.784446e+00,-2.165513e-01 -2.164470e-01 2.784523e+00,-2.166068e-01 -2.164881e-01 2.784515e+00,-2.166283e-01 -2.164650e-01 2.784584e+00,-2.167301e-01 -2.162594e-01 2.784705e+00,-2.169835e-01 -2.160792e-01 2.785070e+00,-2.170072e-01 -2.160452e-01 2.785111e+00,-2.171461e-01 -2.157871e-01 2.785202e+00,-2.175421e-01 -2.155322e-01 2.785084e+00,-2.179131e-01 -2.149834e-01 2.784997e+00,-2.183251e-01 -2.144772e-01 2.784891e+00,-2.185393e-01 -2.141271e-01 2.784646e+00,-2.186521e-01 -2.138901e-01 2.784770e+00,-2.187319e-01 -2.137112e-01 2.785580e+00,-2.186084e-01 -2.131283e-01 2.786580e+00,-2.187732e-01 -2.112904e-01 2.790121e+00,-2.191139e-01 -2.099753e-01 2.792373e+00,-2.187864e-01 -2.059749e-01 2.797665e+00,-2.184209e-01 -2.061087e-01 2.800601e+00,-2.183226e-01 -2.047083e-01 2.803351e+00,-2.181998e-01 -2.042898e-01 2.808133e+00,-2.183454e-01 -2.038824e-01 2.810674e+00,-2.184034e-01 -2.037151e-01 2.811634e+00,-2.183187e-01 -2.032954e-01 2.812426e+00,-2.184705e-01 -2.035438e-01 2.812871e+00,-2.186061e-01 -2.036850e-01 2.812919e+00,-2.193885e-01 -2.045719e-01 2.812383e+00,-2.200232e-01 -2.070438e-01 2.810778e+00,-2.205441e-01 -2.073119e-01 2.809695e+00,-2.217065e-01 -2.073978e-01 2.804743e+00,-2.227561e-01 -2.091868e-01 2.801100e+00,-2.237020e-01 -2.106528e-01 2.796738e+00,-2.240882e-01 -2.128072e-01 2.790898e+00,-2.240627e-01 -2.141829e-01 2.787559e+00,-2.238216e-01 -2.143501e-01 2.785879e+00,-2.228414e-01 -2.146834e-01 2.782174e+00,-2.224207e-01 -2.146605e-01 2.781776e+00,-2.216928e-01 -2.143911e-01 2.780460e+00,-2.213380e-01 -2.141885e-01 2.780272e+00,-2.210445e-01 -2.143045e-01 2.780122e+00,-2.205231e-01 -2.144253e-01 2.779999e+00,-2.203524e-01 -2.145005e-01 2.780259e+00,-2.203159e-01 -2.143475e-01 2.780395e+00,-2.203281e-01 -2.142263e-01 2.780509e+00,-2.204778e-01 -2.142767e-01 2.780620e+00,-2.204906e-01 -2.142352e-01 2.780898e+00,-2.205991e-01 -2.142298e-01 2.781375e+00,-2.208633e-01 -2.148460e-01 2.781651e+00,-2.208958e-01 -2.149370e-01 2.781816e+00
-2.201824e-01 -4.291443e-01 2.727177e+00,-2.202827e-01 -4.290957e-01 2.727034e+00,-2.203176e-01 -4.291103e-01 2.726982e+00,-2.203631e-01 -4.291264e-01 2.726858e+00,-2.204879e-01 -4.290856e-01 2.726854e+00,-2.205956e-01 -4.288725e-01 2.726943e+00,-2.205632e-01 -4.293309e-01 2.726869e+00,-2.207406e-01 -4.296044e-01 2.726874e+00,-2.212329e-01 -4.302518e-01 2.726880e+00,-2.220002e-01 -4.325497e-01 2.726327e+00,-2.221985e-01 -4.326817e-01 2.726369e+00,-2.233025e-01 -4.319952e-01 2.726998e+00,-2.246267e-01 -4.283648e-01 2.727526e+00,-2.252557e-01 -4.266787e-01 2.728164e+00,-2.259258e-01 -4.262254e-01 2.727778e+00,-2.261123e-01 -4.256473e-01 2.728845e+00,-2.265263e-01 -4.238197e-01 2.732450e+00,-2.264387e-01 -4.221888e-01 2.733153e+00,-2.265496e-01 -4.173875e-01 2.734980e+00,-2.272876e-01 -4.172814e-01 2.737126e+00,-2.281990e-01 -4.162104e-01 2.741436e+00,-2.286319e-01 -4.158019e-01 2.746382e+00,-2.289594e-01 -4.165585e-01 2.754220e+00,-2.294626e-01 -4.167609e-01 2.757116e+00,-2.302397e-01 -4.162250e-01 2.757568e+00,-2.321270e-01 -4.163359e-01 2.757890e+00,-2.334233e-01 -4.163117e-01 2.757532e+00,-2.420502e-01 -4.159682e-01 2.754602e+00,-2.424323e-01 -4.186085e-01 2.753702e+00,-2.426700e-01 -4.188640e-01 2.752420e+00,-2.422556e-01 -4.185202e-01 2.744758e+00,-2.428900e-01 -4.206437e-01 2.742459e+00,-2.421765e-01 -4.216151e-01 2.735243e+00,-2.411066e-01 -4.236022e-01 2.728187e+00,-2.408538e-01 -4.253990e-01 2.726574e+00,-2.402701e-01 -4.256111e-01 2.724967e+00,-2.373852e-01 -4.256785e-01 2.719502e+00,-2.360028e-01 -4.253933e-01 2.717742e+00,-2.309351e-01 -4.252233e-01 2.715798e+00,-2.288000e-01 -4.251354e-01 2.715752e+00,-2.268560e-01 -4.252593e-01 2.715398e+00,-2.247577e-01 -4.255279e-01 2.715693e+00,-2.244736e-01 -4.255490e-01 2.715725e+00,-2.243606e-01 -4.253736e-01 2.715761e+00,-2.241774e-01 -4.254375e-01 2.715879e+00,-2.240620e-01 -4.256951e-01 2.716204e+00,-2.240294e-01 -4.257042e-01 2.716377e+00,-2.237964e-01 -4.259917e-01 2.716767e+00,-2.237030e-01 -4.260758e-01 2.716981e+00,-2.236826e-01 -4.262385e-01 2.717121e+00
-2.045027e-01 -4.940906e-01 2.710057e+00,-2.068044e-01 -4.942607e-01 2.711752e+00,-2.118143e-01 -4.944518e-01 2.709642e+00,-2.114497e-01 -4.948505e-01 2.710618e+00,-2.105919e-01 -4.927680e-01 2.710746e+00,-2.113340e-01 -4.933419e-01 2.712080e+00,-2.121346e-01 -4.936099e-01 2.713997e+00,-2.134741e-01 -4.972233e-01 2.710732e+00,-2.153569e-01 -4.974547e-01 2.714601e+00,-2.151494e-01 -4.969199e-01 2.713510e+00,-2.179102e-01 -4.971619e-01 2.713468e+00,-2.189942e-01 -5.015461e-01 2.708684e+00,-2.204565e-01 -4.984879e-01 2.709596e+00,-2.217045e-01 -4.969627e-01 2.706656e+00,-2.224708e-01 -4.965518e-01 2.705475e+00,-2.226931e-01 -4.972679e-01 2.707418e+00,-2.246698e-01 -4.931553e-01 2.706409e+00,-2.249454e-01 -4.921720e-01 2.706594e+00,-2.248177e-01 -4.920611e-01 2.707482e+00,-2.255590e-01 -4.927176e-01 2.712315e+00,-2.266842e-01 -4.934168e-01 2.716997e+00,-2.289724e-01 -4.956628e-01 2.723213e+00,-2.310923e-01 -4.972896e-01 2.730596e+00,-2.323323e-01 -4.965053e-01 2.731390e+00,-2.332519e-01 -4.980016e-01 2.732270e+00,-2.364332e-01 -4.958568e-01 2.729486e+00,-2.362818e-01 -4.954311e-01 2.727523e+00,-2.367207e-01 -4.933400e-01 2.721851e+00,-2.373866e-01 -4.947107e-01 2.720657e+00,-2.369920e-01 -4.938318e-01 2.720109e+00,-2.368532e-01 -4.942381e-01 2.713853e+00,-2.356836e-01 -4.989139e-01 2.708988e+00,-2.364472e-01 -4.962039e-01 2.702888e+00,-2.348581e-01 -4.905571e-01 2.697000e+00,-2.323156e-01 -4.965019e-01 2.694369e+00,-2.300444e-01 -4.950401e-01 2.692536e+00,-2.275071e-01 -4.942074e-01 2.690239e+00,-2.274057e-01 -4.862070e-01 2.693415e+00,-2.207356e-01 -4.942999e-01 2.692924e+00,-2.189174e-01 -4.940142e-01 2.692407e+00,-2.180410e-01 -4.924778e-01 2.694501e+00,-2.170154e-01 -4.930677e-01 2.695579e+00,-2.171116e-01 -4.938358e-01 2.696071e+00,-2.176810e-01 -4.943649e-01 2.694608e+00,-2.183615e-01 -4.943020e-01 2.696194e+00,-2.186098e-01 -4.935958e-01 2.698356e+00,-2.190066e-01 -4.953309e-01 2.697579e+00,-2.181942e-01 -4.944408e-01 2.696738e+00,-2.182114e-01 -4.945095e-01 2.695365e+00,-2.191776e-01 -4.942039e-01 2.698324e+00
1.623087e-01 2.455357e-02 2.802030e+00,1.624200e-01 2.450770e-02 2.802010e+00,1.625236e-01 2.450205e-02 2.802175e+00,1.625200e-01 2.450215e-02 2.802181e+00,1.625051e-01 2.454417e-02 2.802686e+00,1.624565e-01 2.474659e-02 2.803041e+00,1.627917e-01 2.623010e-02 2.805820e+00,1.628717e-01 2.760782e-02 2.807103e+00,1.630139e-01 2.809890e-02 2.807808e+00,1.631574e-01 3.027355e-02 2.808938e+00,1.628275e-01 3.251168e-02 2.808857e+00,1.620384e-01 3.897433e-02 2.805988e+00,1.604504e-01 4.275546e-02 2.800427e+00,1.557426e-01 4.545148e-02 2.791764e+00,1.509289e-01 5.595225e-02 2.784235e+00,1.485787e-01 5.801997e-02 2.780150e+00,1.458002e-01 5.568674e-02 2.776458e+00,1.399703e-01 5.767129e-02 2.771369e+00,1.346219e-01 6.051870e-02 2.766203e+00,1.329208e-01 6.103718e-02 2.764848e+00,1.295531e-01 6.219973e-02 2.762849e+00,1.259800e-01 6.308606e-02 2.760208e+00,1.241712e-01 6.282028e-02 2.759046e+00,1.240560e-01 6.277154e-02 2.758981e+00,1.240082e-01 6.273951e-02 2.758936e+00,1.280939e-01 5.892107e-02 2.761952e+00,1.303644e-01 5.694116e-02 2.763977e+00,1.312120e-01 5.738758e-02 2.763725e+00,1.330590e-01 5.890955e-02 2.764582e+00,1.378481e-01 6.153995e-02 2.768513e+00,1.453311e-01 5.464854e-02 2.779748e+00,1.465268e-01 4.195901e-02 2.783499e+00,1.449584e-01 4.326886e-02 2.785632e+00,1.486388e-01 4.119175e-02 2.787889e+00,1.618553e-01 3.054962e-02 2.804826e+00,1.620701e-01 3.026458e-02 2.806042e+00,1.620705e-01 2.925001e-02 2.808591e+00,1.619492e-01 2.908463e-02 2.808938e+00,1.616325e-01 2.854343e-02 2.809195e+00,1.611148e-01 2.839706e-02 2.809130e+00,1.604939e-01 2.795933e-02 2.808810e+00,1.593108e-01 2.693012e-02 2.807107e+00,1.586542e-01 2.663220e-02 2.806228e+00,1.585699e-01 2.663121e-02 2.806154e+00,1.580426e-01 2.649231e-02 2.805756e+00,1.574716e-01 2.636397e-02 2.804576e+00,1.573421e-01 2.639290e-02 2.804467e+00,1.572156e-01 2.630412e-02 2.804384e+00,1.569590e-01 2.621108e-02 2.804014e+00,1.568549e-01 2.619191e-02 2.803782e+00
2.071386e-01 -2.332729e-01 2.807918e+00,2.071129e-01 -2.332776e-01 2.807913e+00,2.071203e-01 -2.333130e-01 2.807909e+00,2.072600e-01 -2.334717e-01 2.808034e+00,2.118216e-01 -2.320322e-01 2.810649e+00,2.195070e-01 -2.260028e-01 2.813741e+00,2.378961e-01 -1.929475e-01 2.824328e+00,2.444805e-01 -1.737536e-01 2.828743e+00,2.538699e-01 -1.670493e-01 2.829507e+00,2.696437e-01 -1.611245e-01 2.791916e+00,3.040557e-01 -1.337172e-01 2.742353e+00,3.124061e-01 -7.408393e-02 2.677081e+00,3.302021e-01 -7.435171e-02 2.709787e+00,3.351203e-01 -3.506169e-02 2.678594e+00,2.711189e-01 9.559023e-02 2.589539e+00,2.671649e-01 1.044875e-01 2.586016e+00,2.545150e-01 1.212881e-01 2.567826e+00,2.388015e-01 1.395282e-01 2.558837e+00,2.149664e-01 1.617278e-01 2.555065e+00,2.083138e-01 1.648711e-01 2.554823e+00,2.016264e-01 1.671411e-01 2.552139e+00,1.771366e-01 1.951608e-01 2.537789e+00,1.771479e-01 1.948666e-01 2.537843e+00,1.790298e-01 1.901193e-01 2.542293e+00,1.810748e-01 1.893146e-01 2.542265e+00,2.111886e-01 1.666245e-01 2.545018e+00,2.256953e-01 1.540568e-01 2.550575e+00,2.552339e-01 1.132929e-01 2.575140e+00,2.741870e-01 8.950720e-02 2.583765e+00,2.979654e-01 5.045293e-02 2.603163e+00,3.178917e-01 -2.968540e-02 2.657639e+00,3.336584e-01 -6.133498e-02 2.673328e+00,3.024889e-01 -1.048967e-01 2.733433e+00,2.985609e-01 -1.195287e-01 2.790123e+00,3.093713e-01 -1.308284e-01 2.794654e+00,3.026634e-01 -1.364634e-01 2.805262e+00,2.444519e-01 -1.749302e-01 2.824045e+00,2.340897e-01 -1.905243e-01 2.823653e+00,2.145901e-01 -2.143285e-01 2.814954e+00,2.105931e-01 -2.221892e-01 2.811863e+00,2.074296e-01 -2.267253e-01 2.809795e+00,2.044666e-01 -2.285054e-01 2.808712e+00,2.044267e-01 -2.291189e-01 2.808858e+00,2.044264e-01 -2.292763e-01 2.808907e+00,2.044384e-01 -2.293926e-01 2.808947e+00,2.044456e-01 -2.299486e-01 2.808642e+00,2.043287e-01 -2.300274e-01 2.808701e+00,2.039583e-01 -2.299993e-01 2.808725e+00,2.037187e-01 -2.300673e-01 2.808617e+00,2.033333e-01 -2.301071e-01 2.808542e+00
2.119562e-01 -4.574111e-01 2.751516e+00,2.118009e-01 -4.574607e-01 2.751581e+00,2.122044e-01 -4.569880e-01 2.752190e+00,2.134453e-01 -4.550376e-01 2.752638e+00,2.192560e-01 -4.474767e-01 2.746750e+00,2.352677e-01 -4.295829e-01 2.727065e+00,2.611078e-01 -3.447844e-01 2.658792e+00,2.690816e-01 -2.789025e-01 2.628609e+00,2.640364e-01 -2.065019e-01 2.604624e+00,2.652666e-01 -8.156248e-02 2.576459e+00,2.580008e-01 -5.125747e-03 2.560438e+00,2.604026e-01 1.102305e-01 2.559338e+00,2.598075e-01 1.307934e-01 2.558751e+00,2.432196e-01 1.910913e-01 2.523073e+00,2.117526e-01 2.842794e-01 2.485066e+00,2.071543e-01 2.951996e-01 2.479360e+00,1.747657e-01 3.694377e-01 2.437139e+00,1.704312e-01 3.705066e-01 2.430847e+00,1.607509e-01 3.703229e-01 2.408728e+00,1.580626e-01 3.672979e-01 2.405951e+00,1.556700e-01 3.650129e-01 2.403332e+00,1.458993e-01 3.689252e-01 2.380702e+00,1.419412e-01 3.674340e-01 2.375148e+00,1.422357e-01 3.690650e-01 2.376924e+00,1.428773e-01 3.697807e-01 2.380020e+00,1.523980e-01 3.538987e-01 2.407223e+00,1.595940e-01 3.382776e-01 2.430591e+00,1.739347e-01 2.947575e-01 2.472758e+00,1.808384e-01 2.691613e-01 2.489233e+00,1.752170e-01 2.216910e-01 2.531123e+00,2.047635e-01 1.277530e-01 2.543775e+00,2.121378e-01 8.161117e-02 2.548314e+00,2.356537e-01 -5.830402e-02 2.620814e+00,2.003624e-01 -1.695564e-01 2.568976e+00,2.364168e-01 -2.091734e-01 2.593409e+00,2.247822e-01 -2.557777e-01 2.628662e+00,2.315988e-01 -3.436088e-01 2.675375e+00,2.225556e-01 -3.776179e-01 2.689881e+00,2.133090e-01 -4.271438e-01 2.715268e+00,2.145500e-01 -4.352216e-01 2.723758e+00,2.145314e-01 -4.446228e-01 2.729857e+00,2.125106e-01 -4.504943e-01 2.737676e+00,2.113809e-01 -4.521592e-01 2.740706e+00,2.108718e-01 -4.524066e-01 2.741997e+00,2.106422e-01 -4.524809e-01 2.742446e+00,2.104871e-01 -4.525244e-01 2.742554e+00,2.104020e-01 -4.524490e-01 2.742662e+00,2.100354e-01 -4.527317e-01 2.743136e+00,2.099297e-01 -4.526966e-01 2.743425e+00,2.098767e-01 -4.524166e-01 2.743981e+00
