3.190468e-02 -6.082550e-01 2.784968e+00,3.225896e-02 -6.094265e-01 2.785063e+00,3.236547e-02 -6.096250e-01 2.784958e+00,3.233752e-02 -6.098379e-01 2.784466e+00,3.218574e-02 -6.098314e-01 2.784303e+00,3.204835e-02 -6.101347e-01 2.783416e+00,3.012720e-02 -6.095738e-01 2.781266e+00,2.885826e-02 -6.091919e-01 2.779111e+00,2.706872e-02 -6.090131e-01 2.775528e+00,2.664527e-02 -6.093962e-01 2.773916e+00,2.670084e-02 -6.094050e-01 2.771572e+00,2.618820e-02 -6.095900e-01 2.766442e+00,2.775189e-02 -6.085883e-01 2.761962e+00,2.775176e-02 -6.085181e-01 2.760611e+00,2.797670e-02 -6.076062e-01 2.758547e+00,2.817654e-02 -6.077265e-01 2.758079e+00,2.818503e-02 -6.076982e-01 2.758018e+00,2.762312e-02 -6.071456e-01 2.758115e+00,2.849851e-02 -6.068994e-01 2.758782e+00,3.050622e-02 -6.054562e-01 2.762273e+00,3.248430e-02 -6.031552e-01 2.765523e+00,3.422799e-02 -6.003796e-01 2.768476e+00,3.391492e-02 -5.957440e-01 2.772680e+00,3.397337e-02 -5.934929e-01 2.774752e+00,3.181354e-02 -5.869091e-01 2.776372e+00,3.172349e-02 -5.885522e-01 2.776714e+00,2.007309e-02 -6.002474e-01 2.778522e+00,1.877566e-02 -6.070639e-01 2.779527e+00,1.848029e-02 -6.140147e-01 2.779407e+00,2.288634e-02 -6.199478e-01 2.781096e+00,2.108804e-02 -6.178365e-01 2.780794e+00,1.889998e-02 -6.150834e-01 2.780765e+00,1.709935e-02 -6.137941e-01 2.780269e+00,1.680289e-02 -6.137154e-01 2.780259e+00,1.747163e-02 -6.132229e-01 2.780257e+00,1.821897e-02 -6.126566e-01 2.780446e+00,1.886958e-02 -6.124166e-01 2.780535e+00,2.154629e-02 -6.118278e-01 2.781110e+00,2.395891e-02 -6.116179e-01 2.781357e+00,2.774706e-02 -6.115560e-01 2.782597e+00,2.974402e-02 -6.118457e-01 2.783082e+00,3.051313e-02 -6.119114e-01 2.783443e+00,3.107518e-02 -6.119564e-01 2.783572e+00,3.142014e-02 -6.119843e-01 2.783544e+00,3.143860e-02 -6.120623e-01 2.783518e+00,3.140273e-02 -6.121986e-01 2.783336e+00,3.129514e-02 -6.120805e-01 2.783066e+00,3.133995e-02 -6.121163e-01 2.783024e+00,3.183214e-02 -6.121593e-01 2.782658e+00,3.188931e-02 -6.123576e-01 2.782470e+00
3.737820e-02 -3.209580e-01 2.797831e+00,3.776949e-02 -3.218619e-01 2.797563e+00,3.805977e-02 -3.219817e-01 2.797512e+00,3.794881e-02 -3.222258e-01 2.797112e+00,3.786053e-02 -3.221674e-01 2.797065e+00,3.779019e-02 -3.222873e-01 2.796556e+00,3.760971e-02 -3.222935e-01 2.795173e+00,3.723983e-02 -3.221227e-01 2.794333e+00,3.643170e-02 -3.220142e-01 2.792848e+00,3.600941e-02 -3.219698e-01 2.791441e+00,3.560042e-02 -3.219020e-01 2.790201e+00,3.473670e-02 -3.218282e-01 2.787927e+00,3.437491e-02 -3.211797e-01 2.785995e+00,3.397093e-02 -3.210339e-01 2.785399e+00,3.195693e-02 -3.203343e-01 2.783667e+00,3.117959e-02 -3.202714e-01 2.783203e+00,3.011234e-02 -3.194745e-01 2.782915e+00,2.819015e-02 -3.183525e-01 2.782720e+00,2.796057e-02 -3.181717e-01 2.782782e+00,2.761662e-02 -3.179873e-01 2.783033e+00,2.771771e-02 -3.178734e-01 2.783238e+00,2.807629e-02 -3.177981e-01 2.783504e+00,2.763404e-02 -3.160736e-01 2.784929e+00,2.718810e-02 -3.138565e-01 2.785559e+00,2.815833e-02 -3.038871e-01 2.785572e+00,2.918093e-02 -3.043905e-01 2.785704e+00,2.602419e-02 -3.097393e-01 2.786254e+00,2.165219e-02 -3.163099e-01 2.789113e+00,1.953514e-02 -3.202474e-01 2.790847e+00,2.177831e-02 -3.235467e-01 2.793095e+00,2.204583e-02 -3.230702e-01 2.793197e+00,2.231217e-02 -3.216509e-01 2.793499e+00,2.227642e-02 -3.215522e-01 2.793494e+00,2.230869e-02 -3.217253e-01 2.793327e+00,2.312535e-02 -3.216096e-01 2.792934e+00,2.488128e-02 -3.209476e-01 2.792394e+00,2.615107e-02 -3.208794e-01 2.792308e+00,2.927013e-02 -3.204749e-01 2.792049e+00,2.990547e-02 -3.207452e-01 2.792085e+00,3.327113e-02 -3.209508e-01 2.792127e+00,3.382494e-02 -3.215494e-01 2.792207e+00,3.477770e-02 -3.219063e-01 2.792210e+00,3.582706e-02 -3.224671e-01 2.791915e+00,3.700998e-02 -3.229054e-01 2.792137e+00,3.718631e-02 -3.230976e-01 2.792033e+00,3.747852e-02 -3.236550e-01 2.791958e+00,3.750585e-02 -3.237003e-01 2.791803e+00,3.805700e-02 -3.238857e-01 2.791634e+00,3.811240e-02 -3.240863e-01 2.791510e+00,3.820465e-02 -3.241926e-01 2.791446e+00
4.274097e-02 -3.826120e-02 2.798486e+00,4.300587e-02 -3.915403e-02 2.797162e+00,4.366237e-02 -3.916598e-02 2.797204e+00,4.342142e-02 -3.944743e-02 2.796879e+00,4.333027e-02 -3.930888e-02 2.796917e+00,4.329978e-02 -3.931602e-02 2.796698e+00,4.438008e-02 -3.966651e-02 2.795424e+00,4.440314e-02 -3.964040e-02 2.795352e+00,4.432646e-02 -3.963873e-02 2.795288e+00,4.413813e-02 -3.934423e-02 2.794596e+00,4.367774e-02 -3.925692e-02 2.794289e+00,4.295149e-02 -3.901505e-02 2.794047e+00,4.127310e-02 -3.849236e-02 2.793949e+00,4.020532e-02 -3.822690e-02 2.794192e+00,3.409360e-02 -3.757696e-02 2.793791e+00,3.132014e-02 -3.717613e-02 2.793754e+00,2.854369e-02 -3.496171e-02 2.793723e+00,2.565126e-02 -3.374704e-02 2.793277e+00,2.406262e-02 -3.331929e-02 2.792988e+00,2.185228e-02 -3.428548e-02 2.791578e+00,2.170224e-02 -3.516046e-02 2.790664e+00,2.241263e-02 -3.756457e-02 2.789009e+00,2.172439e-02 -3.770415e-02 2.788481e+00,2.065158e-02 -3.584491e-02 2.786990e+00,2.589241e-02 -2.309904e-02 2.783029e+00,2.901410e-02 -2.315809e-02 2.782753e+00,2.896431e-02 -2.595709e-02 2.782556e+00,2.108059e-02 -3.165455e-02 2.786971e+00,1.817064e-02 -3.334769e-02 2.790178e+00,1.967318e-02 -3.411296e-02 2.792589e+00,2.343945e-02 -3.351257e-02 2.793418e+00,2.622074e-02 -3.208797e-02 2.793962e+00,2.706700e-02 -3.246409e-02 2.794183e+00,2.807128e-02 -3.408560e-02 2.793187e+00,2.918764e-02 -3.453587e-02 2.792247e+00,3.222155e-02 -3.395909e-02 2.790701e+00,3.402795e-02 -3.420284e-02 2.790516e+00,3.736503e-02 -3.412559e-02 2.789582e+00,3.728507e-02 -3.469977e-02 2.789597e+00,3.971366e-02 -3.501813e-02 2.788721e+00,3.933469e-02 -3.635511e-02 2.788563e+00,4.022572e-02 -3.698969e-02 2.788147e+00,4.153914e-02 -3.826841e-02 2.787234e+00,4.361633e-02 -3.916810e-02 2.787918e+00,4.387861e-02 -3.940246e-02 2.787731e+00,4.454165e-02 -4.057771e-02 2.788052e+00,4.460657e-02 -4.072991e-02 2.787905e+00,4.583282e-02 -4.101302e-02 2.787572e+00,4.539458e-02 -4.144252e-02 2.787521e+00,4.542802e-02 -4.145587e-02 2.787529e+00
5.129374e-02 7.100488e-02 2.808700e+00,5.208353e-02 7.025345e-02 2.808314e+00,5.222839e-02 7.015164e-02 2.808361e+00,5.239537e-02 7.015304e-02 2.808036e+00,5.287000e-02 7.029444e-02 2.807601e+00,5.322783e-02 7.032252e-02 2.807384e+00,5.488384e-02 6.934553e-02 2.806175e+00,5.562304e-02 6.913898e-02 2.805932e+00,5.743881e-02 7.014738e-02 2.803634e+00,5.799983e-02 6.997803e-02 2.803486e+00,5.807122e-02 6.939793e-02 2.803564e+00,5.843703e-02 6.677248e-02 2.804552e+00,5.616155e-02 6.643713e-02 2.805151e+00,5.385341e-02 6.623810e-02 2.806252e+00,4.461573e-02 6.706694e-02 2.808634e+00,4.176182e-02 6.722965e-02 2.809452e+00,3.743713e-02 6.862393e-02 2.810830e+00,3.038082e-02 7.163949e-02 2.811864e+00,2.678019e-02 7.265894e-02 2.812988e+00,2.419136e-02 7.225173e-02 2.813290e+00,2.325997e-02 7.182335e-02 2.813255e+00,2.278261e-02 7.221051e-02 2.813703e+00,2.310861e-02 6.979145e-02 2.814838e+00,2.287714e-02 7.140659e-02 2.814331e+00,2.575216e-02 8.117795e-02 2.810486e+00,2.391581e-02 8.126890e-02 2.812112e+00,1.746614e-02 7.467023e-02 2.811678e+00,1.612666e-02 7.530276e-02 2.813693e+00,1.749321e-02 7.428327e-02 2.814714e+00,2.264379e-02 7.306599e-02 2.817214e+00,2.370323e-02 7.352246e-02 2.817967e+00,2.439257e-02 7.443587e-02 2.818085e+00,2.457721e-02 7.460928e-02 2.817692e+00,2.674499e-02 7.393373e-02 2.815141e+00,2.933731e-02 7.314926e-02 2.813085e+00,3.347219e-02 7.409842e-02 2.808635e+00,3.399099e-02 7.387713e-02 2.808237e+00,3.784867e-02 7.431960e-02 2.805365e+00,3.868598e-02 7.415885e-02 2.804410e+00,4.118147e-02 7.317946e-02 2.801775e+00,4.233354e-02 7.283667e-02 2.800384e+00,4.342579e-02 7.246204e-02 2.799562e+00,4.681680e-02 7.150175e-02 2.796703e+00,5.000892e-02 7.041185e-02 2.795273e+00,5.073244e-02 7.007524e-02 2.794913e+00,5.267794e-02 6.938265e-02 2.794234e+00,5.307030e-02 6.942829e-02 2.793977e+00,5.312731e-02 6.931578e-02 2.793901e+00,5.366236e-02 6.892215e-02 2.793886e+00,5.366588e-02 6.873079e-02 2.793801e+00
-1.109829e-01 -1.464132e-01 2.782388e+00,-1.099668e-01 -1.464351e-01 2.781691e+00,-1.089378e-01 -1.463323e-01 2.780827e+00,-1.087920e-01 -1.462495e-01 2.780318e+00,-1.088020e-01 -1.462075e-01 2.780318e+00,-1.085319e-01 -1.462978e-01 2.779580e+00,-1.071057e-01 -1.434515e-01 2.775533e+00,-1.069952e-01 -1.435334e-01 2.773176e+00,-1.062177e-01 -1.442538e-01 2.767953e+00,-1.080744e-01 -1.451444e-01 2.767059e+00,-1.089452e-01 -1.449798e-01 2.766027e+00,-1.078542e-01 -1.418648e-01 2.758112e+00,-1.089799e-01 -1.413507e-01 2.755563e+00,-1.107000e-01 -1.420860e-01 2.756205e+00,-1.135687e-01 -1.419034e-01 2.754826e+00,-1.143240e-01 -1.426420e-01 2.754552e+00,-1.156060e-01 -1.435459e-01 2.755787e+00,-1.190226e-01 -1.442250e-01 2.759869e+00,-1.197700e-01 -1.450609e-01 2.761985e+00,-1.199676e-01 -1.466726e-01 2.765799e+00,-1.172742e-01 -1.438598e-01 2.770043e+00,-1.170186e-01 -1.442424e-01 2.770946e+00,-1.177083e-01 -1.486459e-01 2.774550e+00,-1.184161e-01 -1.484822e-01 2.776532e+00,-1.163524e-01 -1.466749e-01 2.777142e+00,-1.160912e-01 -1.466287e-01 2.777232e+00,-1.146444e-01 -1.481730e-01 2.776438e+00,-1.139370e-01 -1.476233e-01 2.777484e+00,-1.146390e-01 -1.482785e-01 2.779536e+00,-1.066598e-01 -1.540966e-01 2.777272e+00,-1.103615e-01 -1.431397e-01 2.790640e+00,-1.115354e-01 -1.429417e-01 2.792707e+00,-1.118125e-01 -1.430913e-01 2.792810e+00,-1.131337e-01 -1.456065e-01 2.792149e+00,-1.132641e-01 -1.448482e-01 2.791225e+00,-1.128428e-01 -1.461470e-01 2.788424e+00,-1.113079e-01 -1.440045e-01 2.786331e+00,-1.114238e-01 -1.441814e-01 2.785996e+00,-1.113385e-01 -1.439406e-01 2.785652e+00,-1.102738e-01 -1.446144e-01 2.782366e+00,-1.102276e-01 -1.447873e-01 2.782008e+00,-1.101031e-01 -1.452053e-01 2.781614e+00,-1.087348e-01 -1.456063e-01 2.778971e+00,-1.073667e-01 -1.459483e-01 2.776930e+00,-1.075369e-01 -1.459644e-01 2.776759e+00,-1.070884e-01 -1.468116e-01 2.776039e+00,-1.075871e-01 -1.468360e-01 2.775879e+00,-1.077080e-01 -1.468151e-01 2.775627e+00,-1.085027e-01 -1.457035e-01 2.775704e+00,-1.087786e-01 -1.457494e-01 2.775610e+00
-1.535617e-01 -3.893349e-01 2.787827e+00,-1.534575e-01 -3.883442e-01 2.787637e+00,-1.532991e-01 -3.880110e-01 2.787101e+00,-1.534286e-01 -3.885433e-01 2.785529e+00,-1.534285e-01 -3.890769e-01 2.784961e+00,-1.538333e-01 -3.898064e-01 2.783524e+00,-1.549498e-01 -3.881060e-01 2.780924e+00,-1.551629e-01 -3.817178e-01 2.778812e+00,-1.558173e-01 -3.763476e-01 2.776436e+00,-1.560855e-01 -3.762839e-01 2.773970e+00,-1.563382e-01 -3.760791e-01 2.771718e+00,-1.597934e-01 -3.797561e-01 2.761695e+00,-1.642777e-01 -3.889222e-01 2.752877e+00,-1.646646e-01 -3.886589e-01 2.751790e+00,-1.646319e-01 -3.877224e-01 2.750812e+00,-1.638901e-01 -3.895773e-01 2.750188e+00,-1.615156e-01 -3.861115e-01 2.752449e+00,-1.569168e-01 -3.890198e-01 2.755312e+00,-1.538224e-01 -3.930481e-01 2.757322e+00,-1.477904e-01 -3.873271e-01 2.768319e+00,-1.469218e-01 -3.880010e-01 2.770112e+00,-1.456853e-01 -3.887303e-01 2.774683e+00,-1.430545e-01 -3.851987e-01 2.786422e+00,-1.421333e-01 -3.871599e-01 2.789889e+00,-1.422990e-01 -3.813385e-01 2.801283e+00,-1.426516e-01 -3.831647e-01 2.804142e+00,-1.434477e-01 -3.851010e-01 2.806067e+00,-1.438082e-01 -3.880406e-01 2.811377e+00,-1.463590e-01 -3.932679e-01 2.813018e+00,-1.493786e-01 -3.991014e-01 2.815031e+00,-1.499156e-01 -3.965950e-01 2.817374e+00,-1.510883e-01 -3.921962e-01 2.819864e+00,-1.512638e-01 -3.916276e-01 2.819667e+00,-1.519016e-01 -3.917048e-01 2.818744e+00,-1.522844e-01 -3.941132e-01 2.816588e+00,-1.526314e-01 -3.950543e-01 2.813525e+00,-1.526857e-01 -3.945807e-01 2.811803e+00,-1.526930e-01 -3.949986e-01 2.808201e+00,-1.519745e-01 -3.960003e-01 2.805282e+00,-1.512464e-01 -3.978125e-01 2.801298e+00,-1.516229e-01 -3.985751e-01 2.798928e+00,-1.520294e-01 -3.989602e-01 2.798015e+00,-1.523990e-01 -3.982757e-01 2.795660e+00,-1.527561e-01 -3.957889e-01 2.794425e+00,-1.532420e-01 -3.961624e-01 2.793147e+00,-1.538370e-01 -3.960912e-01 2.791161e+00,-1.540607e-01 -3.958317e-01 2.789764e+00,-1.543971e-01 -3.958265e-01 2.788777e+00,-1.548350e-01 -3.948988e-01 2.787587e+00,-1.548770e-01 -3.941096e-01 2.787234e+00
-1.591171e-01 -5.861694e-01 2.711894e+00,-1.595022e-01 -5.850705e-01 2.711411e+00,-1.595851e-01 -5.847664e-01 2.710984e+00,-1.596921e-01 -5.852007e-01 2.709119e+00,-1.598340e-01 -5.856665e-01 2.708389e+00,-1.598651e-01 -5.864995e-01 2.707233e+00,-1.604867e-01 -5.846226e-01 2.704033e+00,-1.614938e-01 -5.792097e-01 2.704916e+00,-1.619112e-01 -5.744292e-01 2.704332e+00,-1.620796e-01 -5.744736e-01 2.702206e+00,-1.630032e-01 -5.742328e-01 2.699909e+00,-1.605168e-01 -5.782082e-01 2.690495e+00,-1.563622e-01 -5.865573e-01 2.679562e+00,-1.564856e-01 -5.854849e-01 2.675982e+00,-1.536029e-01 -5.831664e-01 2.671298e+00,-1.529800e-01 -5.846795e-01 2.669708e+00,-1.528807e-01 -5.805476e-01 2.669796e+00,-1.514556e-01 -5.822040e-01 2.669105e+00,-1.493740e-01 -5.854822e-01 2.669198e+00,-1.495610e-01 -5.787169e-01 2.677522e+00,-1.491683e-01 -5.800008e-01 2.680817e+00,-1.482821e-01 -5.806190e-01 2.685112e+00,-1.495919e-01 -5.779888e-01 2.699321e+00,-1.522211e-01 -5.797069e-01 2.702602e+00,-1.598023e-01 -5.776939e-01 2.725997e+00,-1.586173e-01 -6.028711e-01 2.720182e+00,-1.587154e-01 -6.067216e-01 2.720871e+00,-1.707076e-01 -5.850384e-01 2.741709e+00,-1.711397e-01 -5.896742e-01 2.740551e+00,-1.717772e-01 -5.951165e-01 2.740492e+00,-1.719320e-01 -5.924357e-01 2.742132e+00,-1.723740e-01 -5.886800e-01 2.746313e+00,-1.724092e-01 -5.883389e-01 2.746782e+00,-1.728841e-01 -5.890821e-01 2.747969e+00,-1.731752e-01 -5.918014e-01 2.746854e+00,-1.733511e-01 -5.927176e-01 2.743658e+00,-1.732517e-01 -5.927259e-01 2.743524e+00,-1.292906e-01 -5.896363e-01 2.715871e+00,-1.703629e-01 -5.923598e-01 2.730457e+00,-1.681408e-01 -5.947125e-01 2.727754e+00,-1.677173e-01 -5.960459e-01 2.727004e+00,-1.676252e-01 -5.966604e-01 2.726714e+00,-1.672440e-01 -5.965737e-01 2.726153e+00,-1.662507e-01 -5.942585e-01 2.725129e+00,-1.660721e-01 -5.947828e-01 2.724217e+00,-1.653146e-01 -5.947917e-01 2.722209e+00,-1.649825e-01 -5.942562e-01 2.719755e+00,-1.640721e-01 -5.941460e-01 2.718186e+00,-1.641017e-01 -5.925771e-01 2.714815e+00,-1.639349e-01 -5.917608e-01 2.714332e+00
-1.452285e-01 -6.040360e-01 2.703846e+00,-1.459997e-01 -6.044380e-01 2.701956e+00,-1.460314e-01 -6.051775e-01 2.701312e+00,-1.448324e-01 -6.044021e-01 2.698153e+00,-1.456270e-01 -6.049235e-01 2.698254e+00,-1.464779e-01 -6.038927e-01 2.695456e+00,-1.472394e-01 -6.029580e-01 2.693700e+00,-1.477541e-01 -6.029732e-01 2.692943e+00,-1.503786e-01 -6.023655e-01 2.689312e+00,-1.504454e-01 -6.010365e-01 2.687832e+00,-1.510878e-01 -6.006418e-01 2.684737e+00,-1.492186e-01 -5.981234e-01 2.675395e+00,-1.432209e-01 -6.160217e-01 2.664822e+00,-1.456878e-01 -5.957458e-01 2.664667e+00,-1.409752e-01 -6.126315e-01 2.656796e+00,-1.376590e-01 -6.175018e-01 2.654904e+00,-1.380710e-01 -6.144899e-01 2.656731e+00,-1.345338e-01 -6.166049e-01 2.659400e+00,-1.318877e-01 -6.208825e-01 2.662062e+00,-1.334720e-01 -6.167165e-01 2.672999e+00,-1.336750e-01 -6.186539e-01 2.674700e+00,-1.347282e-01 -6.203458e-01 2.681961e+00,-1.382083e-01 -6.101765e-01 2.694953e+00,-1.384559e-01 -6.118194e-01 2.696504e+00,-1.410512e-01 -6.148692e-01 2.707882e+00,-1.394178e-01 -6.352192e-01 2.710021e+00,-1.416294e-01 -6.351655e-01 2.712026e+00,-1.548720e-01 -6.169263e-01 2.725195e+00,-1.565953e-01 -6.174571e-01 2.725504e+00,-1.579873e-01 -6.395136e-01 2.726858e+00,-1.576046e-01 -6.354364e-01 2.727113e+00,-1.586943e-01 -6.172571e-01 2.737911e+00,-1.590135e-01 -6.168709e-01 2.734476e+00,-1.574656e-01 -6.343333e-01 2.730824e+00,-1.573942e-01 -6.341524e-01 2.729632e+00,-1.599417e-01 -6.094278e-01 2.731282e+00,-1.592466e-01 -6.100785e-01 2.730348e+00,-1.485933e-01 -6.126938e-01 2.722895e+00,-1.545676e-01 -6.088474e-01 2.724921e+00,-1.533321e-01 -6.085937e-01 2.721101e+00,-1.536491e-01 -6.080010e-01 2.717807e+00,-1.543478e-01 -6.080485e-01 2.717961e+00,-1.532175e-01 -6.079155e-01 2.716534e+00,-1.539431e-01 -6.063781e-01 2.714844e+00,-1.537302e-01 -6.070511e-01 2.714427e+00,-1.531720e-01 -6.066675e-01 2.711597e+00,-1.515864e-01 -6.050888e-01 2.704841e+00,-1.514330e-01 -6.063118e-01 2.705677e+00,-1.492173e-01 -6.105577e-01 2.698738e+00,-1.496054e-01 -6.061987e-01 2.700938e+00
1.868324e-01 -1.533179e-01 2.787472e+00,1.870666e-01 -1.537629e-01 2.787730e+00,1.873735e-01 -1.542107e-01 2.787761e+00,1.873911e-01 -1.544362e-01 2.787400e+00,1.875999e-01 -1.547155e-01 2.787900e+00,1.875671e-01 -1.548593e-01 2.787790e+00,1.880332e-01 -1.564241e-01 2.791335e+00,1.877906e-01 -1.568732e-01 2.792831e+00,1.859429e-01 -1.582517e-01 2.795609e+00,1.871381e-01 -1.597416e-01 2.803640e+00,1.875322e-01 -1.603902e-01 2.808592e+00,1.873346e-01 -1.630909e-01 2.806906e+00,1.876850e-01 -1.622510e-01 2.807857e+00,1.876109e-01 -1.603046e-01 2.804530e+00,1.845754e-01 -1.485845e-01 2.788206e+00,1.807135e-01 -1.436985e-01 2.778925e+00,1.754844e-01 -1.385777e-01 2.768917e+00,1.619921e-01 -1.265378e-01 2.748705e+00,1.572122e-01 -1.243177e-01 2.741407e+00,1.522769e-01 -1.199880e-01 2.735426e+00,1.492001e-01 -1.166288e-01 2.729330e+00,1.490639e-01 -1.148992e-01 2.729185e+00,1.484252e-01 -1.150788e-01 2.728207e+00,1.397170e-01 -1.124930e-01 2.716063e+00,1.420314e-01 -1.127360e-01 2.718218e+00,1.397152e-01 -1.156053e-01 2.715064e+00,1.424012e-01 -1.206615e-01 2.718541e+00,1.438411e-01 -1.328194e-01 2.723701e+00,1.417247e-01 -1.587586e-01 2.722242e+00,1.344854e-01 -1.323390e-01 2.721806e+00,1.357619e-01 -1.325106e-01 2.721711e+00,1.567215e-01 -1.356124e-01 2.731022e+00,1.606584e-01 -1.373365e-01 2.734362e+00,1.682351e-01 -1.451373e-01 2.741299e+00,1.726258e-01 -1.484988e-01 2.745619e+00,1.785947e-01 -1.514754e-01 2.752708e+00,1.808630e-01 -1.526206e-01 2.756192e+00,1.833697e-01 -1.532385e-01 2.759505e+00,1.836586e-01 -1.531702e-01 2.760539e+00,1.846183e-01 -1.537723e-01 2.762541e+00,1.850446e-01 -1.541834e-01 2.763401e+00,1.862244e-01 -1.545611e-01 2.766048e+00,1.879617e-01 -1.539053e-01 2.770482e+00,1.883153e-01 -1.540528e-01 2.772162e+00,1.883621e-01 -1.542843e-01 2.772941e+00,1.884237e-01 -1.544489e-01 2.775022e+00,1.884163e-01 -1.544768e-01 2.775237e+00,1.881657e-01 -1.545104e-01 2.775495e+00,1.878692e-01 -1.544742e-01 2.776413e+00,1.876959e-01 -1.547042e-01 2.776782e+00
2.193712e-01 -3.945211e-01 2.804683e+00,2.198911e-01 -3.960153e-01 2.805062e+00,2.199336e-01 -3.953305e-01 2.805464e+00,2.207739e-01 -3.974734e-01 2.810408e+00,2.217123e-01 -3.892619e-01 2.821631e+00,2.215524e-01 -3.841785e-01 2.828083e+00,2.192099e-01 -3.732141e-01 2.839231e+00,2.189600e-01 -3.646839e-01 2.838575e+00,2.153838e-01 -3.473642e-01 2.860602e+00,2.428221e-01 -3.541839e-01 2.836321e+00,2.673868e-01 -3.619232e-01 2.864579e+00,3.148077e-01 -3.276532e-01 2.792511e+00,3.718815e-01 -2.545058e-01 2.760712e+00,3.822784e-01 -2.105237e-01 2.733196e+00,3.697949e-01 -1.213641e-01 2.679746e+00,3.442277e-01 -7.140423e-02 2.654738e+00,3.292280e-01 -5.987528e-02 2.635292e+00,2.798263e-01 -2.355725e-02 2.594207e+00,2.606731e-01 -5.506165e-04 2.577756e+00,2.224387e-01 5.747080e-02 2.556407e+00,2.068176e-01 6.642690e-02 2.557704e+00,1.979241e-01 6.779663e-02 2.555578e+00,1.789092e-01 6.027632e-02 2.541273e+00,1.772261e-01 4.046939e-02 2.542568e+00,1.763691e-01 1.404852e-02 2.535770e+00,1.858716e-01 -2.824470e-03 2.529528e+00,1.855851e-01 -2.203843e-02 2.523888e+00,1.843985e-01 -7.069814e-02 2.508483e+00,1.831042e-01 -1.466978e-01 2.502927e+00,1.865536e-01 -5.492691e-02 2.505855e+00,1.995333e-01 -8.457180e-02 2.499527e+00,2.481616e-01 -2.649324e-01 2.579532e+00,2.479249e-01 -2.919803e-01 2.589253e+00,2.684644e-01 -3.227614e-01 2.681453e+00,2.599565e-01 -3.351842e-01 2.697538e+00,2.482431e-01 -3.478907e-01 2.740693e+00,2.454902e-01 -3.521532e-01 2.749561e+00,2.335223e-01 -3.902472e-01 2.774967e+00,2.299886e-01 -3.963139e-01 2.781929e+00,2.270064e-01 -4.008344e-01 2.794830e+00,2.260472e-01 -4.014462e-01 2.802346e+00,2.252051e-01 -4.005486e-01 2.810105e+00,2.241176e-01 -4.003014e-01 2.817512e+00,2.232131e-01 -3.987070e-01 2.821400e+00,2.221552e-01 -3.977182e-01 2.822207e+00,2.191086e-01 -3.906372e-01 2.823892e+00,2.189575e-01 -3.921251e-01 2.823552e+00,2.184453e-01 -3.905332e-01 2.823620e+00,2.175567e-01 -3.880435e-01 2.823925e+00,2.175034e-01 -3.895684e-01 2.823578e+00
2.288665e-01 -5.894152e-01 2.723690e+00,2.295445e-01 -5.907553e-01 2.723680e+00,2.288627e-01 -5.898965e-01 2.723492e+00,2.310017e-01 -5.884101e-01 2.719358e+00,2.323324e-01 -5.703064e-01 2.710199e+00,2.270351e-01 -5.566208e-01 2.702114e+00,2.502323e-01 -4.519257e-01 2.639191e+00,2.436333e-01 -4.023220e-01 2.625366e+00,2.594050e-01 -2.945226e-01 2.653693e+00,2.703167e-01 -2.031251e-01 2.683693e+00,2.553166e-01 -2.003658e-01 2.721249e+00,2.845051e-01 -1.219569e-01 2.750652e+00,2.577496e-01 -5.708669e-02 2.806293e+00,2.564059e-01 -5.550535e-02 2.807308e+00,2.423438e-01 -7.265245e-03 2.789809e+00,2.282512e-01 4.931847e-02 2.769292e+00,2.310889e-01 9.903428e-02 2.718920e+00,2.339226e-01 1.803105e-01 2.594706e+00,2.199203e-01 2.078530e-01 2.531670e+00,1.914296e-01 2.581959e-01 2.416399e+00,1.845945e-01 2.453055e-01 2.395523e+00,1.741908e-01 2.402435e-01 2.375045e+00,1.476904e-01 2.209599e-01 2.348707e+00,1.368671e-01 2.007637e-01 2.331860e+00,1.246075e-01 1.313985e-01 2.330010e+00,1.220653e-01 1.052816e-01 2.322609e+00,1.251621e-01 5.566924e-02 2.323066e+00,1.381263e-01 -2.492183e-02 2.300192e+00,1.342236e-01 -8.788330e-02 2.298608e+00,1.400824e-01 2.392553e-03 2.300589e+00,1.767025e-01 -2.304280e-01 2.339275e+00,1.812087e-01 -3.461873e-01 2.389432e+00,1.817833e-01 -4.069454e-01 2.418263e+00,2.027273e-01 -4.717058e-01 2.541184e+00,2.099120e-01 -4.908796e-01 2.558429e+00,2.226997e-01 -5.229414e-01 2.621040e+00,2.231306e-01 -5.379899e-01 2.648767e+00,2.243751e-01 -5.815027e-01 2.684268e+00,2.251206e-01 -5.928106e-01 2.704905e+00,2.339765e-01 -6.064377e-01 2.759061e+00,1.826213e-01 -5.915605e-01 2.720370e+00,1.825153e-01 -5.883440e-01 2.721793e+00,1.816178e-01 -5.845845e-01 2.721076e+00,1.837833e-01 -5.823067e-01 2.722099e+00,1.841223e-01 -5.816521e-01 2.723000e+00,1.872858e-01 -5.777178e-01 2.728965e+00,1.870321e-01 -5.785686e-01 2.727270e+00,1.875734e-01 -5.775687e-01 2.728250e+00,1.893735e-01 -5.769867e-01 2.731944e+00,1.899461e-01 -5.791399e-01 2.732881e+00
