3.860993e-02 -6.128178e-01 2.766567e+00,3.865571e-02 -6.128973e-01 2.766580e+00,3.820338e-02 -6.141804e-01 2.766513e+00,3.786162e-02 -6.141737e-01 2.766408e+00,3.630167e-02 -6.131706e-01 2.765307e+00,2.994209e-02 -6.130861e-01 2.763819e+00,2.876890e-02 -6.128054e-01 2.763531e+00,2.495373e-02 -6.128999e-01 2.763123e+00,2.416686e-02 -6.127768e-01 2.762872e+00,2.442947e-02 -6.163250e-01 2.763443e+00,2.262513e-02 -6.211629e-01 2.763943e+00,2.282360e-02 -6.212654e-01 2.763941e+00,2.232607e-02 -6.245257e-01 2.763602e+00,2.100212e-02 -6.250466e-01 2.764199e+00,2.082716e-02 -6.252082e-01 2.764055e+00,2.076009e-02 -6.280681e-01 2.763730e+00,2.021923e-02 -6.310966e-01 2.763893e+00,1.976991e-02 -6.314192e-01 2.763995e+00,2.118099e-02 -6.274269e-01 2.764456e+00,2.160360e-02 -6.258141e-01 2.764420e+00,2.165223e-02 -6.256878e-01 2.764409e+00,1.939260e-02 -6.144575e-01 2.766384e+00,1.907803e-02 -6.128815e-01 2.766484e+00,1.959482e-02 -6.131806e-01 2.766751e+00,1.918314e-02 -6.123397e-01 2.767237e+00,1.917100e-02 -6.118045e-01 2.767344e+00,1.894598e-02 -6.089413e-01 2.767895e+00,1.958840e-02 -6.081371e-01 2.768140e+00,1.972999e-02 -6.068072e-01 2.768626e+00,1.973270e-02 -6.067916e-01 2.768619e+00,1.964588e-02 -6.065311e-01 2.768714e+00,1.981535e-02 -6.063607e-01 2.768657e+00,1.979775e-02 -6.062445e-01 2.768664e+00,1.979338e-02 -6.061990e-01 2.768765e+00,2.001485e-02 -6.062664e-01 2.768754e+00,2.045608e-02 -6.064681e-01 2.768857e+00,2.038925e-02 -6.065449e-01 2.768846e+00,2.036443e-02 -6.066167e-01 2.768839e+00,2.151383e-02 -6.069477e-01 2.768825e+00,2.230276e-02 -6.080096e-01 2.768965e+00,2.749033e-02 -6.127406e-01 2.769076e+00,2.820393e-02 -6.129358e-01 2.769292e+00,3.076069e-02 -6.140774e-01 2.769923e+00,3.072731e-02 -6.144115e-01 2.770003e+00,3.058327e-02 -6.139198e-01 2.769962e+00,3.049978e-02 -6.137623e-01 2.769933e+00,3.052824e-02 -6.134635e-01 2.769691e+00,3.054542e-02 -6.134811e-01 2.769669e+00
4.177722e-02 -3.265319e-01 2.779969e+00,4.169704e-02 -3.265839e-01 2.779998e+00,4.125932e-02 -3.274146e-01 2.780044e+00,4.120596e-02 -3.273983e-01 2.780039e+00,3.944240e-02 -3.268655e-01 2.779246e+00,3.569786e-02 -3.263999e-01 2.778831e+00,3.525134e-02 -3.263080e-01 2.778677e+00,3.325295e-02 -3.260739e-01 2.778857e+00,3.288775e-02 -3.259740e-01 2.778675e+00,3.226638e-02 -3.264361e-01 2.778695e+00,3.260365e-02 -3.263764e-01 2.778251e+00,3.424795e-02 -3.258201e-01 2.777184e+00,3.666256e-02 -3.241605e-01 2.776167e+00,3.671131e-02 -3.235946e-01 2.776303e+00,3.719256e-02 -3.211111e-01 2.776136e+00,3.778216e-02 -3.208892e-01 2.776378e+00,3.833327e-02 -3.212517e-01 2.776893e+00,3.608483e-02 -3.208852e-01 2.776684e+00,3.422194e-02 -3.195790e-01 2.776996e+00,2.705403e-02 -3.223498e-01 2.777709e+00,2.679745e-02 -3.233568e-01 2.777808e+00,2.624979e-02 -3.222147e-01 2.778377e+00,2.589682e-02 -3.216422e-01 2.778536e+00,2.595752e-02 -3.217009e-01 2.778451e+00,2.470168e-02 -3.206432e-01 2.778800e+00,2.471740e-02 -3.205791e-01 2.778788e+00,2.523374e-02 -3.195420e-01 2.779013e+00,2.559637e-02 -3.193702e-01 2.779204e+00,2.677570e-02 -3.188962e-01 2.779804e+00,2.693483e-02 -3.188697e-01 2.779899e+00,2.686589e-02 -3.189275e-01 2.779958e+00,2.659215e-02 -3.188148e-01 2.780378e+00,2.648688e-02 -3.188989e-01 2.780613e+00,2.683526e-02 -3.195016e-01 2.781249e+00,2.692776e-02 -3.196788e-01 2.781266e+00,2.676233e-02 -3.196411e-01 2.781350e+00,2.604936e-02 -3.199859e-01 2.781645e+00,2.634439e-02 -3.202301e-01 2.781816e+00,2.742418e-02 -3.206809e-01 2.782108e+00,2.788508e-02 -3.210757e-01 2.782215e+00,3.046151e-02 -3.244843e-01 2.782240e+00,3.141186e-02 -3.249497e-01 2.782302e+00,3.235038e-02 -3.255434e-01 2.782534e+00,3.239365e-02 -3.260426e-01 2.782550e+00,3.239512e-02 -3.258580e-01 2.782463e+00,3.243430e-02 -3.258289e-01 2.782447e+00,3.259960e-02 -3.258665e-01 2.782222e+00,3.264553e-02 -3.260125e-01 2.782190e+00
4.352837e-02 -4.516054e-02 2.781667e+00,4.335863e-02 -4.521424e-02 2.781609e+00,4.311551e-02 -4.561305e-02 2.781624e+00,4.318922e-02 -4.556670e-02 2.781630e+00,4.139297e-02 -4.507188e-02 2.780811e+00,3.972511e-02 -4.444913e-02 2.780947e+00,3.971945e-02 -4.444727e-02 2.780921e+00,3.935691e-02 -4.401151e-02 2.781433e+00,3.935561e-02 -4.396192e-02 2.781368e+00,3.741979e-02 -4.272713e-02 2.781038e+00,4.350418e-02 -3.448753e-02 2.777564e+00,4.719074e-02 -3.293093e-02 2.774960e+00,5.620337e-02 -2.213086e-02 2.772589e+00,5.661535e-02 -2.110053e-02 2.772944e+00,5.731454e-02 -1.447638e-02 2.774024e+00,5.820268e-02 -1.329322e-02 2.775447e+00,5.845918e-02 -1.340437e-02 2.776649e+00,5.087096e-02 -1.212551e-02 2.775603e+00,4.172721e-02 -1.423560e-02 2.776580e+00,2.248125e-02 -2.847854e-02 2.779132e+00,2.383481e-02 -3.152346e-02 2.779309e+00,2.645164e-02 -3.371737e-02 2.779469e+00,2.654083e-02 -3.372275e-02 2.779484e+00,2.784389e-02 -3.408204e-02 2.778321e+00,2.675630e-02 -3.329711e-02 2.778249e+00,2.719129e-02 -3.351470e-02 2.778008e+00,2.931936e-02 -3.351179e-02 2.777970e+00,2.998606e-02 -3.393434e-02 2.778206e+00,3.443540e-02 -3.511617e-02 2.779321e+00,3.483687e-02 -3.517653e-02 2.779557e+00,3.445085e-02 -3.606673e-02 2.779594e+00,3.224012e-02 -3.591109e-02 2.780897e+00,3.201873e-02 -3.657556e-02 2.781557e+00,3.371304e-02 -3.865520e-02 2.782855e+00,3.368170e-02 -3.891325e-02 2.782776e+00,3.158205e-02 -3.799921e-02 2.782772e+00,3.016995e-02 -3.877576e-02 2.783264e+00,3.168117e-02 -3.930151e-02 2.783700e+00,3.283271e-02 -3.973104e-02 2.783924e+00,3.310895e-02 -3.973543e-02 2.783910e+00,3.398136e-02 -4.181466e-02 2.783543e+00,3.501287e-02 -4.244062e-02 2.783267e+00,3.526813e-02 -4.267975e-02 2.783165e+00,3.524321e-02 -4.320591e-02 2.783021e+00,3.525289e-02 -4.296962e-02 2.782720e+00,3.539630e-02 -4.299002e-02 2.782668e+00,3.550426e-02 -4.335610e-02 2.782218e+00,3.550086e-02 -4.370704e-02 2.782181e+00
5.054011e-02 6.643990e-02 2.789787e+00,5.083169e-02 6.668475e-02 2.789101e+00,5.082173e-02 6.644645e-02 2.789049e+00,5.030803e-02 6.633545e-02 2.788763e+00,4.898240e-02 6.630395e-02 2.788158e+00,4.816544e-02 6.620307e-02 2.788187e+00,4.698024e-02 6.668702e-02 2.787739e+00,4.607227e-02 6.618771e-02 2.788449e+00,4.565650e-02 6.526592e-02 2.788436e+00,4.507495e-02 6.510685e-02 2.789479e+00,4.151534e-02 6.576318e-02 2.789149e+00,4.150886e-02 6.573236e-02 2.788262e+00,5.116309e-02 7.195322e-02 2.787711e+00,5.112474e-02 7.285919e-02 2.787780e+00,4.990031e-02 7.825205e-02 2.785975e+00,5.021171e-02 7.909328e-02 2.786702e+00,4.306110e-02 7.922798e-02 2.790880e+00,4.300815e-02 8.193901e-02 2.790755e+00,4.408549e-02 8.034904e-02 2.792153e+00,3.740970e-02 6.602919e-02 2.798235e+00,3.509815e-02 6.378607e-02 2.799507e+00,3.502422e-02 6.559953e-02 2.798702e+00,3.380941e-02 6.642920e-02 2.797681e+00,3.381040e-02 6.680546e-02 2.797232e+00,3.366864e-02 6.691200e-02 2.797098e+00,3.441222e-02 6.811455e-02 2.795774e+00,3.483661e-02 6.856358e-02 2.795194e+00,3.540983e-02 6.877141e-02 2.794974e+00,3.769971e-02 6.956999e-02 2.795203e+00,3.859182e-02 6.940030e-02 2.795331e+00,3.869586e-02 6.941714e-02 2.795426e+00,3.960142e-02 6.906953e-02 2.796216e+00,3.988335e-02 6.914677e-02 2.796368e+00,4.027242e-02 6.909875e-02 2.796870e+00,4.050333e-02 6.875990e-02 2.796983e+00,4.082444e-02 6.854767e-02 2.796996e+00,4.086138e-02 6.860140e-02 2.797275e+00,4.104454e-02 6.844384e-02 2.797333e+00,4.118163e-02 6.842508e-02 2.797523e+00,4.145485e-02 6.834247e-02 2.797734e+00,4.173869e-02 6.795434e-02 2.797687e+00,4.235176e-02 6.752149e-02 2.797373e+00,4.337545e-02 6.704301e-02 2.797403e+00,4.392297e-02 6.654511e-02 2.796994e+00,4.438965e-02 6.712095e-02 2.796330e+00,4.451745e-02 6.696323e-02 2.796319e+00,4.469300e-02 6.687465e-02 2.796109e+00,4.473986e-02 6.671266e-02 2.795899e+00
-1.114868e-01 -1.555572e-01 2.761851e+00,-1.113325e-01 -1.553371e-01 2.761827e+00,-1.112734e-01 -1.554855e-01 2.761758e+00,-1.112842e-01 -1.554859e-01 2.761775e+00,-1.118650e-01 -1.557166e-01 2.761890e+00,-1.123212e-01 -1.556005e-01 2.762125e+00,-1.124182e-01 -1.556242e-01 2.762146e+00,-1.129432e-01 -1.554534e-01 2.762120e+00,-1.136711e-01 -1.558374e-01 2.762440e+00,-1.142246e-01 -1.567912e-01 2.763083e+00,-1.190362e-01 -1.596846e-01 2.769516e+00,-1.199245e-01 -1.595587e-01 2.770239e+00,-1.214422e-01 -1.622876e-01 2.772516e+00,-1.225056e-01 -1.653967e-01 2.773483e+00,-1.227143e-01 -1.676145e-01 2.774519e+00,-1.219382e-01 -1.706320e-01 2.774024e+00,-1.231754e-01 -1.710095e-01 2.776287e+00,-1.234923e-01 -1.705157e-01 2.777340e+00,-1.235727e-01 -1.685049e-01 2.778837e+00,-1.172913e-01 -1.633735e-01 2.777454e+00,-1.178529e-01 -1.635903e-01 2.777903e+00,-1.165411e-01 -1.553369e-01 2.778285e+00,-1.176137e-01 -1.570281e-01 2.778660e+00,-1.182691e-01 -1.576463e-01 2.778375e+00,-1.184693e-01 -1.566633e-01 2.778353e+00,-1.183442e-01 -1.554683e-01 2.777689e+00,-1.174500e-01 -1.550975e-01 2.775588e+00,-1.177550e-01 -1.572480e-01 2.775321e+00,-1.172672e-01 -1.548391e-01 2.774481e+00,-1.177292e-01 -1.571363e-01 2.774652e+00,-1.177269e-01 -1.564097e-01 2.774077e+00,-1.172312e-01 -1.561008e-01 2.772358e+00,-1.172230e-01 -1.561218e-01 2.772279e+00,-1.170786e-01 -1.560882e-01 2.772169e+00,-1.169647e-01 -1.560185e-01 2.772067e+00,-1.169077e-01 -1.560836e-01 2.771987e+00,-1.161486e-01 -1.564002e-01 2.771228e+00,-1.158468e-01 -1.562376e-01 2.770973e+00,-1.156740e-01 -1.560079e-01 2.771039e+00,-1.154573e-01 -1.557039e-01 2.770797e+00,-1.153507e-01 -1.555909e-01 2.770656e+00,-1.153451e-01 -1.553704e-01 2.770262e+00,-1.153553e-01 -1.549959e-01 2.770039e+00,-1.153967e-01 -1.550150e-01 2.770050e+00,-1.154494e-01 -1.544988e-01 2.769261e+00,-1.156062e-01 -1.545134e-01 2.769215e+00,-1.163188e-01 -1.547379e-01 2.768964e+00,-1.164710e-01 -1.547726e-01 2.768799e+00
-1.510783e-01 -3.990997e-01 2.766800e+00,-1.512625e-01 -3.988074e-01 2.766914e+00,-1.513313e-01 -3.987794e-01 2.767033e+00,-1.517435e-01 -3.984539e-01 2.767519e+00,-1.519772e-01 -3.982086e-01 2.767717e+00,-1.529082e-01 -3.968945e-01 2.768932e+00,-1.536233e-01 -3.949602e-01 2.770280e+00,-1.536060e-01 -3.943484e-01 2.771086e+00,-1.535764e-01 -3.945546e-01 2.770952e+00,-1.528660e-01 -3.953170e-01 2.771262e+00,-1.522161e-01 -3.968579e-01 2.771224e+00,-1.517089e-01 -3.971237e-01 2.770996e+00,-1.496546e-01 -3.979851e-01 2.771321e+00,-1.493634e-01 -3.979684e-01 2.771461e+00,-1.480725e-01 -3.877045e-01 2.772206e+00,-1.459941e-01 -3.804955e-01 2.775996e+00,-1.459519e-01 -3.841405e-01 2.777701e+00,-1.460659e-01 -3.907385e-01 2.780362e+00,-1.459808e-01 -3.925290e-01 2.781243e+00,-1.461795e-01 -3.939895e-01 2.784510e+00,-1.464836e-01 -3.955646e-01 2.784913e+00,-1.469535e-01 -3.962609e-01 2.787105e+00,-1.472209e-01 -3.967576e-01 2.787524e+00,-1.473254e-01 -3.961641e-01 2.788898e+00,-1.473544e-01 -3.952341e-01 2.790290e+00,-1.474900e-01 -3.952824e-01 2.790679e+00,-1.487022e-01 -3.974575e-01 2.789738e+00,-1.492785e-01 -3.975953e-01 2.789081e+00,-1.503242e-01 -3.985980e-01 2.787350e+00,-1.510748e-01 -3.989549e-01 2.785754e+00,-1.516999e-01 -3.979626e-01 2.784934e+00,-1.522034e-01 -3.979244e-01 2.784406e+00,-1.523036e-01 -3.979963e-01 2.784320e+00,-1.526439e-01 -3.975925e-01 2.784226e+00,-1.527870e-01 -3.974808e-01 2.784405e+00,-1.529835e-01 -3.973469e-01 2.784431e+00,-1.531946e-01 -3.971289e-01 2.784307e+00,-1.532533e-01 -3.971613e-01 2.784325e+00,-1.535356e-01 -3.969874e-01 2.783642e+00,-1.535131e-01 -3.968967e-01 2.783470e+00,-1.537304e-01 -3.970907e-01 2.782279e+00,-1.539037e-01 -3.970456e-01 2.781211e+00,-1.543370e-01 -3.969984e-01 2.780646e+00,-1.548483e-01 -3.955298e-01 2.780689e+00,-1.556882e-01 -3.924326e-01 2.780119e+00,-1.557317e-01 -3.922575e-01 2.780046e+00,-1.561061e-01 -3.911833e-01 2.779613e+00,-1.562392e-01 -3.910764e-01 2.779573e+00
-1.594469e-01 -5.899100e-01 2.692131e+00,-1.594009e-01 -5.897024e-01 2.692466e+00,-1.594340e-01 -5.896488e-01 2.692502e+00,-1.594011e-01 -5.892739e-01 2.692777e+00,-1.597241e-01 -5.888200e-01 2.692360e+00,-1.598697e-01 -5.873442e-01 2.692987e+00,-1.597456e-01 -5.853365e-01 2.694006e+00,-1.612266e-01 -5.848696e-01 2.695402e+00,-1.614119e-01 -5.851201e-01 2.695428e+00,-1.612690e-01 -5.860441e-01 2.696304e+00,-1.596385e-01 -5.877002e-01 2.696501e+00,-1.595317e-01 -5.879431e-01 2.696258e+00,-1.585641e-01 -5.883710e-01 2.695453e+00,-1.585753e-01 -5.883154e-01 2.695523e+00,-1.565276e-01 -5.790820e-01 2.699137e+00,-1.560630e-01 -5.715929e-01 2.702229e+00,-1.569870e-01 -5.750553e-01 2.703593e+00,-1.579142e-01 -5.802241e-01 2.702293e+00,-1.585066e-01 -5.816579e-01 2.702319e+00,-1.591214e-01 -5.828966e-01 2.705067e+00,-1.539579e-01 -5.980941e-01 2.704540e+00,-1.598964e-01 -5.970236e-01 2.708636e+00,-1.613264e-01 -5.878895e-01 2.714885e+00,-1.604767e-01 -6.041710e-01 2.709924e+00,-1.605674e-01 -6.042531e-01 2.710124e+00,-1.610674e-01 -5.992085e-01 2.714747e+00,-1.620079e-01 -5.884688e-01 2.716552e+00,-1.639410e-01 -5.878215e-01 2.713833e+00,-1.644033e-01 -5.884767e-01 2.710959e+00,-1.643031e-01 -5.886832e-01 2.708749e+00,-1.639624e-01 -5.873426e-01 2.706732e+00,-1.602740e-01 -5.870259e-01 2.704767e+00,-1.601640e-01 -5.929721e-01 2.702720e+00,-1.607835e-01 -5.976505e-01 2.702112e+00,-1.586435e-01 -5.877802e-01 2.707910e+00,-1.600576e-01 -5.876179e-01 2.707983e+00,-1.624096e-01 -5.879870e-01 2.709886e+00,-1.636536e-01 -5.876755e-01 2.709065e+00,-1.638908e-01 -5.874898e-01 2.708338e+00,-1.640418e-01 -5.869534e-01 2.706884e+00,-1.633947e-01 -5.873865e-01 2.706254e+00,-1.632326e-01 -5.875700e-01 2.705808e+00,-1.631409e-01 -5.876213e-01 2.705457e+00,-1.631461e-01 -5.863083e-01 2.705876e+00,-1.636548e-01 -5.836288e-01 2.706489e+00,-1.639166e-01 -5.835160e-01 2.706635e+00,-1.641241e-01 -5.823649e-01 2.705929e+00,-1.643434e-01 -5.821944e-01 2.705706e+00
-1.475451e-01 -6.090416e-01 2.687488e+00,-1.483656e-01 -6.103030e-01 2.688720e+00,-1.475322e-01 -6.098834e-01 2.688124e+00,-1.472924e-01 -6.094811e-01 2.689301e+00,-1.481567e-01 -6.100670e-01 2.685884e+00,-1.475705e-01 -6.086887e-01 2.688225e+00,-1.481613e-01 -6.116310e-01 2.689124e+00,-1.476919e-01 -6.126181e-01 2.691483e+00,-1.466799e-01 -6.126133e-01 2.689270e+00,-1.469883e-01 -6.137368e-01 2.690585e+00,-1.450530e-01 -6.116132e-01 2.688928e+00,-1.455189e-01 -6.117560e-01 2.684324e+00,-1.444481e-01 -6.118382e-01 2.684196e+00,-1.441498e-01 -6.123624e-01 2.686500e+00,-1.426761e-01 -6.128054e-01 2.687435e+00,-1.415551e-01 -6.120937e-01 2.689402e+00,-1.434496e-01 -6.140986e-01 2.692661e+00,-1.466935e-01 -6.128073e-01 2.694230e+00,-1.454972e-01 -6.134334e-01 2.694743e+00,-1.450841e-01 -6.157936e-01 2.697469e+00,-1.437319e-01 -6.307461e-01 2.695810e+00,-1.451231e-01 -6.313949e-01 2.700749e+00,-1.474683e-01 -6.139421e-01 2.704326e+00,-1.449629e-01 -6.342696e-01 2.703843e+00,-1.443583e-01 -6.367407e-01 2.705523e+00,-1.445190e-01 -6.322672e-01 2.704192e+00,-1.479712e-01 -6.242273e-01 2.703217e+00,-1.504307e-01 -6.229595e-01 2.700959e+00,-1.520851e-01 -6.135101e-01 2.700088e+00,-1.489577e-01 -6.112928e-01 2.695761e+00,-1.477775e-01 -6.112199e-01 2.692737e+00,-1.453881e-01 -6.116868e-01 2.695254e+00,-1.444766e-01 -6.250367e-01 2.693825e+00,-1.449846e-01 -6.312976e-01 2.695084e+00,-1.467558e-01 -6.206763e-01 2.698561e+00,-1.467745e-01 -6.209195e-01 2.699037e+00,-1.498684e-01 -6.134982e-01 2.698457e+00,-1.505962e-01 -6.126684e-01 2.698444e+00,-1.511778e-01 -6.121166e-01 2.694487e+00,-1.514785e-01 -6.117418e-01 2.694936e+00,-1.504686e-01 -6.119499e-01 2.696421e+00,-1.495386e-01 -6.114296e-01 2.695337e+00,-1.527686e-01 -6.117373e-01 2.692541e+00,-1.526361e-01 -6.129275e-01 2.695082e+00,-1.535092e-01 -6.115547e-01 2.692876e+00,-1.540792e-01 -6.118112e-01 2.695118e+00,-1.534207e-01 -6.114959e-01 2.693686e+00,-1.538585e-01 -6.110537e-01 2.692049e+00
1.878212e-01 -1.587966e-01 2.768329e+00,1.877446e-01 -1.587038e-01 2.768675e+00,1.877008e-01 -1.587805e-01 2.768551e+00,1.876494e-01 -1.587322e-01 2.768545e+00,1.867225e-01 -1.573042e-01 2.767720e+00,1.863854e-01 -1.570745e-01 2.767804e+00,1.865096e-01 -1.571728e-01 2.768232e+00,1.871597e-01 -1.562677e-01 2.768640e+00,1.873855e-01 -1.552904e-01 2.768882e+00,1.873514e-01 -1.554164e-01 2.768290e+00,1.842335e-01 -1.511017e-01 2.760006e+00,1.794812e-01 -1.488825e-01 2.744359e+00,1.746331e-01 -1.501745e-01 2.736376e+00,1.731115e-01 -1.509212e-01 2.734137e+00,1.692544e-01 -1.502407e-01 2.726329e+00,1.673490e-01 -1.488876e-01 2.722538e+00,1.655050e-01 -1.370419e-01 2.715796e+00,1.640815e-01 -1.354746e-01 2.715139e+00,1.633711e-01 -9.588117e-02 2.722059e+00,1.543549e-01 -1.460539e-01 2.719445e+00,1.537579e-01 -1.461803e-01 2.719426e+00,1.538849e-01 -1.454782e-01 2.719404e+00,1.538585e-01 -1.453517e-01 2.719280e+00,1.543312e-01 -1.442293e-01 2.718537e+00,1.578698e-01 -1.319643e-01 2.719076e+00,1.604109e-01 -1.289063e-01 2.720347e+00,1.703486e-01 -1.274700e-01 2.727384e+00,1.743544e-01 -1.284190e-01 2.731328e+00,1.811223e-01 -1.327105e-01 2.739026e+00,1.826803e-01 -1.339636e-01 2.740854e+00,1.839991e-01 -1.353814e-01 2.744140e+00,1.867518e-01 -1.378101e-01 2.749289e+00,1.884976e-01 -1.391337e-01 2.753278e+00,1.904055e-01 -1.442134e-01 2.760557e+00,1.915023e-01 -1.474381e-01 2.765182e+00,1.922004e-01 -1.497050e-01 2.768234e+00,1.917665e-01 -1.514891e-01 2.769982e+00,1.913542e-01 -1.518265e-01 2.770231e+00,1.904643e-01 -1.533113e-01 2.770447e+00,1.889267e-01 -1.559270e-01 2.769939e+00,1.862505e-01 -1.570173e-01 2.768817e+00,1.856712e-01 -1.572295e-01 2.768542e+00,1.851375e-01 -1.573214e-01 2.768670e+00,1.850115e-01 -1.574232e-01 2.768773e+00,1.849325e-01 -1.574455e-01 2.768898e+00,1.847685e-01 -1.575048e-01 2.769493e+00,1.844247e-01 -1.576174e-01 2.769762e+00,1.838898e-01 -1.573612e-01 2.770051e+00
2.250488e-01 -3.967601e-01 2.790294e+00,2.251411e-01 -3.983793e-01 2.790179e+00,2.252177e-01 -3.994267e-01 2.790237e+00,2.253675e-01 -3.998927e-01 2.790476e+00,2.265012e-01 -3.914891e-01 2.791056e+00,2.339389e-01 -3.495947e-01 2.791304e+00,2.484904e-01 -3.492448e-01 2.766657e+00,2.747604e-01 -3.319475e-01 2.702862e+00,2.365389e-01 -3.080908e-01 2.629520e+00,2.211407e-01 -2.837519e-01 2.599694e+00,1.809506e-01 -2.153234e-01 2.552632e+00,1.558717e-01 -1.903589e-01 2.532152e+00,1.385639e-01 -1.645113e-01 2.522138e+00,1.266202e-01 -1.506635e-01 2.521437e+00,1.218222e-01 -1.441662e-01 2.513921e+00,9.557811e-02 -1.221412e-01 2.519077e+00,1.417507e-01 -1.453243e-01 2.499441e+00,1.503588e-01 -1.466098e-01 2.498043e+00,1.611866e-01 -1.418841e-01 2.506277e+00,2.275018e-01 -1.481741e-01 2.507594e+00,2.298408e-01 -1.451638e-01 2.505923e+00,2.442607e-01 -1.289095e-01 2.518438e+00,2.460664e-01 -1.246571e-01 2.519548e+00,2.738045e-01 -1.082188e-01 2.529513e+00,2.899215e-01 -1.025586e-01 2.534949e+00,3.006622e-01 -9.237605e-02 2.558032e+00,3.135184e-01 -1.014989e-01 2.564955e+00,3.177074e-01 -1.058223e-01 2.565552e+00,3.259177e-01 -1.332656e-01 2.581597e+00,3.285493e-01 -1.388394e-01 2.584630e+00,3.342175e-01 -1.512607e-01 2.593419e+00,3.419357e-01 -1.776929e-01 2.609606e+00,3.476743e-01 -2.072748e-01 2.625618e+00,3.436266e-01 -2.542017e-01 2.666101e+00,3.374728e-01 -2.849123e-01 2.721901e+00,3.217444e-01 -3.049092e-01 2.745378e+00,3.133864e-01 -3.127942e-01 2.762469e+00,3.080819e-01 -3.161991e-01 2.769240e+00,2.585413e-01 -3.511251e-01 2.777939e+00,2.381184e-01 -3.753159e-01 2.778691e+00,2.228247e-01 -4.029267e-01 2.773339e+00,2.221590e-01 -4.045562e-01 2.774028e+00,2.219940e-01 -4.058623e-01 2.781987e+00,2.224576e-01 -4.051395e-01 2.786247e+00,2.228580e-01 -4.010046e-01 2.793814e+00,2.227943e-01 -3.993195e-01 2.795730e+00,2.220008e-01 -3.993191e-01 2.797652e+00,2.216931e-01 -4.010519e-01 2.797791e+00
2.326166e-01 -5.898864e-01 2.722981e+00,2.338459e-01 -5.914828e-01 2.722992e+00,2.328747e-01 -5.916133e-01 2.719831e+00,2.211783e-01 -5.863709e-01 2.703610e+00,2.191473e-01 -5.606697e-01 2.671053e+00,1.950701e-01 -4.896425e-01 2.640611e+00,1.939697e-01 -3.852938e-01 2.564978e+00,1.469841e-01 -2.786643e-01 2.543446e+00,1.519159e-01 -2.274384e-01 2.550658e+00,1.511181e-01 -2.167095e-01 2.548877e+00,4.596333e-02 -5.572246e-02 2.523950e+00,2.352343e-02 -3.521420e-02 2.512565e+00,-5.811355e-03 -2.077010e-02 2.500958e+00,-7.057250e-02 9.075586e-03 2.479028e+00,-4.942505e-02 -3.406301e-02 2.492636e+00,-8.070597e-02 -3.021072e-02 2.464126e+00,-3.803992e-02 -5.410304e-02 2.458090e+00,-2.457667e-02 -5.061318e-02 2.445205e+00,8.565650e-02 -1.161418e-01 2.436713e+00,1.192361e-01 -2.070510e-02 2.380834e+00,1.837597e-01 1.561710e-02 2.379465e+00,2.867988e-01 4.847759e-02 2.418220e+00,3.145336e-01 5.308495e-02 2.438235e+00,3.515645e-01 7.000530e-02 2.460461e+00,3.642121e-01 7.768665e-02 2.467698e+00,3.699834e-01 8.052748e-02 2.466976e+00,3.783334e-01 7.253452e-02 2.472517e+00,3.858056e-01 6.612863e-02 2.471451e+00,3.908008e-01 3.756259e-02 2.482626e+00,3.941764e-01 3.012060e-02 2.482693e+00,3.945575e-01 1.439766e-02 2.482255e+00,4.002255e-01 -2.425760e-02 2.479767e+00,3.946541e-01 -6.391136e-02 2.479456e+00,3.748093e-01 -1.507025e-01 2.484337e+00,3.541287e-01 -2.186177e-01 2.521081e+00,3.370481e-01 -2.715628e-01 2.524139e+00,3.041780e-01 -3.633702e-01 2.556838e+00,2.971435e-01 -4.135488e-01 2.582305e+00,2.668349e-01 -5.027724e-01 2.634676e+00,2.544037e-01 -5.414527e-01 2.655119e+00,2.263592e-01 -5.875369e-01 2.682106e+00,2.241908e-01 -5.904895e-01 2.685859e+00,2.216922e-01 -5.924447e-01 2.695364e+00,2.207492e-01 -5.915430e-01 2.699180e+00,2.252359e-01 -5.884188e-01 2.709298e+00,2.136927e-01 -5.863140e-01 2.710523e+00,2.225570e-01 -5.887997e-01 2.718570e+00,2.262076e-01 -5.916963e-01 2.722273e+00
