4.628347e-02 -5.676346e-01 2.783444e+00,4.570989e-02 -5.675566e-01 2.783249e+00,4.549230e-02 -5.675508e-01 2.783072e+00,4.378804e-02 -5.672485e-01 2.781611e+00,4.183887e-02 -5.665162e-01 2.780286e+00,3.847896e-02 -5.657621e-01 2.778138e+00,3.771951e-02 -5.655063e-01 2.777426e+00,3.644926e-02 -5.649557e-01 2.776497e+00,3.401883e-02 -5.630783e-01 2.772918e+00,3.298192e-02 -5.628493e-01 2.771990e+00,3.249542e-02 -5.630739e-01 2.770908e+00,3.170796e-02 -5.636424e-01 2.769760e+00,3.020336e-02 -5.648253e-01 2.768884e+00,2.890608e-02 -5.664312e-01 2.767599e+00,2.879986e-02 -5.678971e-01 2.766670e+00,2.845534e-02 -5.724584e-01 2.766894e+00,2.848640e-02 -5.729041e-01 2.767247e+00,2.848944e-02 -5.728499e-01 2.767243e+00,2.872631e-02 -5.734516e-01 2.767830e+00,2.903811e-02 -5.738951e-01 2.768352e+00,2.905443e-02 -5.741752e-01 2.768810e+00,2.910807e-02 -5.743309e-01 2.768819e+00,2.900399e-02 -5.747922e-01 2.768926e+00,2.902958e-02 -5.750077e-01 2.768965e+00,2.904779e-02 -5.750561e-01 2.769045e+00,2.853793e-02 -5.751082e-01 2.768966e+00,2.854287e-02 -5.752661e-01 2.768886e+00,2.784812e-02 -5.777094e-01 2.768299e+00,2.705026e-02 -5.777109e-01 2.768322e+00,2.717920e-02 -5.768124e-01 2.768181e+00,2.518416e-02 -5.692072e-01 2.766942e+00,2.369288e-02 -5.674008e-01 2.766101e+00,2.329172e-02 -5.660888e-01 2.765242e+00,2.369353e-02 -5.658813e-01 2.765084e+00,2.390361e-02 -5.658539e-01 2.765162e+00,2.479113e-02 -5.652195e-01 2.764870e+00,2.562138e-02 -5.654287e-01 2.764857e+00,2.655347e-02 -5.653444e-01 2.764997e+00,2.770717e-02 -5.655129e-01 2.765148e+00,3.064327e-02 -5.650101e-01 2.766297e+00,3.556999e-02 -5.647540e-01 2.768164e+00,3.760040e-02 -5.652030e-01 2.769252e+00,3.970918e-02 -5.652793e-01 2.770389e+00,4.157773e-02 -5.654077e-01 2.771809e+00,4.223036e-02 -5.651816e-01 2.771896e+00,4.303728e-02 -5.653321e-01 2.772652e+00
4.501367e-02 -2.754438e-01 2.808118e+00,4.449017e-02 -2.754322e-01 2.807711e+00,4.418013e-02 -2.754260e-01 2.807228e+00,4.252084e-02 -2.750781e-01 2.805472e+00,4.143331e-02 -2.749104e-01 2.804456e+00,3.977775e-02 -2.741559e-01 2.801857e+00,3.932719e-02 -2.738878e-01 2.800923e+00,3.858754e-02 -2.735189e-01 2.799492e+00,3.737140e-02 -2.720418e-01 2.796118e+00,3.663480e-02 -2.717797e-01 2.795065e+00,3.611942e-02 -2.716871e-01 2.794504e+00,3.559292e-02 -2.718832e-01 2.794220e+00,3.425068e-02 -2.720697e-01 2.793947e+00,3.344058e-02 -2.725399e-01 2.793384e+00,3.264712e-02 -2.738062e-01 2.792812e+00,3.042495e-02 -2.769629e-01 2.792520e+00,3.049719e-02 -2.775135e-01 2.793344e+00,3.051462e-02 -2.775144e-01 2.793427e+00,3.065846e-02 -2.778857e-01 2.793477e+00,3.078090e-02 -2.778809e-01 2.793526e+00,3.094009e-02 -2.780145e-01 2.793506e+00,3.096503e-02 -2.780293e-01 2.793491e+00,3.118180e-02 -2.783313e-01 2.793096e+00,3.137796e-02 -2.785245e-01 2.792852e+00,3.144317e-02 -2.785550e-01 2.792832e+00,3.028817e-02 -2.803853e-01 2.792903e+00,3.007221e-02 -2.814381e-01 2.792867e+00,2.931183e-02 -2.849699e-01 2.789122e+00,2.862791e-02 -2.828943e-01 2.786521e+00,2.868324e-02 -2.822224e-01 2.786492e+00,2.808108e-02 -2.769700e-01 2.788635e+00,2.774776e-02 -2.757215e-01 2.789083e+00,2.767716e-02 -2.742769e-01 2.789299e+00,2.788991e-02 -2.739765e-01 2.789248e+00,2.821543e-02 -2.737082e-01 2.789415e+00,2.928947e-02 -2.731187e-01 2.789163e+00,3.028297e-02 -2.730689e-01 2.789045e+00,3.171753e-02 -2.729212e-01 2.788967e+00,3.272172e-02 -2.728846e-01 2.789099e+00,3.520852e-02 -2.726861e-01 2.789259e+00,3.808929e-02 -2.724537e-01 2.789899e+00,3.934304e-02 -2.727146e-01 2.790502e+00,4.064241e-02 -2.729462e-01 2.791435e+00,4.208173e-02 -2.734012e-01 2.792622e+00,4.240989e-02 -2.734234e-01 2.792956e+00,4.306103e-02 -2.736362e-01 2.793540e+00
4.303974e-02 1.159261e-02 2.819753e+00,4.261778e-02 1.151161e-02 2.819087e+00,4.228517e-02 1.150130e-02 2.818166e+00,4.081501e-02 1.186386e-02 2.816195e+00,4.033611e-02 1.167006e-02 2.815429e+00,4.016947e-02 1.244955e-02 2.812114e+00,4.012832e-02 1.269227e-02 2.810984e+00,4.001125e-02 1.285037e-02 2.808892e+00,3.995845e-02 1.391315e-02 2.805906e+00,3.959316e-02 1.416180e-02 2.804825e+00,3.892485e-02 1.453951e-02 2.804611e+00,3.851739e-02 1.449674e-02 2.804803e+00,3.706333e-02 1.512378e-02 2.805130e+00,3.651631e-02 1.555380e-02 2.805062e+00,3.522135e-02 1.446877e-02 2.804994e+00,3.104013e-02 1.240078e-02 2.804605e+00,3.140162e-02 1.185108e-02 2.806290e+00,3.155758e-02 1.175051e-02 2.806688e+00,3.183802e-02 1.139976e-02 2.806290e+00,3.217503e-02 1.195444e-02 2.805984e+00,3.295403e-02 1.181648e-02 2.805142e+00,3.299481e-02 1.196162e-02 2.805058e+00,3.382846e-02 1.199545e-02 2.803421e+00,3.429068e-02 1.193054e-02 2.802689e+00,3.441884e-02 1.193950e-02 2.802579e+00,3.195262e-02 6.677682e-03 2.803522e+00,3.133781e-02 4.817099e-03 2.803751e+00,3.097284e-02 2.179191e-03 2.792212e+00,3.130162e-02 9.402180e-03 2.785261e+00,3.111607e-02 9.728806e-03 2.786293e+00,3.146201e-02 1.405532e-02 2.797155e+00,3.185078e-02 1.464754e-02 2.799068e+00,3.202818e-02 1.545842e-02 2.800378e+00,3.205197e-02 1.551503e-02 2.800392e+00,3.239033e-02 1.573589e-02 2.800615e+00,3.364633e-02 1.565479e-02 2.800358e+00,3.481932e-02 1.569967e-02 2.800123e+00,3.698905e-02 1.552981e-02 2.799754e+00,3.777178e-02 1.555957e-02 2.799882e+00,4.001712e-02 1.527146e-02 2.799234e+00,4.122988e-02 1.524361e-02 2.799148e+00,4.172464e-02 1.506120e-02 2.799317e+00,4.225223e-02 1.463859e-02 2.799949e+00,4.313196e-02 1.373938e-02 2.800866e+00,4.319262e-02 1.337606e-02 2.801607e+00,4.356162e-02 1.311553e-02 2.801929e+00
5.232194e-02 1.505558e-01 2.818084e+00,5.192532e-02 1.506333e-01 2.817921e+00,5.126915e-02 1.508985e-01 2.817604e+00,4.992701e-02 1.509002e-01 2.816394e+00,4.957340e-02 1.508925e-01 2.815621e+00,4.895503e-02 1.511559e-01 2.813941e+00,4.872378e-02 1.513946e-01 2.813281e+00,4.868802e-02 1.515471e-01 2.812600e+00,4.828054e-02 1.525342e-01 2.810469e+00,4.805982e-02 1.526898e-01 2.809933e+00,4.616273e-02 1.534602e-01 2.808739e+00,4.502252e-02 1.537675e-01 2.809000e+00,4.311313e-02 1.546885e-01 2.809495e+00,3.893166e-02 1.556719e-01 2.809843e+00,3.513853e-02 1.593542e-01 2.810657e+00,3.510295e-02 1.690967e-01 2.812595e+00,3.583660e-02 1.707598e-01 2.813745e+00,3.338911e-02 1.732928e-01 2.815225e+00,3.701276e-02 1.777546e-01 2.813405e+00,3.957619e-02 1.783932e-01 2.813631e+00,4.001561e-02 1.784564e-01 2.813472e+00,4.068113e-02 1.782677e-01 2.812261e+00,4.196516e-02 1.785246e-01 2.811480e+00,4.272353e-02 1.784475e-01 2.810749e+00,4.312124e-02 1.784055e-01 2.810498e+00,4.207547e-02 1.730030e-01 2.811586e+00,4.131450e-02 1.710715e-01 2.811661e+00,3.996610e-02 1.710141e-01 2.810795e+00,3.900020e-02 1.686619e-01 2.811970e+00,3.810907e-02 1.642610e-01 2.812971e+00,3.640525e-02 1.615577e-01 2.814074e+00,3.459250e-02 1.603003e-01 2.814540e+00,3.336876e-02 1.594072e-01 2.814468e+00,3.322784e-02 1.593220e-01 2.814241e+00,3.316110e-02 1.592585e-01 2.814203e+00,3.379114e-02 1.590498e-01 2.812971e+00,3.417464e-02 1.589984e-01 2.811816e+00,3.621368e-02 1.585144e-01 2.809671e+00,3.781250e-02 1.579753e-01 2.808890e+00,3.873798e-02 1.575744e-01 2.808230e+00,4.153976e-02 1.567353e-01 2.806172e+00,4.271263e-02 1.562706e-01 2.805203e+00,4.544831e-02 1.555039e-01 2.804032e+00,4.645238e-02 1.552734e-01 2.803971e+00,4.712543e-02 1.552542e-01 2.804040e+00,4.760837e-02 1.552014e-01 2.804190e+00
-1.080776e-01 -9.855510e-02 2.792019e+00,-1.083275e-01 -9.842138e-02 2.791523e+00,-1.085709e-01 -9.836355e-02 2.791352e+00,-1.094593e-01 -9.801941e-02 2.789888e+00,-1.099625e-01 -9.766661e-02 2.788915e+00,-1.107925e-01 -9.712766e-02 2.785615e+00,-1.103074e-01 -9.653414e-02 2.783504e+00,-1.098274e-01 -9.572779e-02 2.781402e+00,-1.092235e-01 -9.524164e-02 2.778691e+00,-1.092532e-01 -9.522688e-02 2.777724e+00,-1.093777e-01 -9.514110e-02 2.777276e+00,-1.102133e-01 -9.503253e-02 2.777881e+00,-1.125918e-01 -9.595342e-02 2.780410e+00,-1.145510e-01 -9.816995e-02 2.783445e+00,-1.144174e-01 -9.913444e-02 2.784907e+00,-1.121845e-01 -1.017988e-01 2.789381e+00,-1.115958e-01 -1.028888e-01 2.792319e+00,-1.116595e-01 -1.021967e-01 2.793963e+00,-1.117373e-01 -9.984835e-02 2.797251e+00,-1.119140e-01 -9.901401e-02 2.798150e+00,-1.137454e-01 -9.743220e-02 2.804142e+00,-1.144238e-01 -9.635422e-02 2.806638e+00,-1.146442e-01 -9.587952e-02 2.807374e+00,-1.147691e-01 -9.583545e-02 2.807113e+00,-1.148629e-01 -9.554463e-02 2.806695e+00,-1.151810e-01 -9.489930e-02 2.806613e+00,-1.153300e-01 -9.481406e-02 2.806629e+00,-1.152114e-01 -9.461071e-02 2.805764e+00,-1.151416e-01 -9.452411e-02 2.805724e+00,-1.151588e-01 -9.442399e-02 2.805551e+00,-1.153339e-01 -9.606513e-02 2.803840e+00,-1.164081e-01 -9.611252e-02 2.804657e+00,-1.173636e-01 -9.636565e-02 2.804718e+00,-1.176641e-01 -9.649351e-02 2.804355e+00,-1.179656e-01 -9.709816e-02 2.803609e+00,-1.178246e-01 -9.694135e-02 2.801185e+00,-1.172001e-01 -9.660378e-02 2.798285e+00,-1.151960e-01 -9.733221e-02 2.791758e+00,-1.141527e-01 -9.800009e-02 2.789392e+00,-1.135032e-01 -9.807402e-02 2.788018e+00,-1.128008e-01 -9.845405e-02 2.786235e+00,-1.124463e-01 -9.852836e-02 2.785698e+00,-1.118465e-01 -9.851957e-02 2.785120e+00,-1.110931e-01 -9.846503e-02 2.784834e+00,-1.108608e-01 -9.848752e-02 2.784874e+00,-1.104694e-01 -9.843970e-02 2.785111e+00
-1.493304e-01 -3.274284e-01 2.785218e+00,-1.496211e-01 -3.267778e-01 2.785047e+00,-1.498132e-01 -3.267133e-01 2.784786e+00,-1.506900e-01 -3.265272e-01 2.783496e+00,-1.511886e-01 -3.269949e-01 2.783033e+00,-1.518443e-01 -3.267655e-01 2.781770e+00,-1.523385e-01 -3.259190e-01 2.781503e+00,-1.527861e-01 -3.255534e-01 2.780740e+00,-1.536530e-01 -3.241172e-01 2.779732e+00,-1.538626e-01 -3.237917e-01 2.779568e+00,-1.544358e-01 -3.231075e-01 2.778841e+00,-1.545054e-01 -3.230007e-01 2.778646e+00,-1.545696e-01 -3.230217e-01 2.778697e+00,-1.546998e-01 -3.233128e-01 2.780315e+00,-1.548435e-01 -3.237285e-01 2.782109e+00,-1.539715e-01 -3.262297e-01 2.789353e+00,-1.531589e-01 -3.269323e-01 2.795829e+00,-1.502875e-01 -3.273959e-01 2.802342e+00,-1.462149e-01 -3.254909e-01 2.811300e+00,-1.454975e-01 -3.260138e-01 2.816164e+00,-1.443400e-01 -3.217175e-01 2.825481e+00,-1.439002e-01 -3.218102e-01 2.826135e+00,-1.436088e-01 -3.215709e-01 2.827001e+00,-1.435142e-01 -3.212802e-01 2.827143e+00,-1.434967e-01 -3.213583e-01 2.827016e+00,-1.434487e-01 -3.205705e-01 2.825062e+00,-1.432107e-01 -3.213469e-01 2.822925e+00,-1.425844e-01 -3.231841e-01 2.818264e+00,-1.418007e-01 -3.253259e-01 2.815960e+00,-1.423813e-01 -3.279344e-01 2.812095e+00,-1.426873e-01 -3.277437e-01 2.809437e+00,-1.427217e-01 -3.276301e-01 2.809075e+00,-1.438767e-01 -3.277131e-01 2.807882e+00,-1.450656e-01 -3.280647e-01 2.806133e+00,-1.458198e-01 -3.281509e-01 2.805456e+00,-1.468370e-01 -3.300518e-01 2.800673e+00,-1.471578e-01 -3.300782e-01 2.798222e+00,-1.478632e-01 -3.303947e-01 2.794466e+00,-1.479802e-01 -3.305299e-01 2.792933e+00,-1.481582e-01 -3.306175e-01 2.790461e+00,-1.472494e-01 -3.309346e-01 2.785445e+00,-1.466369e-01 -3.312828e-01 2.783535e+00,-1.457989e-01 -3.298376e-01 2.781194e+00,-1.448916e-01 -3.283108e-01 2.780023e+00,-1.443524e-01 -3.283533e-01 2.779798e+00,-1.436866e-01 -3.274479e-01 2.779813e+00
-1.469839e-01 -5.177514e-01 2.711968e+00,-1.468460e-01 -5.171435e-01 2.711934e+00,-1.469583e-01 -5.170066e-01 2.711453e+00,-1.469016e-01 -5.170233e-01 2.710827e+00,-1.476312e-01 -5.173486e-01 2.709918e+00,-1.475825e-01 -5.174477e-01 2.709711e+00,-1.477477e-01 -5.167629e-01 2.709964e+00,-1.480332e-01 -5.166491e-01 2.710012e+00,-1.490738e-01 -5.152164e-01 2.708983e+00,-1.494411e-01 -5.149200e-01 2.708899e+00,-1.496942e-01 -5.143758e-01 2.708637e+00,-1.497175e-01 -5.141489e-01 2.708055e+00,-1.495536e-01 -5.140872e-01 2.707856e+00,-1.485924e-01 -5.134944e-01 2.706797e+00,-1.485537e-01 -5.132960e-01 2.706765e+00,-1.482335e-01 -5.139779e-01 2.708845e+00,-1.485409e-01 -5.138857e-01 2.713141e+00,-1.485188e-01 -5.130689e-01 2.716297e+00,-1.490755e-01 -5.111194e-01 2.725196e+00,-1.512014e-01 -5.120788e-01 2.731343e+00,-1.539162e-01 -5.089769e-01 2.744162e+00,-1.553306e-01 -5.096723e-01 2.746748e+00,-1.565028e-01 -5.107711e-01 2.751712e+00,-1.564697e-01 -5.105850e-01 2.752173e+00,-1.567674e-01 -5.108440e-01 2.752656e+00,-1.571516e-01 -5.104567e-01 2.752016e+00,-1.575269e-01 -5.110502e-01 2.749470e+00,-1.554579e-01 -5.116015e-01 2.740723e+00,-1.531145e-01 -5.123672e-01 2.734372e+00,-1.521847e-01 -5.144030e-01 2.728797e+00,-1.504913e-01 -5.133933e-01 2.723801e+00,-1.504737e-01 -5.122876e-01 2.721003e+00,-1.508783e-01 -5.125875e-01 2.720258e+00,-1.515424e-01 -5.136470e-01 2.720197e+00,-1.515451e-01 -5.140628e-01 2.720278e+00,-1.520587e-01 -5.174913e-01 2.719435e+00,-1.535166e-01 -5.181608e-01 2.718837e+00,-1.538095e-01 -5.191685e-01 2.716983e+00,-1.533902e-01 -5.193889e-01 2.715644e+00,-1.530253e-01 -5.196441e-01 2.713608e+00,-1.508976e-01 -5.205386e-01 2.710191e+00,-1.496672e-01 -5.207907e-01 2.707963e+00,-1.477309e-01 -5.190862e-01 2.704792e+00,-1.458906e-01 -5.168579e-01 2.701570e+00,-1.455339e-01 -5.167998e-01 2.701067e+00,-1.446220e-01 -5.159568e-01 2.701235e+00
-1.346857e-01 -5.485237e-01 2.703586e+00,-1.344164e-01 -5.488586e-01 2.704007e+00,-1.331639e-01 -5.486041e-01 2.704235e+00,-1.351200e-01 -5.468480e-01 2.702155e+00,-1.355582e-01 -5.454190e-01 2.702521e+00,-1.384502e-01 -5.460124e-01 2.701291e+00,-1.377642e-01 -5.456921e-01 2.703281e+00,-1.349823e-01 -5.490004e-01 2.701825e+00,-1.364017e-01 -5.517257e-01 2.698344e+00,-1.336284e-01 -5.622717e-01 2.695920e+00,-1.355023e-01 -5.510349e-01 2.696956e+00,-1.365300e-01 -5.464470e-01 2.694198e+00,-1.368303e-01 -5.450196e-01 2.696158e+00,-1.362738e-01 -5.427771e-01 2.695177e+00,-1.339007e-01 -5.486539e-01 2.693793e+00,-1.335003e-01 -5.484985e-01 2.702895e+00,-1.341528e-01 -5.485829e-01 2.709259e+00,-1.329452e-01 -5.515041e-01 2.711663e+00,-1.369250e-01 -5.453838e-01 2.719400e+00,-1.357326e-01 -5.461999e-01 2.725340e+00,-1.304338e-01 -5.427651e-01 2.727506e+00,-1.419379e-01 -5.439806e-01 2.739246e+00,-1.426193e-01 -5.450719e-01 2.743418e+00,-1.426369e-01 -5.439834e-01 2.739843e+00,-1.405184e-01 -5.655630e-01 2.736879e+00,-1.427027e-01 -5.469424e-01 2.731283e+00,-1.447212e-01 -5.448771e-01 2.729297e+00,-1.420595e-01 -5.455052e-01 2.718279e+00,-1.345066e-01 -5.606863e-01 2.709214e+00,-1.335302e-01 -5.620937e-01 2.704474e+00,-1.311834e-01 -5.601172e-01 2.696907e+00,-1.312815e-01 -5.623895e-01 2.697422e+00,-1.367068e-01 -5.498502e-01 2.702385e+00,-1.387558e-01 -5.497558e-01 2.705996e+00,-1.407777e-01 -5.483168e-01 2.709547e+00,-1.421594e-01 -5.513535e-01 2.708267e+00,-1.420860e-01 -5.523979e-01 2.707475e+00,-1.420042e-01 -5.506477e-01 2.701514e+00,-1.390790e-01 -5.521992e-01 2.698267e+00,-1.375606e-01 -5.501625e-01 2.699062e+00,-1.337107e-01 -5.503472e-01 2.697744e+00,-1.326230e-01 -5.498984e-01 2.696693e+00,-1.314610e-01 -5.495445e-01 2.694551e+00,-1.318581e-01 -5.309488e-01 2.699438e+00,-1.292917e-01 -5.456575e-01 2.693175e+00,-1.302885e-01 -5.316665e-01 2.699828e+00
1.921066e-01 -1.044973e-01 2.797461e+00,1.913146e-01 -1.046481e-01 2.796850e+00,1.902890e-01 -1.047179e-01 2.795910e+00,1.890448e-01 -1.045406e-01 2.795302e+00,1.885868e-01 -1.042977e-01 2.795484e+00,1.874729e-01 -1.027906e-01 2.795915e+00,1.870990e-01 -1.017862e-01 2.796384e+00,1.867853e-01 -9.952495e-02 2.797905e+00,1.862177e-01 -9.806392e-02 2.798500e+00,1.841013e-01 -9.502202e-02 2.797003e+00,1.735199e-01 -9.061772e-02 2.783894e+00,1.725845e-01 -9.385625e-02 2.781524e+00,1.563953e-01 -1.096331e-01 2.745533e+00,1.484552e-01 -1.041006e-01 2.736422e+00,1.471302e-01 -1.044081e-01 2.735363e+00,1.403013e-01 -1.104273e-01 2.733486e+00,1.397160e-01 -1.099550e-01 2.733623e+00,1.379182e-01 -1.075186e-01 2.732899e+00,1.348378e-01 -1.059747e-01 2.730151e+00,1.335883e-01 -1.054485e-01 2.728963e+00,1.328939e-01 -1.052839e-01 2.727813e+00,1.326253e-01 -1.053688e-01 2.727268e+00,1.323782e-01 -1.054602e-01 2.726870e+00,1.323366e-01 -1.055311e-01 2.726674e+00,1.323467e-01 -1.056531e-01 2.726570e+00,1.322840e-01 -1.061028e-01 2.726412e+00,1.323911e-01 -1.067191e-01 2.726233e+00,1.340243e-01 -1.126009e-01 2.726046e+00,1.339918e-01 -1.113665e-01 2.725533e+00,1.535013e-01 -6.197118e-02 2.731677e+00,1.528662e-01 -6.010880e-02 2.731797e+00,1.572855e-01 -6.881499e-02 2.731308e+00,1.627740e-01 -7.755243e-02 2.734774e+00,1.649333e-01 -8.129831e-02 2.736487e+00,1.680032e-01 -8.430646e-02 2.738940e+00,1.694319e-01 -8.467151e-02 2.740656e+00,1.738419e-01 -8.846172e-02 2.743348e+00,1.809996e-01 -9.317339e-02 2.749813e+00,1.831333e-01 -9.504977e-02 2.752679e+00,1.858845e-01 -9.604850e-02 2.756859e+00,1.893606e-01 -9.866194e-02 2.763846e+00,1.905653e-01 -9.894858e-02 2.766814e+00,1.920828e-01 -9.935775e-02 2.772284e+00,1.936252e-01 -1.004376e-01 2.776857e+00,1.939130e-01 -1.005277e-01 2.777751e+00,1.942561e-01 -1.005480e-01 2.778943e+00
2.250898e-01 -3.433632e-01 2.812884e+00,2.247944e-01 -3.432238e-01 2.813063e+00,2.242741e-01 -3.421572e-01 2.814586e+00,2.227328e-01 -3.412329e-01 2.824832e+00,2.220858e-01 -3.391292e-01 2.832676e+00,2.216356e-01 -2.989713e-01 2.861925e+00,2.205793e-01 -2.905504e-01 2.854535e+00,2.186370e-01 -2.759348e-01 2.871537e+00,2.253672e-01 -2.939569e-01 2.755313e+00,2.371324e-01 -2.889782e-01 2.768163e+00,2.382840e-01 -2.812479e-01 2.771640e+00,2.366771e-01 -2.773416e-01 2.711832e+00,2.479521e-01 -2.741432e-01 2.657618e+00,2.171354e-01 -2.081120e-01 2.562519e+00,1.727241e-01 -7.956050e-02 2.521689e+00,1.439627e-01 -2.309692e-02 2.504526e+00,1.246042e-01 4.987767e-03 2.501487e+00,1.191762e-01 1.677250e-02 2.530525e+00,1.175157e-01 1.755253e-02 2.529703e+00,1.083208e-01 1.920665e-02 2.519754e+00,9.101516e-02 2.257830e-02 2.501677e+00,9.561222e-02 1.477703e-02 2.510824e+00,9.757893e-02 6.952934e-03 2.514919e+00,9.282883e-02 9.839672e-03 2.500661e+00,9.281540e-02 9.571516e-03 2.498806e+00,1.249610e-01 -1.705174e-02 2.529823e+00,1.251761e-01 -2.075060e-02 2.520317e+00,1.343147e-01 -4.429770e-02 2.463932e+00,1.522498e-01 -7.228581e-02 2.465305e+00,1.834232e-01 -1.165269e-01 2.475347e+00,2.328346e-01 -1.776570e-01 2.543613e+00,2.431608e-01 -1.940192e-01 2.577021e+00,2.667801e-01 -2.499231e-01 2.626444e+00,2.707677e-01 -2.744570e-01 2.639823e+00,2.581027e-01 -2.682389e-01 2.705628e+00,2.521698e-01 -2.983762e-01 2.724794e+00,2.472563e-01 -3.075347e-01 2.738808e+00,2.393056e-01 -3.272674e-01 2.762158e+00,2.353738e-01 -3.325488e-01 2.771515e+00,2.327994e-01 -3.366920e-01 2.779207e+00,2.281600e-01 -3.396052e-01 2.787657e+00,2.278670e-01 -3.397875e-01 2.788402e+00,2.287325e-01 -3.378141e-01 2.793392e+00,2.289320e-01 -3.376381e-01 2.796589e+00,2.287901e-01 -3.380593e-01 2.797561e+00,2.287943e-01 -3.380302e-01 2.798208e+00
2.346012e-01 -5.334391e-01 2.739948e+00,2.343722e-01 -5.332416e-01 2.739957e+00,2.342207e-01 -5.315745e-01 2.739709e+00,2.369922e-01 -5.236860e-01 2.732778e+00,2.415209e-01 -5.090459e-01 2.717697e+00,2.400353e-01 -4.032592e-01 2.670669e+00,2.395971e-01 -3.423236e-01 2.651203e+00,2.350221e-01 -2.734951e-01 2.661007e+00,2.261210e-01 -1.351704e-01 2.619594e+00,2.223585e-01 -2.137935e-01 2.696869e+00,1.828149e-01 -1.220138e-01 2.647326e+00,1.792314e-01 -9.436662e-02 2.635253e+00,1.974292e-01 -1.441807e-01 2.635936e+00,1.216607e-01 2.398410e-02 2.545618e+00,6.655357e-02 9.267444e-02 2.508482e+00,4.522438e-02 9.849527e-02 2.366604e+00,4.057648e-02 8.604833e-02 2.326815e+00,4.975307e-02 7.842495e-02 2.341499e+00,4.194759e-02 7.825594e-02 2.333102e+00,3.191001e-02 8.193567e-02 2.329977e+00,1.478803e-02 8.285698e-02 2.314957e+00,1.201933e-02 7.660945e-02 2.320752e+00,1.391547e-02 6.447412e-02 2.323568e+00,1.072424e-02 6.634028e-02 2.315289e+00,1.449286e-02 6.213803e-02 2.310544e+00,2.643214e-02 5.731297e-02 2.320352e+00,4.174232e-02 3.784337e-02 2.335054e+00,3.142460e-02 2.732213e-02 2.295490e+00,9.384030e-02 -3.812156e-02 2.367744e+00,6.560869e-02 -4.490189e-02 2.317283e+00,1.310158e-01 -1.716474e-01 2.359325e+00,1.923148e-01 -2.201480e-01 2.447281e+00,2.247643e-01 -3.556271e-01 2.450317e+00,2.443822e-01 -4.164260e-01 2.489725e+00,2.654838e-01 -4.193188e-01 2.563220e+00,2.694165e-01 -4.777212e-01 2.626289e+00,2.686815e-01 -4.903806e-01 2.649030e+00,2.599982e-01 -5.157822e-01 2.687155e+00,2.534653e-01 -5.228924e-01 2.701379e+00,2.470000e-01 -5.277876e-01 2.710460e+00,2.395489e-01 -5.322649e-01 2.723719e+00,2.396056e-01 -5.323254e-01 2.724102e+00,2.361574e-01 -5.291211e-01 2.723994e+00,2.344630e-01 -5.280372e-01 2.724048e+00,2.341026e-01 -5.283612e-01 2.724701e+00,2.337445e-01 -5.281504e-01 2.724748e+00
