4.530609e-02 -5.655602e-01 2.774567e+00,4.548581e-02 -5.656216e-01 2.774663e+00,4.535862e-02 -5.657187e-01 2.774354e+00,4.519941e-02 -5.657708e-01 2.774253e+00,4.474292e-02 -5.657896e-01 2.773883e+00,4.427505e-02 -5.657046e-01 2.773339e+00,4.364141e-02 -5.657108e-01 2.773045e+00,4.181017e-02 -5.654315e-01 2.772261e+00,4.113121e-02 -5.653757e-01 2.771897e+00,3.805552e-02 -5.655019e-01 2.771349e+00,3.714147e-02 -5.655096e-01 2.770937e+00,3.553523e-02 -5.662869e-01 2.771250e+00,3.544412e-02 -5.703592e-01 2.772018e+00,3.531263e-02 -5.715995e-01 2.772245e+00,3.523108e-02 -5.716928e-01 2.772351e+00,3.548442e-02 -5.719058e-01 2.772625e+00,3.583017e-02 -5.721192e-01 2.772849e+00,3.573534e-02 -5.721738e-01 2.773063e+00,3.562409e-02 -5.722606e-01 2.773025e+00,3.458491e-02 -5.723292e-01 2.772620e+00,3.443162e-02 -5.725332e-01 2.772665e+00,3.450821e-02 -5.731931e-01 2.772721e+00,3.455902e-02 -5.734333e-01 2.772768e+00,3.472859e-02 -5.734810e-01 2.772884e+00,3.483394e-02 -5.736086e-01 2.773024e+00,3.509903e-02 -5.746226e-01 2.773613e+00,3.600374e-02 -5.747332e-01 2.773693e+00,3.633835e-02 -5.748417e-01 2.773813e+00,3.690633e-02 -5.748990e-01 2.773832e+00,3.739540e-02 -5.723717e-01 2.774338e+00,3.711649e-02 -5.687970e-01 2.774409e+00,3.695221e-02 -5.674279e-01 2.774453e+00,3.699178e-02 -5.673224e-01 2.774465e+00,3.723122e-02 -5.663468e-01 2.774618e+00,3.736205e-02 -5.663360e-01 2.774727e+00,3.820246e-02 -5.664223e-01 2.774784e+00,3.852899e-02 -5.664977e-01 2.774896e+00,3.938460e-02 -5.661380e-01 2.775021e+00,4.655141e-02 -5.647708e-01 2.777238e+00,4.871729e-02 -5.647587e-01 2.777706e+00,5.154815e-02 -5.645366e-01 2.778489e+00,5.233290e-02 -5.651275e-01 2.778876e+00,5.286064e-02 -5.648763e-01 2.778990e+00,5.393565e-02 -5.648789e-01 2.779301e+00,5.407580e-02 -5.648884e-01 2.779372e+00,5.488051e-02 -5.642937e-01 2.779279e+00,5.497260e-02 -5.642689e-01 2.779292e+00
4.518366e-02 -2.748802e-01 2.798935e+00,4.522936e-02 -2.748946e-01 2.799100e+00,4.526195e-02 -2.749152e-01 2.798940e+00,4.524840e-02 -2.748798e-01 2.798916e+00,4.508545e-02 -2.746492e-01 2.798452e+00,4.504127e-02 -2.744256e-01 2.797921e+00,4.499516e-02 -2.743759e-01 2.797763e+00,4.484934e-02 -2.739722e-01 2.797104e+00,4.467766e-02 -2.737643e-01 2.796772e+00,4.396845e-02 -2.736014e-01 2.796569e+00,4.391509e-02 -2.735673e-01 2.796502e+00,4.236620e-02 -2.743319e-01 2.795132e+00,4.177855e-02 -2.768941e-01 2.795757e+00,4.076759e-02 -2.776949e-01 2.795734e+00,4.019954e-02 -2.785329e-01 2.794133e+00,3.984383e-02 -2.786283e-01 2.793738e+00,3.896050e-02 -2.788720e-01 2.792624e+00,3.864466e-02 -2.788031e-01 2.792224e+00,3.788969e-02 -2.782002e-01 2.790845e+00,3.689218e-02 -2.780883e-01 2.790232e+00,3.672086e-02 -2.781633e-01 2.789764e+00,3.666203e-02 -2.784103e-01 2.789515e+00,3.594201e-02 -2.801922e-01 2.789384e+00,3.553874e-02 -2.814824e-01 2.789376e+00,3.545495e-02 -2.816539e-01 2.789456e+00,3.608562e-02 -2.836215e-01 2.789135e+00,3.640579e-02 -2.833062e-01 2.789054e+00,3.711629e-02 -2.809501e-01 2.791159e+00,4.044115e-02 -2.792812e-01 2.795974e+00,4.172728e-02 -2.773116e-01 2.798164e+00,4.232942e-02 -2.753361e-01 2.799244e+00,4.269441e-02 -2.744971e-01 2.799632e+00,4.297420e-02 -2.742194e-01 2.799762e+00,4.383020e-02 -2.734938e-01 2.799849e+00,4.430605e-02 -2.734028e-01 2.799962e+00,4.563085e-02 -2.732798e-01 2.799795e+00,4.652487e-02 -2.733763e-01 2.799672e+00,4.741492e-02 -2.731344e-01 2.799407e+00,5.128170e-02 -2.722278e-01 2.799517e+00,5.277145e-02 -2.723602e-01 2.799525e+00,5.435189e-02 -2.723701e-01 2.799851e+00,5.481221e-02 -2.725040e-01 2.800004e+00,5.523577e-02 -2.724478e-01 2.800073e+00,5.596287e-02 -2.724146e-01 2.800146e+00,5.598801e-02 -2.724174e-01 2.800171e+00,5.631138e-02 -2.722272e-01 2.800256e+00,5.638513e-02 -2.722054e-01 2.800312e+00
4.476618e-02 1.033569e-02 2.811196e+00,4.468950e-02 1.037878e-02 2.811422e+00,4.490595e-02 1.041530e-02 2.811174e+00,4.503204e-02 1.066631e-02 2.811127e+00,4.513321e-02 1.126599e-02 2.810256e+00,4.557790e-02 1.174229e-02 2.809459e+00,4.594917e-02 1.189259e-02 2.809181e+00,4.732056e-02 1.275788e-02 2.808014e+00,4.753079e-02 1.310946e-02 2.807672e+00,4.764453e-02 1.329218e-02 2.807655e+00,4.834309e-02 1.344608e-02 2.807765e+00,4.708373e-02 1.241086e-02 2.803789e+00,4.669264e-02 1.068353e-02 2.804919e+00,4.441346e-02 1.032749e-02 2.804869e+00,4.269506e-02 7.524753e-03 2.798396e+00,4.126949e-02 7.970678e-03 2.797197e+00,3.872086e-02 8.129355e-03 2.795072e+00,3.845989e-02 8.604812e-03 2.794047e+00,3.764097e-02 1.068554e-02 2.791909e+00,3.730915e-02 1.084359e-02 2.791766e+00,3.744886e-02 1.111677e-02 2.791017e+00,3.739568e-02 1.109293e-02 2.790742e+00,3.519089e-02 6.327402e-03 2.790908e+00,3.413443e-02 3.224441e-03 2.791246e+00,3.399848e-02 3.139091e-03 2.791371e+00,3.592195e-02 1.109947e-03 2.789932e+00,3.609126e-02 2.548798e-03 2.789826e+00,3.725934e-02 1.296666e-02 2.798554e+00,4.438026e-02 1.456415e-02 2.810072e+00,4.621318e-02 1.477163e-02 2.812634e+00,4.729574e-02 1.505491e-02 2.813466e+00,4.812882e-02 1.524412e-02 2.813864e+00,4.871424e-02 1.543462e-02 2.813928e+00,5.035010e-02 1.559776e-02 2.813591e+00,5.134490e-02 1.560732e-02 2.813437e+00,5.323185e-02 1.563829e-02 2.812601e+00,5.496601e-02 1.531614e-02 2.811818e+00,5.585837e-02 1.531134e-02 2.811019e+00,5.734512e-02 1.564818e-02 2.809902e+00,5.804682e-02 1.535552e-02 2.809473e+00,5.838011e-02 1.518524e-02 2.809367e+00,5.849342e-02 1.521942e-02 2.809328e+00,5.867275e-02 1.512340e-02 2.809280e+00,5.892513e-02 1.510004e-02 2.809056e+00,5.885542e-02 1.508516e-02 2.809038e+00,5.884932e-02 1.509281e-02 2.809080e+00,5.884611e-02 1.508907e-02 2.809123e+00
5.007689e-02 1.532463e-01 2.814812e+00,5.003470e-02 1.532499e-01 2.814827e+00,4.986844e-02 1.532951e-01 2.814805e+00,4.999328e-02 1.529412e-01 2.814681e+00,5.030112e-02 1.529240e-01 2.814500e+00,5.109722e-02 1.531027e-01 2.813759e+00,5.169753e-02 1.532797e-01 2.813488e+00,5.245013e-02 1.536957e-01 2.812188e+00,5.249570e-02 1.538582e-01 2.811994e+00,5.241963e-02 1.539557e-01 2.812141e+00,5.223953e-02 1.540803e-01 2.812093e+00,5.133118e-02 1.542649e-01 2.812713e+00,4.843413e-02 1.592229e-01 2.816355e+00,5.178144e-02 1.659871e-01 2.814808e+00,5.724697e-02 1.759490e-01 2.816287e+00,5.686059e-02 1.766814e-01 2.816900e+00,5.713867e-02 1.768249e-01 2.816100e+00,5.694368e-02 1.774852e-01 2.816057e+00,5.660819e-02 1.798277e-01 2.815460e+00,5.644878e-02 1.800539e-01 2.815816e+00,5.583848e-02 1.806542e-01 2.816543e+00,5.454012e-02 1.809345e-01 2.817430e+00,5.311383e-02 1.761781e-01 2.818828e+00,5.158750e-02 1.733240e-01 2.821098e+00,5.195618e-02 1.731585e-01 2.821013e+00,5.252442e-02 1.715303e-01 2.822004e+00,5.345610e-02 1.730255e-01 2.822807e+00,5.390947e-02 1.682871e-01 2.823834e+00,5.467717e-02 1.632800e-01 2.825310e+00,5.447334e-02 1.622352e-01 2.826049e+00,5.352155e-02 1.610863e-01 2.826777e+00,5.324494e-02 1.606288e-01 2.826904e+00,5.306017e-02 1.604653e-01 2.826845e+00,5.344781e-02 1.597137e-01 2.826293e+00,5.359445e-02 1.595996e-01 2.826143e+00,5.501604e-02 1.585361e-01 2.825485e+00,5.685586e-02 1.574637e-01 2.823821e+00,5.820498e-02 1.574227e-01 2.823015e+00,6.114664e-02 1.566563e-01 2.820868e+00,6.275434e-02 1.563606e-01 2.819780e+00,6.485842e-02 1.559198e-01 2.818628e+00,6.524262e-02 1.559477e-01 2.818410e+00,6.573244e-02 1.558116e-01 2.818190e+00,6.633691e-02 1.556022e-01 2.817514e+00,6.645761e-02 1.554925e-01 2.817138e+00,6.666109e-02 1.553786e-01 2.816565e+00,6.661254e-02 1.552966e-01 2.816343e+00
-1.080732e-01 -9.962498e-02 2.792150e+00,-1.080497e-01 -9.965670e-02 2.792123e+00,-1.079677e-01 -9.967930e-02 2.791968e+00,-1.078332e-01 -9.969059e-02 2.791792e+00,-1.072393e-01 -9.940846e-02 2.790732e+00,-1.065715e-01 -9.901325e-02 2.788889e+00,-1.059645e-01 -9.862857e-02 2.788098e+00,-1.048765e-01 -9.802078e-02 2.786308e+00,-1.047961e-01 -9.798696e-02 2.786269e+00,-1.046062e-01 -9.798202e-02 2.786251e+00,-1.046164e-01 -9.805977e-02 2.786453e+00,-1.043536e-01 -9.824494e-02 2.788007e+00,-1.020277e-01 -9.988037e-02 2.790984e+00,-1.014921e-01 -1.008196e-01 2.792565e+00,-1.049239e-01 -9.854105e-02 2.797797e+00,-1.052703e-01 -9.852353e-02 2.798621e+00,-1.064079e-01 -9.765925e-02 2.804040e+00,-1.072875e-01 -9.704258e-02 2.808411e+00,-1.077463e-01 -9.632752e-02 2.810429e+00,-1.077446e-01 -9.628135e-02 2.810798e+00,-1.074872e-01 -9.642594e-02 2.810427e+00,-1.072293e-01 -9.662100e-02 2.810297e+00,-1.072839e-01 -9.657533e-02 2.810316e+00,-1.078847e-01 -9.576454e-02 2.810043e+00,-1.075266e-01 -9.584808e-02 2.809940e+00,-1.073096e-01 -9.534916e-02 2.808589e+00,-1.075035e-01 -9.551243e-02 2.807692e+00,-1.074409e-01 -9.579124e-02 2.807968e+00,-1.060811e-01 -9.684039e-02 2.808374e+00,-1.061794e-01 -9.668572e-02 2.809760e+00,-1.072069e-01 -9.655660e-02 2.812082e+00,-1.071731e-01 -9.655095e-02 2.812101e+00,-1.070438e-01 -9.645438e-02 2.812024e+00,-1.053851e-01 -9.684973e-02 2.809368e+00,-1.044386e-01 -9.693483e-02 2.808293e+00,-1.024483e-01 -9.754616e-02 2.805057e+00,-1.016089e-01 -9.765942e-02 2.803609e+00,-1.003111e-01 -9.726553e-02 2.801157e+00,-9.899564e-02 -9.725303e-02 2.797741e+00,-9.776656e-02 -9.722451e-02 2.796013e+00,-9.665351e-02 -9.761740e-02 2.793684e+00,-9.619783e-02 -9.774044e-02 2.792788e+00,-9.608002e-02 -9.782263e-02 2.792517e+00,-9.600224e-02 -9.770071e-02 2.792418e+00,-9.603561e-02 -9.769455e-02 2.792442e+00,-9.606054e-02 -9.769198e-02 2.792380e+00,-9.608670e-02 -9.771018e-02 2.792347e+00
-1.420286e-01 -3.264611e-01 2.783143e+00,-1.421377e-01 -3.266221e-01 2.783059e+00,-1.419507e-01 -3.263563e-01 2.782925e+00,-1.419124e-01 -3.264291e-01 2.782726e+00,-1.417269e-01 -3.264855e-01 2.782495e+00,-1.421647e-01 -3.270217e-01 2.781875e+00,-1.424187e-01 -3.269702e-01 2.781498e+00,-1.431355e-01 -3.270748e-01 2.780999e+00,-1.432781e-01 -3.270276e-01 2.781046e+00,-1.436267e-01 -3.272793e-01 2.781960e+00,-1.432975e-01 -3.260303e-01 2.783499e+00,-1.426970e-01 -3.230258e-01 2.787224e+00,-1.430500e-01 -3.207223e-01 2.790625e+00,-1.433681e-01 -3.191237e-01 2.793322e+00,-1.428571e-01 -3.199162e-01 2.797009e+00,-1.420264e-01 -3.215904e-01 2.800393e+00,-1.412189e-01 -3.234136e-01 2.806099e+00,-1.409634e-01 -3.236811e-01 2.809428e+00,-1.400265e-01 -3.228548e-01 2.812116e+00,-1.397555e-01 -3.230747e-01 2.812392e+00,-1.393872e-01 -3.237671e-01 2.813720e+00,-1.391588e-01 -3.236541e-01 2.814008e+00,-1.389815e-01 -3.240539e-01 2.813923e+00,-1.389960e-01 -3.254214e-01 2.812744e+00,-1.391742e-01 -3.258616e-01 2.812351e+00,-1.394053e-01 -3.272680e-01 2.809807e+00,-1.388429e-01 -3.291793e-01 2.807809e+00,-1.384958e-01 -3.296604e-01 2.806841e+00,-1.382248e-01 -3.303683e-01 2.806171e+00,-1.381798e-01 -3.304169e-01 2.806364e+00,-1.382535e-01 -3.307087e-01 2.807009e+00,-1.382540e-01 -3.304798e-01 2.807781e+00,-1.383476e-01 -3.300647e-01 2.808448e+00,-1.382145e-01 -3.296941e-01 2.808832e+00,-1.380804e-01 -3.295708e-01 2.808993e+00,-1.377627e-01 -3.298296e-01 2.808060e+00,-1.374597e-01 -3.298438e-01 2.806539e+00,-1.369795e-01 -3.300917e-01 2.804816e+00,-1.360416e-01 -3.305332e-01 2.799919e+00,-1.359157e-01 -3.305097e-01 2.797808e+00,-1.355081e-01 -3.308777e-01 2.794862e+00,-1.352173e-01 -3.311158e-01 2.793161e+00,-1.350607e-01 -3.308583e-01 2.792024e+00,-1.347196e-01 -3.306443e-01 2.791253e+00,-1.345616e-01 -3.303561e-01 2.791119e+00,-1.344837e-01 -3.304332e-01 2.790815e+00,-1.346654e-01 -3.301539e-01 2.790524e+00
-1.425928e-01 -5.138387e-01 2.701461e+00,-1.426464e-01 -5.140086e-01 2.701401e+00,-1.426288e-01 -5.135836e-01 2.700844e+00,-1.426225e-01 -5.137039e-01 2.700772e+00,-1.423509e-01 -5.139971e-01 2.701171e+00,-1.425575e-01 -5.148562e-01 2.701423e+00,-1.432790e-01 -5.149853e-01 2.701547e+00,-1.443523e-01 -5.155830e-01 2.702423e+00,-1.449125e-01 -5.157220e-01 2.703006e+00,-1.453490e-01 -5.158387e-01 2.703545e+00,-1.454574e-01 -5.142699e-01 2.704195e+00,-1.451602e-01 -5.106533e-01 2.706230e+00,-1.445637e-01 -5.079394e-01 2.708479e+00,-1.441397e-01 -5.058017e-01 2.709736e+00,-1.425103e-01 -5.063739e-01 2.712856e+00,-1.421055e-01 -5.071303e-01 2.713956e+00,-1.413509e-01 -5.090391e-01 2.719894e+00,-1.412507e-01 -5.093033e-01 2.723220e+00,-1.422720e-01 -5.100755e-01 2.730035e+00,-1.430006e-01 -5.107744e-01 2.731640e+00,-1.449353e-01 -5.121009e-01 2.734881e+00,-1.455496e-01 -5.124550e-01 2.736566e+00,-1.443785e-01 -5.128920e-01 2.736496e+00,-1.441623e-01 -5.144375e-01 2.735823e+00,-1.442419e-01 -5.148131e-01 2.735241e+00,-1.429205e-01 -5.154688e-01 2.730484e+00,-1.422023e-01 -5.171204e-01 2.727784e+00,-1.411237e-01 -5.172379e-01 2.725798e+00,-1.406649e-01 -5.176458e-01 2.724326e+00,-1.405761e-01 -5.174963e-01 2.723993e+00,-1.405029e-01 -5.176232e-01 2.724204e+00,-1.412349e-01 -5.175205e-01 2.725336e+00,-1.424157e-01 -5.173838e-01 2.726797e+00,-1.443967e-01 -5.180669e-01 2.730226e+00,-1.444989e-01 -5.180302e-01 2.730652e+00,-1.446459e-01 -5.186146e-01 2.730694e+00,-1.442950e-01 -5.189214e-01 2.730010e+00,-1.431794e-01 -5.192257e-01 2.728384e+00,-1.425380e-01 -5.206349e-01 2.726406e+00,-1.418646e-01 -5.208714e-01 2.725035e+00,-1.408700e-01 -5.212694e-01 2.722127e+00,-1.402862e-01 -5.214522e-01 2.720229e+00,-1.400434e-01 -5.213913e-01 2.719692e+00,-1.395907e-01 -5.207175e-01 2.717489e+00,-1.393761e-01 -5.204169e-01 2.717309e+00,-1.389763e-01 -5.203703e-01 2.716604e+00,-1.389189e-01 -5.202239e-01 2.716694e+00
-1.274367e-01 -5.463637e-01 2.693800e+00,-1.288252e-01 -5.442329e-01 2.694878e+00,-1.236669e-01 -5.305900e-01 2.694959e+00,-1.232116e-01 -5.304875e-01 2.696406e+00,-1.286051e-01 -5.429267e-01 2.695262e+00,-1.294905e-01 -5.434647e-01 2.694572e+00,-1.308807e-01 -5.439931e-01 2.698362e+00,-1.305155e-01 -5.453844e-01 2.696948e+00,-1.301434e-01 -5.463870e-01 2.698655e+00,-1.300561e-01 -5.456434e-01 2.698582e+00,-1.300063e-01 -5.446817e-01 2.697341e+00,-1.298009e-01 -5.408704e-01 2.700079e+00,-1.286369e-01 -5.415533e-01 2.702037e+00,-1.278588e-01 -5.417240e-01 2.703249e+00,-1.278137e-01 -5.394542e-01 2.705728e+00,-1.276688e-01 -5.404789e-01 2.708813e+00,-1.269004e-01 -5.408878e-01 2.714203e+00,-1.286132e-01 -5.417582e-01 2.718000e+00,-1.310212e-01 -5.463028e-01 2.723813e+00,-1.306671e-01 -5.440439e-01 2.723212e+00,-1.336921e-01 -5.469823e-01 2.727047e+00,-1.305820e-01 -5.461646e-01 2.723552e+00,-1.296738e-01 -5.442413e-01 2.721203e+00,-1.289410e-01 -5.464790e-01 2.720383e+00,-1.289879e-01 -5.487289e-01 2.718253e+00,-1.236967e-01 -5.612093e-01 2.708061e+00,-1.224230e-01 -5.608464e-01 2.708872e+00,-1.212865e-01 -5.609392e-01 2.704099e+00,-1.263983e-01 -5.459361e-01 2.706712e+00,-1.258806e-01 -5.531301e-01 2.709878e+00,-1.310219e-01 -5.487341e-01 2.717280e+00,-1.306405e-01 -5.495622e-01 2.715625e+00,-1.313671e-01 -5.516731e-01 2.718096e+00,-1.350698e-01 -5.498641e-01 2.726506e+00,-1.350819e-01 -5.510455e-01 2.724447e+00,-1.326036e-01 -5.493079e-01 2.720226e+00,-1.309505e-01 -5.477901e-01 2.716174e+00,-1.288047e-01 -5.478531e-01 2.714081e+00,-1.276835e-01 -5.486204e-01 2.713487e+00,-1.257859e-01 -5.525413e-01 2.711494e+00,-1.246841e-01 -5.524069e-01 2.708388e+00,-1.255975e-01 -5.509175e-01 2.707008e+00,-1.246620e-01 -5.515797e-01 2.708516e+00,-1.243190e-01 -5.532428e-01 2.708261e+00,-1.236450e-01 -5.525613e-01 2.708959e+00,-1.238933e-01 -5.505408e-01 2.707456e+00,-1.236453e-01 -5.504336e-01 2.705958e+00
1.943196e-01 -1.025870e-01 2.786749e+00,1.943335e-01 -1.025679e-01 2.786874e+00,1.940372e-01 -1.024929e-01 2.786929e+00,1.935365e-01 -1.028118e-01 2.786753e+00,1.934559e-01 -1.023212e-01 2.788317e+00,1.935029e-01 -1.018703e-01 2.788901e+00,1.936212e-01 -1.010661e-01 2.789499e+00,1.938915e-01 -9.950477e-02 2.789299e+00,1.896766e-01 -9.581827e-02 2.778010e+00,1.807916e-01 -9.815786e-02 2.765553e+00,1.751732e-01 -9.875719e-02 2.756768e+00,1.742305e-01 -9.918758e-02 2.752844e+00,1.710013e-01 -1.159190e-01 2.748482e+00,1.632134e-01 -1.198027e-01 2.743854e+00,1.584130e-01 -1.173038e-01 2.741240e+00,1.567226e-01 -1.161672e-01 2.739882e+00,1.372365e-01 -1.004474e-01 2.727444e+00,1.373343e-01 -1.006367e-01 2.727448e+00,1.373652e-01 -1.015664e-01 2.727183e+00,1.374844e-01 -1.022594e-01 2.727107e+00,1.380635e-01 -1.042180e-01 2.727615e+00,1.383059e-01 -1.055061e-01 2.727916e+00,1.386363e-01 -1.061785e-01 2.728106e+00,1.393205e-01 -1.074980e-01 2.728803e+00,1.401841e-01 -1.083870e-01 2.729578e+00,1.429741e-01 -1.106856e-01 2.731508e+00,1.430893e-01 -1.108549e-01 2.732003e+00,1.438038e-01 -1.125908e-01 2.732657e+00,1.479161e-01 -1.072360e-01 2.735311e+00,1.514370e-01 -1.003917e-01 2.737645e+00,1.699925e-01 -9.101598e-02 2.746893e+00,1.752620e-01 -9.077159e-02 2.749328e+00,1.787350e-01 -9.063160e-02 2.751854e+00,1.865085e-01 -9.121621e-02 2.756609e+00,1.897347e-01 -9.178185e-02 2.758598e+00,1.945425e-01 -9.413515e-02 2.761720e+00,1.967108e-01 -9.544969e-02 2.763163e+00,2.000019e-01 -9.752541e-02 2.766481e+00,2.015730e-01 -9.889037e-02 2.769502e+00,2.026427e-01 -9.948114e-02 2.771101e+00,2.049791e-01 -1.006825e-01 2.774691e+00,2.056928e-01 -1.008593e-01 2.775773e+00,2.062998e-01 -1.011266e-01 2.776584e+00,2.067491e-01 -1.015803e-01 2.777575e+00,2.067713e-01 -1.015716e-01 2.777869e+00,2.066222e-01 -1.016307e-01 2.778203e+00,2.065505e-01 -1.016134e-01 2.778256e+00
2.293606e-01 -3.380793e-01 2.804036e+00,2.293736e-01 -3.380294e-01 2.804236e+00,2.293208e-01 -3.380459e-01 2.805235e+00,2.295872e-01 -3.382439e-01 2.808969e+00,2.302275e-01 -3.353787e-01 2.819010e+00,2.317541e-01 -2.918611e-01 2.844290e+00,2.313972e-01 -2.889470e-01 2.839850e+00,2.519584e-01 -2.787257e-01 2.701532e+00,2.550258e-01 -2.844211e-01 2.734413e+00,2.541339e-01 -2.638084e-01 2.661192e+00,2.308818e-01 -2.106408e-01 2.583143e+00,2.074561e-01 -1.636750e-01 2.549555e+00,1.421959e-01 -1.650598e-02 2.496905e+00,1.523988e-01 -2.162871e-02 2.526388e+00,1.285552e-01 1.837190e-02 2.539329e+00,1.250216e-01 2.079839e-02 2.535985e+00,1.188426e-01 2.306058e-02 2.528999e+00,1.187524e-01 2.403294e-02 2.528119e+00,1.125957e-01 2.336041e-02 2.518854e+00,1.111975e-01 2.198402e-02 2.512757e+00,1.115403e-01 1.971453e-02 2.506032e+00,1.271752e-01 7.035707e-03 2.523568e+00,1.274233e-01 6.312047e-03 2.523145e+00,1.417367e-01 -1.238258e-02 2.535146e+00,1.437356e-01 -1.471842e-02 2.535196e+00,1.734329e-01 -4.552247e-02 2.527641e+00,1.699391e-01 -5.514048e-02 2.471482e+00,1.967222e-01 -8.290476e-02 2.476579e+00,2.345182e-01 -1.540766e-01 2.485027e+00,2.621223e-01 -1.943779e-01 2.582252e+00,2.923859e-01 -2.353140e-01 2.661625e+00,2.908766e-01 -2.476375e-01 2.682175e+00,2.910736e-01 -2.522299e-01 2.692889e+00,2.771725e-01 -2.796789e-01 2.727087e+00,2.729986e-01 -2.944716e-01 2.740826e+00,2.605912e-01 -3.204842e-01 2.760581e+00,2.525468e-01 -3.311946e-01 2.775058e+00,2.458227e-01 -3.407793e-01 2.785280e+00,2.395578e-01 -3.444596e-01 2.794399e+00,2.382462e-01 -3.447610e-01 2.797008e+00,2.379688e-01 -3.441010e-01 2.799382e+00,2.379284e-01 -3.437632e-01 2.800627e+00,2.379715e-01 -3.431559e-01 2.801619e+00,2.377594e-01 -3.431472e-01 2.802145e+00,2.376755e-01 -3.431367e-01 2.802346e+00,2.373515e-01 -3.430026e-01 2.802627e+00,2.372460e-01 -3.428512e-01 2.802665e+00
2.314031e-01 -5.260220e-01 2.724089e+00,2.320311e-01 -5.259283e-01 2.724198e+00,2.325355e-01 -5.246280e-01 2.721730e+00,2.344433e-01 -5.208067e-01 2.715944e+00,2.398924e-01 -4.741674e-01 2.664133e+00,2.450998e-01 -3.853508e-01 2.656855e+00,2.527705e-01 -3.101457e-01 2.631009e+00,2.164970e-01 -1.198307e-01 2.570784e+00,2.260574e-01 -1.190685e-01 2.610767e+00,2.137918e-01 -6.937952e-02 2.609140e+00,1.777128e-01 -1.823180e-02 2.606840e+00,1.225997e-01 6.259298e-02 2.561602e+00,4.637216e-02 1.433301e-01 2.408104e+00,5.859256e-02 9.703698e-02 2.382238e+00,8.271423e-02 6.147119e-02 2.272548e+00,5.092254e-02 7.443154e-02 2.317297e+00,4.165676e-02 8.587820e-02 2.340139e+00,3.519835e-02 8.454682e-02 2.336254e+00,3.308805e-02 7.909157e-02 2.332060e+00,1.891997e-02 8.198474e-02 2.299814e+00,3.329235e-02 6.275283e-02 2.315218e+00,4.949540e-02 5.340257e-02 2.333303e+00,5.396605e-02 5.071101e-02 2.330664e+00,6.024449e-02 4.281429e-02 2.338260e+00,8.671807e-02 2.001521e-02 2.335014e+00,9.549809e-02 2.002251e-02 2.343360e+00,1.149031e-01 -4.633840e-03 2.359051e+00,1.475772e-01 -3.795301e-02 2.376530e+00,2.081638e-01 -1.275009e-01 2.420934e+00,2.080252e-01 -1.457616e-01 2.384071e+00,2.657481e-01 -1.748250e-01 2.461095e+00,2.840998e-01 -3.163106e-01 2.483245e+00,2.964202e-01 -3.710988e-01 2.520788e+00,3.041065e-01 -4.488542e-01 2.612291e+00,3.014091e-01 -4.744034e-01 2.646656e+00,2.859108e-01 -5.141931e-01 2.706242e+00,2.770485e-01 -5.253516e-01 2.722479e+00,2.701415e-01 -5.346505e-01 2.731429e+00,2.505911e-01 -5.398136e-01 2.741624e+00,2.488883e-01 -5.398735e-01 2.743001e+00,2.488380e-01 -5.388060e-01 2.743591e+00,2.487722e-01 -5.381400e-01 2.743404e+00,2.487079e-01 -5.373234e-01 2.743477e+00,2.478759e-01 -5.372667e-01 2.743655e+00,2.478902e-01 -5.371919e-01 2.743613e+00,2.477616e-01 -5.369570e-01 2.743525e+00,2.472672e-01 -5.367442e-01 2.743220e+00
