4.844344e-02 -5.661765e-01 2.779202e+00,4.795594e-02 -5.663958e-01 2.778313e+00,4.767619e-02 -5.662805e-01 2.777453e+00,4.558446e-02 -5.655748e-01 2.775285e+00,4.448902e-02 -5.652060e-01 2.774165e+00,4.249724e-02 -5.647107e-01 2.773143e+00,4.002679e-02 -5.637915e-01 2.771226e+00,3.908025e-02 -5.635330e-01 2.770356e+00,3.812410e-02 -5.644030e-01 2.769594e+00,3.768848e-02 -5.645907e-01 2.769525e+00,3.729454e-02 -5.658781e-01 2.769317e+00,3.560804e-02 -5.691827e-01 2.769906e+00,3.553483e-02 -5.694583e-01 2.770027e+00,3.534862e-02 -5.693705e-01 2.769990e+00,3.516825e-02 -5.696075e-01 2.770101e+00,3.455284e-02 -5.701255e-01 2.770112e+00,3.393875e-02 -5.711969e-01 2.770239e+00,3.326621e-02 -5.721238e-01 2.770016e+00,3.221214e-02 -5.727106e-01 2.769884e+00,3.185338e-02 -5.730754e-01 2.769608e+00,3.172499e-02 -5.726171e-01 2.769099e+00,3.107241e-02 -5.736629e-01 2.768604e+00,3.042490e-02 -5.755391e-01 2.768733e+00,2.946047e-02 -5.772905e-01 2.767579e+00,2.678285e-02 -5.709118e-01 2.765940e+00,2.633883e-02 -5.694716e-01 2.765355e+00,2.455798e-02 -5.684087e-01 2.764983e+00,2.320750e-02 -5.665293e-01 2.764455e+00,2.291264e-02 -5.661457e-01 2.764431e+00,2.201653e-02 -5.658467e-01 2.764919e+00,2.213438e-02 -5.656483e-01 2.765221e+00,2.217985e-02 -5.654704e-01 2.765690e+00,2.259081e-02 -5.653948e-01 2.766034e+00,2.301666e-02 -5.653600e-01 2.766827e+00,2.793633e-02 -5.649093e-01 2.769482e+00,3.204346e-02 -5.650559e-01 2.771017e+00,3.423845e-02 -5.652589e-01 2.771626e+00,3.697215e-02 -5.652565e-01 2.772480e+00,3.806317e-02 -5.651689e-01 2.773020e+00,3.996315e-02 -5.650262e-01 2.773871e+00,4.047539e-02 -5.650691e-01 2.774063e+00,4.060870e-02 -5.651723e-01 2.774173e+00,4.112983e-02 -5.651506e-01 2.774414e+00
4.929074e-02 -2.744443e-01 2.802333e+00,4.877587e-02 -2.746671e-01 2.801053e+00,4.835978e-02 -2.743184e-01 2.799906e+00,4.732265e-02 -2.740080e-01 2.797883e+00,4.674219e-02 -2.737320e-01 2.796339e+00,4.583499e-02 -2.731842e-01 2.795141e+00,4.479117e-02 -2.723022e-01 2.792902e+00,4.408356e-02 -2.719922e-01 2.791966e+00,4.348063e-02 -2.722383e-01 2.791535e+00,4.294530e-02 -2.723112e-01 2.791306e+00,4.226587e-02 -2.730025e-01 2.790286e+00,3.755210e-02 -2.777072e-01 2.787941e+00,3.713510e-02 -2.783985e-01 2.787614e+00,3.614187e-02 -2.788268e-01 2.787076e+00,3.594046e-02 -2.790216e-01 2.786668e+00,3.539386e-02 -2.791073e-01 2.786469e+00,3.409756e-02 -2.802144e-01 2.785777e+00,3.370197e-02 -2.798794e-01 2.784893e+00,3.228812e-02 -2.817029e-01 2.784054e+00,3.138079e-02 -2.832707e-01 2.783343e+00,3.106950e-02 -2.837013e-01 2.782798e+00,3.047384e-02 -2.850007e-01 2.781024e+00,3.029046e-02 -2.842035e-01 2.780829e+00,2.866443e-02 -2.829633e-01 2.782051e+00,2.782663e-02 -2.784314e-01 2.784631e+00,2.778548e-02 -2.771814e-01 2.785048e+00,2.689992e-02 -2.762530e-01 2.785474e+00,2.597612e-02 -2.747391e-01 2.786105e+00,2.576758e-02 -2.744406e-01 2.786185e+00,2.542612e-02 -2.740204e-01 2.786515e+00,2.550090e-02 -2.737826e-01 2.786726e+00,2.551984e-02 -2.737033e-01 2.786842e+00,2.590129e-02 -2.735444e-01 2.786839e+00,2.622623e-02 -2.734563e-01 2.787261e+00,2.873058e-02 -2.728913e-01 2.788436e+00,3.082573e-02 -2.728595e-01 2.789248e+00,3.246500e-02 -2.731059e-01 2.789925e+00,3.477555e-02 -2.734468e-01 2.791315e+00,3.566689e-02 -2.734619e-01 2.792179e+00,3.798820e-02 -2.734881e-01 2.793783e+00,3.877030e-02 -2.735906e-01 2.794316e+00,3.913542e-02 -2.736833e-01 2.794801e+00,3.978209e-02 -2.736136e-01 2.795591e+00
4.988123e-02 1.171041e-02 2.812479e+00,4.932837e-02 1.157242e-02 2.810708e+00,4.875224e-02 1.225528e-02 2.809227e+00,4.852499e-02 1.231316e-02 2.807200e+00,4.853228e-02 1.250014e-02 2.805057e+00,4.841971e-02 1.317031e-02 2.803584e+00,4.872254e-02 1.411063e-02 2.800912e+00,4.834843e-02 1.440451e-02 2.800086e+00,4.806726e-02 1.448388e-02 2.799937e+00,4.748722e-02 1.456447e-02 2.799580e+00,4.624856e-02 1.449461e-02 2.797111e+00,3.763266e-02 8.219009e-03 2.790946e+00,3.697076e-02 7.040148e-03 2.790141e+00,3.527742e-02 5.882472e-03 2.789387e+00,3.523048e-02 5.838503e-03 2.788138e+00,3.482107e-02 6.151602e-03 2.787956e+00,3.238704e-02 4.173478e-03 2.786978e+00,3.258139e-02 7.882783e-03 2.784028e+00,3.127139e-02 3.760049e-03 2.782998e+00,2.996804e-02 5.519026e-04 2.782346e+00,2.929964e-02 -1.562950e-03 2.781750e+00,2.954819e-02 -2.394662e-03 2.777782e+00,2.981741e-02 7.693946e-03 2.777260e+00,2.513336e-02 1.325109e-02 2.786590e+00,2.710585e-02 1.400572e-02 2.792331e+00,2.765249e-02 1.434224e-02 2.793328e+00,2.756898e-02 1.452533e-02 2.793961e+00,2.735351e-02 1.477876e-02 2.795251e+00,2.733112e-02 1.477853e-02 2.795308e+00,2.751290e-02 1.489587e-02 2.795466e+00,2.759337e-02 1.495582e-02 2.795535e+00,2.763982e-02 1.492283e-02 2.795513e+00,2.842796e-02 1.490689e-02 2.795063e+00,2.872760e-02 1.486934e-02 2.795210e+00,2.967059e-02 1.503896e-02 2.795339e+00,3.032848e-02 1.499274e-02 2.795516e+00,3.126058e-02 1.460454e-02 2.796008e+00,3.295988e-02 1.368916e-02 2.797722e+00,3.357330e-02 1.346929e-02 2.798839e+00,3.614190e-02 1.306703e-02 2.801146e+00,3.716763e-02 1.283699e-02 2.802056e+00,3.782173e-02 1.279041e-02 2.803067e+00,3.849220e-02 1.285802e-02 2.804488e+00
4.854935e-02 1.518999e-01 2.817124e+00,4.776215e-02 1.523103e-01 2.816144e+00,4.769339e-02 1.521524e-01 2.814960e+00,4.758201e-02 1.522606e-01 2.812961e+00,4.803587e-02 1.524145e-01 2.811490e+00,4.860577e-02 1.526053e-01 2.809084e+00,4.886555e-02 1.530711e-01 2.807100e+00,4.869049e-02 1.533225e-01 2.806448e+00,4.761733e-02 1.539647e-01 2.805440e+00,4.692577e-02 1.542377e-01 2.805085e+00,4.491254e-02 1.556828e-01 2.804315e+00,4.242675e-02 1.692297e-01 2.804444e+00,4.290532e-02 1.724176e-01 2.804953e+00,4.192370e-02 1.741565e-01 2.804834e+00,4.191096e-02 1.744760e-01 2.804893e+00,4.362764e-02 1.745868e-01 2.804161e+00,4.333341e-02 1.726394e-01 2.804044e+00,4.331632e-02 1.768472e-01 2.803070e+00,4.275852e-02 1.729053e-01 2.803605e+00,4.214628e-02 1.697623e-01 2.803874e+00,4.170445e-02 1.676282e-01 2.803474e+00,4.125863e-02 1.673933e-01 2.802739e+00,4.047329e-02 1.688818e-01 2.802367e+00,3.952548e-02 1.624375e-01 2.803318e+00,3.469745e-02 1.606246e-01 2.803937e+00,3.284081e-02 1.594511e-01 2.803871e+00,3.162701e-02 1.591162e-01 2.804137e+00,2.963396e-02 1.583506e-01 2.804514e+00,2.887771e-02 1.581175e-01 2.804276e+00,2.858470e-02 1.578267e-01 2.804441e+00,2.852930e-02 1.576364e-01 2.804231e+00,2.870639e-02 1.574626e-01 2.803914e+00,2.991498e-02 1.573259e-01 2.803050e+00,3.101048e-02 1.564814e-01 2.802656e+00,3.361895e-02 1.566564e-01 2.801768e+00,3.476014e-02 1.567017e-01 2.801455e+00,3.583832e-02 1.566923e-01 2.801342e+00,3.840825e-02 1.561791e-01 2.801734e+00,3.940681e-02 1.557607e-01 2.802711e+00,4.076477e-02 1.552397e-01 2.804510e+00,4.110224e-02 1.551992e-01 2.804916e+00,4.120485e-02 1.551491e-01 2.805079e+00,4.229067e-02 1.546426e-01 2.805979e+00
-1.048070e-01 -1.017816e-01 2.795577e+00,-1.049328e-01 -1.017214e-01 2.793611e+00,-1.051601e-01 -1.013361e-01 2.792202e+00,-1.048042e-01 -9.980251e-02 2.788293e+00,-1.045095e-01 -9.941940e-02 2.785059e+00,-1.038935e-01 -9.855969e-02 2.782299e+00,-1.034381e-01 -9.773388e-02 2.779072e+00,-1.034885e-01 -9.766080e-02 2.778487e+00,-1.042732e-01 -9.785558e-02 2.777715e+00,-1.049485e-01 -9.793600e-02 2.777702e+00,-1.057901e-01 -9.796764e-02 2.777944e+00,-1.068627e-01 -9.649191e-02 2.779271e+00,-1.079558e-01 -9.490035e-02 2.781138e+00,-1.083648e-01 -9.453538e-02 2.781665e+00,-1.082769e-01 -9.472388e-02 2.781514e+00,-1.084294e-01 -9.471424e-02 2.781635e+00,-1.098320e-01 -9.421397e-02 2.782289e+00,-1.101333e-01 -9.409597e-02 2.782384e+00,-1.113924e-01 -9.396145e-02 2.784754e+00,-1.118648e-01 -9.393315e-02 2.784403e+00,-1.123038e-01 -9.367064e-02 2.784087e+00,-1.128009e-01 -9.347537e-02 2.784763e+00,-1.129694e-01 -9.396641e-02 2.784083e+00,-1.135882e-01 -9.397077e-02 2.784994e+00,-1.171030e-01 -9.530237e-02 2.785025e+00,-1.196357e-01 -9.545878e-02 2.785550e+00,-1.216064e-01 -9.544190e-02 2.785907e+00,-1.237144e-01 -9.596195e-02 2.786065e+00,-1.242448e-01 -9.592518e-02 2.785779e+00,-1.249177e-01 -9.610590e-02 2.784584e+00,-1.251209e-01 -9.614209e-02 2.784337e+00,-1.250592e-01 -9.619892e-02 2.783421e+00,-1.229267e-01 -9.729027e-02 2.779101e+00,-1.223967e-01 -9.711624e-02 2.778368e+00,-1.206293e-01 -9.775185e-02 2.775888e+00,-1.197266e-01 -9.770843e-02 2.775587e+00,-1.192888e-01 -9.776637e-02 2.775402e+00,-1.181494e-01 -9.775497e-02 2.775252e+00,-1.174600e-01 -9.769523e-02 2.775825e+00,-1.159927e-01 -9.775425e-02 2.776733e+00,-1.155737e-01 -9.807325e-02 2.777333e+00,-1.152902e-01 -9.834202e-02 2.777787e+00,-1.141404e-01 -9.880000e-02 2.778655e+00
-1.390114e-01 -3.289229e-01 2.793557e+00,-1.389674e-01 -3.296061e-01 2.791806e+00,-1.391125e-01 -3.291326e-01 2.790958e+00,-1.395876e-01 -3.295800e-01 2.789066e+00,-1.403886e-01 -3.295588e-01 2.788277e+00,-1.415140e-01 -3.295376e-01 2.787124e+00,-1.434748e-01 -3.305865e-01 2.784815e+00,-1.436729e-01 -3.307025e-01 2.784286e+00,-1.438201e-01 -3.311655e-01 2.783689e+00,-1.439322e-01 -3.311259e-01 2.783379e+00,-1.443918e-01 -3.308437e-01 2.783216e+00,-1.448147e-01 -3.296149e-01 2.782093e+00,-1.442728e-01 -3.289014e-01 2.781483e+00,-1.430715e-01 -3.272953e-01 2.779480e+00,-1.423506e-01 -3.272568e-01 2.779530e+00,-1.419733e-01 -3.271114e-01 2.779751e+00,-1.410910e-01 -3.268419e-01 2.780439e+00,-1.409534e-01 -3.268213e-01 2.780518e+00,-1.415786e-01 -3.280039e-01 2.780810e+00,-1.425597e-01 -3.294083e-01 2.779855e+00,-1.428523e-01 -3.296338e-01 2.779682e+00,-1.440571e-01 -3.303917e-01 2.779023e+00,-1.441101e-01 -3.308973e-01 2.778911e+00,-1.458277e-01 -3.331804e-01 2.777557e+00,-1.465773e-01 -3.332327e-01 2.777440e+00,-1.468244e-01 -3.331560e-01 2.777474e+00,-1.470951e-01 -3.331557e-01 2.777507e+00,-1.476490e-01 -3.328410e-01 2.777781e+00,-1.477011e-01 -3.327168e-01 2.777788e+00,-1.480782e-01 -3.322542e-01 2.778117e+00,-1.482179e-01 -3.321640e-01 2.778106e+00,-1.484006e-01 -3.321303e-01 2.777960e+00,-1.489787e-01 -3.309668e-01 2.777298e+00,-1.491740e-01 -3.312490e-01 2.776982e+00,-1.488254e-01 -3.313910e-01 2.776268e+00,-1.484854e-01 -3.323152e-01 2.775228e+00,-1.483183e-01 -3.329946e-01 2.774503e+00,-1.480911e-01 -3.334420e-01 2.774024e+00,-1.480174e-01 -3.335396e-01 2.773911e+00,-1.477918e-01 -3.334571e-01 2.773921e+00,-1.477182e-01 -3.335212e-01 2.774032e+00,-1.474209e-01 -3.334605e-01 2.774416e+00,-1.467917e-01 -3.336228e-01 2.775803e+00
-1.444642e-01 -5.178534e-01 2.716452e+00,-1.444460e-01 -5.186565e-01 2.715056e+00,-1.441355e-01 -5.180691e-01 2.713834e+00,-1.451700e-01 -5.190026e-01 2.713410e+00,-1.454874e-01 -5.189812e-01 2.712577e+00,-1.457453e-01 -5.192399e-01 2.712183e+00,-1.462616e-01 -5.209553e-01 2.711817e+00,-1.464914e-01 -5.211722e-01 2.711602e+00,-1.466988e-01 -5.215431e-01 2.710729e+00,-1.466971e-01 -5.214157e-01 2.710142e+00,-1.465069e-01 -5.207227e-01 2.708695e+00,-1.461050e-01 -5.197393e-01 2.708270e+00,-1.460001e-01 -5.191428e-01 2.708022e+00,-1.454868e-01 -5.180929e-01 2.707758e+00,-1.450501e-01 -5.181718e-01 2.708194e+00,-1.439514e-01 -5.182573e-01 2.709118e+00,-1.450551e-01 -5.186103e-01 2.711972e+00,-1.453629e-01 -5.186812e-01 2.712396e+00,-1.461985e-01 -5.201284e-01 2.713628e+00,-1.462700e-01 -5.216980e-01 2.713188e+00,-1.463576e-01 -5.219578e-01 2.713122e+00,-1.468371e-01 -5.227178e-01 2.712433e+00,-1.472622e-01 -5.229753e-01 2.711494e+00,-1.477081e-01 -5.249071e-01 2.708912e+00,-1.487249e-01 -5.240966e-01 2.705993e+00,-1.487502e-01 -5.239921e-01 2.705929e+00,-1.500218e-01 -5.238499e-01 2.705562e+00,-1.554302e-01 -5.242528e-01 2.708635e+00,-1.573488e-01 -5.244957e-01 2.710178e+00,-1.604865e-01 -5.247054e-01 2.713445e+00,-1.613607e-01 -5.247564e-01 2.714132e+00,-1.619206e-01 -5.249594e-01 2.714963e+00,-1.621853e-01 -5.241123e-01 2.715396e+00,-1.623025e-01 -5.245238e-01 2.715561e+00,-1.630756e-01 -5.245830e-01 2.714847e+00,-1.628735e-01 -5.253590e-01 2.713291e+00,-1.613401e-01 -5.260981e-01 2.712421e+00,-1.577069e-01 -5.265487e-01 2.711170e+00,-1.566984e-01 -5.266333e-01 2.710834e+00,-1.551940e-01 -5.266278e-01 2.710917e+00,-1.544344e-01 -5.266816e-01 2.710890e+00,-1.540783e-01 -5.265369e-01 2.710952e+00,-1.535260e-01 -5.263695e-01 2.711143e+00
-1.315612e-01 -5.463089e-01 2.702375e+00,-1.342321e-01 -5.490696e-01 2.702251e+00,-1.280935e-01 -5.496069e-01 2.701612e+00,-1.298761e-01 -5.508200e-01 2.703749e+00,-1.312553e-01 -5.510001e-01 2.700645e+00,-1.291579e-01 -5.648592e-01 2.699232e+00,-1.315432e-01 -5.532494e-01 2.702021e+00,-1.294829e-01 -5.678269e-01 2.695702e+00,-1.328730e-01 -5.460272e-01 2.701022e+00,-1.332515e-01 -5.437356e-01 2.701405e+00,-1.302404e-01 -5.508243e-01 2.694063e+00,-1.296197e-01 -5.500773e-01 2.694457e+00,-1.295524e-01 -5.497826e-01 2.694212e+00,-1.319000e-01 -5.495326e-01 2.697296e+00,-1.295495e-01 -5.512062e-01 2.700346e+00,-1.273000e-01 -5.514627e-01 2.702835e+00,-1.284895e-01 -5.656837e-01 2.703214e+00,-1.358448e-01 -5.535824e-01 2.705188e+00,-1.329055e-01 -5.677154e-01 2.702886e+00,-1.327210e-01 -5.685357e-01 2.701789e+00,-1.342442e-01 -5.692203e-01 2.699431e+00,-1.332408e-01 -5.707224e-01 2.698021e+00,-1.321647e-01 -5.707318e-01 2.697492e+00,-1.344303e-01 -5.470135e-01 2.694697e+00,-1.357219e-01 -5.521799e-01 2.691100e+00,-1.356046e-01 -5.537534e-01 2.693340e+00,-1.371799e-01 -5.496696e-01 2.696066e+00,-1.478741e-01 -5.487997e-01 2.705773e+00,-1.484932e-01 -5.461029e-01 2.708133e+00,-1.515867e-01 -5.588178e-01 2.710734e+00,-1.520016e-01 -5.566440e-01 2.707554e+00,-1.536782e-01 -5.573862e-01 2.711092e+00,-1.511873e-01 -5.560309e-01 2.708650e+00,-1.483788e-01 -5.540330e-01 2.709828e+00,-1.495867e-01 -5.549375e-01 2.706018e+00,-1.462374e-01 -5.418403e-01 2.707932e+00,-1.437319e-01 -5.391436e-01 2.706190e+00,-1.352886e-01 -5.708770e-01 2.701187e+00,-1.417181e-01 -5.458434e-01 2.704312e+00,-1.402578e-01 -5.427436e-01 2.707088e+00,-1.399874e-01 -5.414694e-01 2.705738e+00,-1.400486e-01 -5.394687e-01 2.710389e+00,-1.387492e-01 -5.420374e-01 2.708410e+00
1.958077e-01 -9.840022e-02 2.782116e+00,1.948526e-01 -9.923594e-02 2.781528e+00,1.947655e-01 -9.929910e-02 2.781627e+00,1.945530e-01 -9.918818e-02 2.782004e+00,1.945138e-01 -9.885163e-02 2.782633e+00,1.944627e-01 -9.750166e-02 2.783454e+00,1.938671e-01 -9.516218e-02 2.777120e+00,1.925044e-01 -9.428172e-02 2.771015e+00,1.854975e-01 -9.883260e-02 2.756033e+00,1.862257e-01 -9.754737e-02 2.754256e+00,1.626282e-01 -1.003514e-01 2.727902e+00,1.614881e-01 -1.049329e-01 2.730385e+00,1.603674e-01 -1.054327e-01 2.730916e+00,1.591664e-01 -1.025421e-01 2.730860e+00,1.583206e-01 -1.025908e-01 2.730717e+00,1.573274e-01 -1.031355e-01 2.730721e+00,1.554090e-01 -1.042478e-01 2.729815e+00,1.464018e-01 -1.069190e-01 2.721483e+00,1.488868e-01 -1.068420e-01 2.724168e+00,1.492461e-01 -1.069335e-01 2.724539e+00,1.498746e-01 -1.068155e-01 2.724937e+00,1.514884e-01 -1.071317e-01 2.726944e+00,1.403312e-01 -1.108559e-01 2.724006e+00,1.421502e-01 -1.119647e-01 2.724956e+00,1.485994e-01 -8.545781e-02 2.732481e+00,1.499071e-01 -8.477071e-02 2.733217e+00,1.510762e-01 -8.461356e-02 2.734126e+00,1.570298e-01 -8.594476e-02 2.738965e+00,1.572541e-01 -8.589397e-02 2.739155e+00,1.666824e-01 -8.921590e-02 2.746106e+00,1.684282e-01 -8.978228e-02 2.747375e+00,1.712422e-01 -9.116241e-02 2.749804e+00,1.746356e-01 -9.332713e-02 2.754334e+00,1.762561e-01 -9.487156e-02 2.757533e+00,1.790467e-01 -9.559364e-02 2.762724e+00,1.799723e-01 -9.631409e-02 2.765322e+00,1.807191e-01 -9.676072e-02 2.766891e+00,1.832249e-01 -9.702037e-02 2.770605e+00,1.844986e-01 -9.680381e-02 2.773212e+00,1.857646e-01 -9.763411e-02 2.775434e+00,1.864081e-01 -9.762190e-02 2.776317e+00,1.867545e-01 -9.808438e-02 2.776997e+00,1.873758e-01 -9.811269e-02 2.778269e+00
2.321973e-01 -3.434500e-01 2.805698e+00,2.316995e-01 -3.433841e-01 2.808501e+00,2.320975e-01 -3.415490e-01 2.815346e+00,2.370433e-01 -3.179076e-01 2.844182e+00,2.386018e-01 -2.987598e-01 2.849167e+00,2.391628e-01 -2.724980e-01 2.854269e+00,2.515578e-01 -2.793374e-01 2.702779e+00,2.554299e-01 -2.854451e-01 2.747210e+00,2.373995e-01 -2.556712e-01 2.624620e+00,2.177509e-01 -2.113877e-01 2.575417e+00,2.019846e-01 -1.658590e-01 2.526143e+00,1.550101e-01 -5.836418e-02 2.500466e+00,1.477137e-01 -1.789420e-02 2.533882e+00,1.421007e-01 6.839328e-03 2.546152e+00,1.416181e-01 5.793264e-03 2.545350e+00,1.441760e-01 4.189297e-03 2.544405e+00,1.285528e-01 -2.751427e-03 2.534419e+00,1.211963e-01 2.009346e-03 2.519144e+00,1.175020e-01 1.890298e-03 2.504718e+00,1.165227e-01 9.794906e-04 2.501725e+00,1.435055e-01 -2.052321e-02 2.527019e+00,1.469144e-01 -3.664031e-02 2.514738e+00,1.774381e-01 -6.539634e-02 2.496463e+00,1.971598e-01 -1.231475e-01 2.475327e+00,3.100383e-01 -5.290017e-02 2.500601e+00,2.798089e-01 -2.026909e-01 2.618030e+00,2.672769e-01 -2.271470e-01 2.635513e+00,2.610271e-01 -2.530130e-01 2.679309e+00,2.570155e-01 -2.619138e-01 2.691681e+00,2.566614e-01 -2.874940e-01 2.718076e+00,2.507536e-01 -2.983299e-01 2.737360e+00,2.454740e-01 -3.056920e-01 2.751904e+00,2.376151e-01 -3.247979e-01 2.775065e+00,2.322966e-01 -3.322338e-01 2.785878e+00,2.246756e-01 -3.377543e-01 2.794237e+00,2.228284e-01 -3.378952e-01 2.797094e+00,2.224113e-01 -3.384016e-01 2.798019e+00,2.220426e-01 -3.387220e-01 2.799861e+00,2.219313e-01 -3.388042e-01 2.800935e+00,2.217087e-01 -3.387319e-01 2.801993e+00,2.216382e-01 -3.388157e-01 2.802537e+00,2.215295e-01 -3.386654e-01 2.802997e+00,2.214639e-01 -3.387111e-01 2.804021e+00
2.392412e-01 -5.381889e-01 2.749200e+00,2.411868e-01 -5.368890e-01 2.747406e+00,2.407754e-01 -5.309209e-01 2.740139e+00,2.512833e-01 -4.593575e-01 2.692264e+00,2.423164e-01 -3.879980e-01 2.659077e+00,2.443293e-01 -3.034316e-01 2.645598e+00,2.147655e-01 -1.553414e-01 2.537199e+00,2.067826e-01 -1.315393e-01 2.536346e+00,1.607019e-01 -5.384438e-02 2.585023e+00,1.352341e-01 -9.152627e-03 2.538164e+00,1.109937e-01 4.782832e-02 2.481529e+00,5.277426e-02 7.417020e-02 2.376661e+00,6.041433e-02 5.785158e-02 2.358333e+00,6.545619e-02 5.633900e-02 2.341715e+00,6.454127e-02 5.386453e-02 2.355261e+00,4.463527e-02 6.394127e-02 2.327248e+00,4.068003e-02 6.239719e-02 2.331218e+00,4.496251e-02 5.852378e-02 2.331152e+00,3.188523e-02 6.150252e-02 2.321999e+00,4.557198e-02 5.214951e-02 2.310028e+00,5.577628e-02 2.855113e-02 2.342032e+00,6.476964e-02 1.786018e-02 2.328653e+00,8.066416e-02 -1.099140e-02 2.317730e+00,1.475633e-01 -9.093873e-02 2.370067e+00,1.978139e-01 -1.557768e-01 2.357275e+00,2.183452e-01 -2.052839e-01 2.401304e+00,2.557777e-01 -2.641557e-01 2.418799e+00,2.952565e-01 -3.702872e-01 2.509706e+00,3.047611e-01 -4.069482e-01 2.551126e+00,3.079364e-01 -4.664336e-01 2.633383e+00,3.023850e-01 -4.800064e-01 2.660115e+00,2.942516e-01 -4.923532e-01 2.687772e+00,2.747526e-01 -5.162646e-01 2.719507e+00,2.602820e-01 -5.257754e-01 2.732659e+00,2.429600e-01 -5.319833e-01 2.738801e+00,2.337617e-01 -5.335167e-01 2.745426e+00,2.377122e-01 -5.339653e-01 2.747617e+00,2.383534e-01 -5.337439e-01 2.747234e+00,2.375597e-01 -5.334301e-01 2.746205e+00,2.388615e-01 -5.326627e-01 2.744811e+00,2.380065e-01 -5.326807e-01 2.744779e+00,2.387577e-01 -5.324315e-01 2.745148e+00,2.393823e-01 -5.320582e-01 2.744718e+00
