3.512135e-02 -6.145602e-01 2.785888e+00,3.499829e-02 -6.157132e-01 2.786634e+00,3.490062e-02 -6.154506e-01 2.786979e+00,3.458109e-02 -6.149718e-01 2.787161e+00,3.458624e-02 -6.150093e-01 2.787239e+00,3.428338e-02 -6.156605e-01 2.787374e+00,3.260600e-02 -6.163523e-01 2.786990e+00,3.037772e-02 -6.154871e-01 2.785964e+00,2.974724e-02 -6.151735e-01 2.785634e+00,2.833402e-02 -6.147963e-01 2.784653e+00,2.654900e-02 -6.143184e-01 2.783638e+00,2.572504e-02 -6.144535e-01 2.782830e+00,2.468972e-02 -6.145145e-01 2.781080e+00,2.428551e-02 -6.149769e-01 2.780522e+00,2.347995e-02 -6.165471e-01 2.779385e+00,2.383130e-02 -6.192146e-01 2.778726e+00,2.397077e-02 -6.219314e-01 2.778471e+00,2.407770e-02 -6.271389e-01 2.777549e+00,2.329212e-02 -6.321487e-01 2.778225e+00,2.315702e-02 -6.329101e-01 2.778507e+00,2.282785e-02 -6.331278e-01 2.778493e+00,2.155353e-02 -6.345938e-01 2.778201e+00,2.112106e-02 -6.347836e-01 2.778012e+00,1.946204e-02 -6.349576e-01 2.777367e+00,1.931887e-02 -6.349258e-01 2.777052e+00,1.878502e-02 -6.344755e-01 2.776161e+00,1.888116e-02 -6.346115e-01 2.773999e+00,1.889945e-02 -6.345218e-01 2.773646e+00,1.971776e-02 -6.341556e-01 2.772134e+00,1.956277e-02 -6.321294e-01 2.770832e+00,1.971616e-02 -6.315624e-01 2.770390e+00,2.035580e-02 -6.272110e-01 2.769016e+00,2.013872e-02 -6.209644e-01 2.766967e+00,2.063207e-02 -6.191017e-01 2.766256e+00,2.026975e-02 -6.162090e-01 2.764459e+00,2.218310e-02 -6.153713e-01 2.764060e+00,2.227922e-02 -6.154813e-01 2.763919e+00,2.398197e-02 -6.147265e-01 2.762882e+00,2.551889e-02 -6.142986e-01 2.762617e+00,2.658116e-02 -6.139995e-01 2.762612e+00,2.732629e-02 -6.137803e-01 2.762722e+00,2.828602e-02 -6.133887e-01 2.762496e+00,2.916479e-02 -6.137957e-01 2.762625e+00,3.190408e-02 -6.145776e-01 2.763058e+00,3.206125e-02 -6.146879e-01 2.763094e+00,3.451240e-02 -6.150433e-01 2.763828e+00,3.543681e-02 -6.149077e-01 2.764403e+00,3.671257e-02 -6.151037e-01 2.764933e+00,3.787917e-02 -6.152541e-01 2.765112e+00
3.897079e-02 -3.294027e-01 2.800301e+00,3.870532e-02 -3.294985e-01 2.800859e+00,3.872970e-02 -3.293381e-01 2.801405e+00,3.807968e-02 -3.290531e-01 2.802065e+00,3.787845e-02 -3.290010e-01 2.801821e+00,3.773827e-02 -3.294191e-01 2.801845e+00,3.728010e-02 -3.293421e-01 2.801711e+00,3.667859e-02 -3.293347e-01 2.801119e+00,3.667674e-02 -3.291060e-01 2.800922e+00,3.649305e-02 -3.289175e-01 2.800209e+00,3.536750e-02 -3.285924e-01 2.798392e+00,3.544570e-02 -3.284525e-01 2.797997e+00,3.504448e-02 -3.280562e-01 2.796592e+00,3.427096e-02 -3.282926e-01 2.795610e+00,3.428147e-02 -3.280325e-01 2.795541e+00,3.418623e-02 -3.281531e-01 2.795468e+00,3.286408e-02 -3.294595e-01 2.794761e+00,3.096622e-02 -3.309898e-01 2.793455e+00,2.859660e-02 -3.340179e-01 2.794851e+00,2.803196e-02 -3.344364e-01 2.795139e+00,2.739521e-02 -3.349173e-01 2.794611e+00,2.572387e-02 -3.361166e-01 2.794514e+00,2.550782e-02 -3.361552e-01 2.794491e+00,2.464150e-02 -3.364434e-01 2.793132e+00,2.419526e-02 -3.362876e-01 2.792782e+00,2.405471e-02 -3.359547e-01 2.792173e+00,2.434459e-02 -3.360592e-01 2.790317e+00,2.454183e-02 -3.362079e-01 2.789512e+00,2.570514e-02 -3.358199e-01 2.787515e+00,2.619330e-02 -3.350123e-01 2.786469e+00,2.650029e-02 -3.350663e-01 2.785763e+00,2.837875e-02 -3.331183e-01 2.783320e+00,3.090862e-02 -3.317133e-01 2.780907e+00,3.078327e-02 -3.310735e-01 2.780608e+00,3.165372e-02 -3.292347e-01 2.778393e+00,3.230580e-02 -3.287739e-01 2.778146e+00,3.269824e-02 -3.286665e-01 2.777558e+00,3.391709e-02 -3.281038e-01 2.776197e+00,3.495940e-02 -3.278055e-01 2.775988e+00,3.558876e-02 -3.276294e-01 2.775823e+00,3.670833e-02 -3.274411e-01 2.775847e+00,3.733400e-02 -3.274164e-01 2.775723e+00,3.782868e-02 -3.276817e-01 2.775645e+00,3.969330e-02 -3.277591e-01 2.776191e+00,3.960425e-02 -3.278478e-01 2.776378e+00,4.019218e-02 -3.282405e-01 2.776302e+00,4.076493e-02 -3.282494e-01 2.776617e+00,4.170604e-02 -3.284724e-01 2.776814e+00,4.274731e-02 -3.287152e-01 2.776690e+00
4.223016e-02 -4.900702e-02 2.802319e+00,4.162517e-02 -4.814776e-02 2.803130e+00,4.187461e-02 -4.809856e-02 2.803853e+00,4.081515e-02 -4.801664e-02 2.805052e+00,3.988319e-02 -4.752460e-02 2.803274e+00,3.992365e-02 -4.779377e-02 2.803262e+00,4.004332e-02 -4.737014e-02 2.803222e+00,4.073708e-02 -4.796012e-02 2.802636e+00,4.180603e-02 -4.742817e-02 2.802408e+00,4.275043e-02 -4.731307e-02 2.801599e+00,4.235547e-02 -4.695842e-02 2.799213e+00,4.391371e-02 -4.635751e-02 2.798855e+00,4.409336e-02 -4.545929e-02 2.797885e+00,4.314166e-02 -4.549516e-02 2.796783e+00,4.412005e-02 -4.330032e-02 2.798077e+00,4.349827e-02 -4.237447e-02 2.798246e+00,3.982877e-02 -4.265412e-02 2.796889e+00,3.542697e-02 -4.125651e-02 2.794919e+00,3.208204e-02 -4.248001e-02 2.797823e+00,3.113060e-02 -4.236401e-02 2.798311e+00,3.046343e-02 -4.286693e-02 2.797145e+00,2.888576e-02 -4.340486e-02 2.797506e+00,2.880776e-02 -4.332030e-02 2.797598e+00,2.873073e-02 -4.349702e-02 2.795531e+00,2.797388e-02 -4.307472e-02 2.795240e+00,2.818925e-02 -4.274683e-02 2.794835e+00,2.886938e-02 -4.269882e-02 2.793233e+00,2.949540e-02 -4.323484e-02 2.791861e+00,3.127036e-02 -4.260844e-02 2.789545e+00,3.244737e-02 -4.249510e-02 2.788491e+00,3.317059e-02 -4.360308e-02 2.787173e+00,3.697685e-02 -4.338195e-02 2.783380e+00,4.307888e-02 -4.597468e-02 2.779856e+00,4.229886e-02 -4.593925e-02 2.779956e+00,4.365479e-02 -4.564311e-02 2.778261e+00,4.364906e-02 -4.558049e-02 2.778241e+00,4.416489e-02 -4.524835e-02 2.777283e+00,4.444511e-02 -4.524102e-02 2.776018e+00,4.494618e-02 -4.520188e-02 2.775974e+00,4.514362e-02 -4.518711e-02 2.775823e+00,4.641922e-02 -4.519048e-02 2.775815e+00,4.675071e-02 -4.551918e-02 2.775809e+00,4.693722e-02 -4.573712e-02 2.775649e+00,4.792070e-02 -4.544259e-02 2.776318e+00,4.698038e-02 -4.561524e-02 2.777163e+00,4.675783e-02 -4.635288e-02 2.776548e+00,4.691239e-02 -4.640284e-02 2.776618e+00,4.738756e-02 -4.659331e-02 2.776532e+00,4.821082e-02 -4.690557e-02 2.776015e+00
4.974951e-02 5.744483e-02 2.815256e+00,4.953403e-02 5.771219e-02 2.816421e+00,4.938032e-02 5.807971e-02 2.816600e+00,4.948713e-02 5.812098e-02 2.816687e+00,4.932418e-02 5.742151e-02 2.816890e+00,4.896914e-02 5.824083e-02 2.816697e+00,5.011790e-02 5.903180e-02 2.815721e+00,5.343577e-02 5.873099e-02 2.814648e+00,5.565949e-02 6.079674e-02 2.814363e+00,5.726328e-02 6.052280e-02 2.813655e+00,5.889378e-02 5.974004e-02 2.813746e+00,5.924427e-02 5.975581e-02 2.813441e+00,5.927866e-02 6.027062e-02 2.813079e+00,5.786606e-02 6.239491e-02 2.812510e+00,5.540656e-02 6.277875e-02 2.813255e+00,5.432067e-02 6.334157e-02 2.813936e+00,5.316813e-02 6.304516e-02 2.815336e+00,5.206867e-02 6.462483e-02 2.815968e+00,4.937118e-02 6.304583e-02 2.818271e+00,4.748072e-02 6.226562e-02 2.819824e+00,4.341501e-02 6.202858e-02 2.821700e+00,4.016398e-02 6.033634e-02 2.820321e+00,3.982415e-02 6.018013e-02 2.820237e+00,3.827116e-02 6.190544e-02 2.816497e+00,3.885560e-02 6.377110e-02 2.814050e+00,3.864832e-02 6.372660e-02 2.811907e+00,3.868705e-02 6.420760e-02 2.809572e+00,3.937985e-02 6.350130e-02 2.808379e+00,3.979005e-02 6.393585e-02 2.804563e+00,3.990513e-02 6.426919e-02 2.803839e+00,4.099219e-02 6.409272e-02 2.800863e+00,4.147901e-02 6.573866e-02 2.797632e+00,4.192325e-02 6.526352e-02 2.794267e+00,4.198237e-02 6.560279e-02 2.792578e+00,4.295561e-02 6.625338e-02 2.789903e+00,4.287420e-02 6.640337e-02 2.788715e+00,4.282863e-02 6.645476e-02 2.787600e+00,4.383517e-02 6.672817e-02 2.786005e+00,4.428058e-02 6.683710e-02 2.785395e+00,4.428596e-02 6.688523e-02 2.785049e+00,4.490487e-02 6.650690e-02 2.784946e+00,4.651480e-02 6.631406e-02 2.784383e+00,4.839331e-02 6.539518e-02 2.784343e+00,4.949253e-02 6.586917e-02 2.784363e+00,5.009735e-02 6.575952e-02 2.783996e+00,5.215824e-02 6.489631e-02 2.783339e+00,5.211346e-02 6.525478e-02 2.783154e+00,5.241435e-02 6.531419e-02 2.783081e+00,5.343346e-02 6.527829e-02 2.782481e+00
-1.113064e-01 -1.552483e-01 2.778995e+00,-1.115590e-01 -1.545170e-01 2.779865e+00,-1.119912e-01 -1.546113e-01 2.780326e+00,-1.124102e-01 -1.546977e-01 2.780680e+00,-1.124659e-01 -1.545548e-01 2.780645e+00,-1.126167e-01 -1.544704e-01 2.780611e+00,-1.123192e-01 -1.534997e-01 2.779240e+00,-1.119439e-01 -1.521220e-01 2.776589e+00,-1.103141e-01 -1.515178e-01 2.775742e+00,-1.103455e-01 -1.513608e-01 2.774329e+00,-1.068951e-01 -1.496429e-01 2.771055e+00,-1.066371e-01 -1.495383e-01 2.770558e+00,-1.065605e-01 -1.492656e-01 2.770058e+00,-1.065880e-01 -1.492420e-01 2.769991e+00,-1.068429e-01 -1.494147e-01 2.770173e+00,-1.066687e-01 -1.499377e-01 2.770658e+00,-1.071261e-01 -1.501714e-01 2.771862e+00,-1.073311e-01 -1.517432e-01 2.774516e+00,-1.063167e-01 -1.533416e-01 2.776253e+00,-1.077625e-01 -1.554918e-01 2.782806e+00,-1.108715e-01 -1.597015e-01 2.788656e+00,-1.146059e-01 -1.582157e-01 2.789779e+00,-1.148567e-01 -1.595965e-01 2.791397e+00,-1.154863e-01 -1.580012e-01 2.788080e+00,-1.157453e-01 -1.577753e-01 2.787278e+00,-1.163929e-01 -1.559794e-01 2.790725e+00,-1.165922e-01 -1.574163e-01 2.787122e+00,-1.166870e-01 -1.573712e-01 2.784261e+00,-1.155879e-01 -1.568508e-01 2.779483e+00,-1.150826e-01 -1.569657e-01 2.778788e+00,-1.143731e-01 -1.566890e-01 2.777191e+00,-1.125003e-01 -1.556585e-01 2.774149e+00,-1.109692e-01 -1.544594e-01 2.769789e+00,-1.107472e-01 -1.546934e-01 2.768677e+00,-1.106109e-01 -1.545676e-01 2.767251e+00,-1.096527e-01 -1.540949e-01 2.764791e+00,-1.092217e-01 -1.538884e-01 2.763383e+00,-1.086565e-01 -1.545857e-01 2.760386e+00,-1.087661e-01 -1.545303e-01 2.759845e+00,-1.088605e-01 -1.544572e-01 2.759612e+00,-1.088244e-01 -1.544377e-01 2.759428e+00,-1.088160e-01 -1.542147e-01 2.759038e+00,-1.086880e-01 -1.541534e-01 2.758881e+00,-1.082687e-01 -1.536313e-01 2.758752e+00,-1.082603e-01 -1.536240e-01 2.758749e+00,-1.087315e-01 -1.536014e-01 2.758919e+00,-1.087367e-01 -1.534574e-01 2.758901e+00,-1.086432e-01 -1.535197e-01 2.758766e+00,-1.087541e-01 -1.532526e-01 2.758712e+00
-1.508542e-01 -3.981838e-01 2.776640e+00,-1.518224e-01 -3.953657e-01 2.778412e+00,-1.519867e-01 -3.954466e-01 2.778580e+00,-1.524440e-01 -3.958115e-01 2.778471e+00,-1.526280e-01 -3.957775e-01 2.778368e+00,-1.527918e-01 -3.958378e-01 2.778091e+00,-1.532084e-01 -3.958938e-01 2.776881e+00,-1.548040e-01 -3.936791e-01 2.774514e+00,-1.554234e-01 -3.860146e-01 2.773931e+00,-1.555267e-01 -3.852574e-01 2.773240e+00,-1.553245e-01 -3.837594e-01 2.771434e+00,-1.557255e-01 -3.869057e-01 2.769147e+00,-1.558074e-01 -3.862259e-01 2.768144e+00,-1.557601e-01 -3.868288e-01 2.767796e+00,-1.556353e-01 -3.893184e-01 2.766435e+00,-1.551190e-01 -3.919354e-01 2.765681e+00,-1.549819e-01 -3.926164e-01 2.766114e+00,-1.535277e-01 -3.948714e-01 2.766536e+00,-1.519511e-01 -3.978763e-01 2.768492e+00,-1.503375e-01 -4.005147e-01 2.770818e+00,-1.493532e-01 -4.032922e-01 2.774460e+00,-1.476950e-01 -4.061081e-01 2.781035e+00,-1.469799e-01 -4.068363e-01 2.783834e+00,-1.462970e-01 -4.074714e-01 2.788872e+00,-1.461210e-01 -4.073072e-01 2.790691e+00,-1.467205e-01 -4.069298e-01 2.792023e+00,-1.479810e-01 -4.064065e-01 2.793099e+00,-1.498929e-01 -4.053588e-01 2.794266e+00,-1.527457e-01 -4.058236e-01 2.793021e+00,-1.535134e-01 -4.053142e-01 2.792358e+00,-1.538748e-01 -4.050647e-01 2.791605e+00,-1.543715e-01 -4.029766e-01 2.785387e+00,-1.527448e-01 -4.012993e-01 2.778893e+00,-1.521634e-01 -4.009846e-01 2.776048e+00,-1.502549e-01 -3.977384e-01 2.772416e+00,-1.500719e-01 -3.986213e-01 2.769790e+00,-1.502986e-01 -3.994848e-01 2.767443e+00,-1.499858e-01 -3.999055e-01 2.764537e+00,-1.503645e-01 -4.000933e-01 2.761707e+00,-1.502972e-01 -4.001080e-01 2.761322e+00,-1.503824e-01 -4.000800e-01 2.760996e+00,-1.506806e-01 -3.996926e-01 2.760069e+00,-1.506955e-01 -3.996998e-01 2.759633e+00,-1.507853e-01 -3.994291e-01 2.759450e+00,-1.508001e-01 -3.991292e-01 2.759277e+00,-1.505397e-01 -3.994496e-01 2.758810e+00,-1.503499e-01 -3.996684e-01 2.758695e+00,-1.501865e-01 -4.000296e-01 2.758360e+00,-1.494323e-01 -3.978839e-01 2.758541e+00
-1.551410e-01 -5.924061e-01 2.699690e+00,-1.556836e-01 -5.894004e-01 2.700849e+00,-1.559541e-01 -5.894743e-01 2.701005e+00,-1.566000e-01 -5.898322e-01 2.700849e+00,-1.562510e-01 -5.898765e-01 2.700939e+00,-1.558909e-01 -5.900608e-01 2.700955e+00,-1.570228e-01 -5.899779e-01 2.699439e+00,-1.577454e-01 -5.884500e-01 2.699039e+00,-1.578973e-01 -5.816597e-01 2.701043e+00,-1.598877e-01 -5.806699e-01 2.699730e+00,-1.607816e-01 -5.793497e-01 2.698561e+00,-1.619814e-01 -5.824471e-01 2.696243e+00,-1.617883e-01 -5.816694e-01 2.694893e+00,-1.614785e-01 -5.819821e-01 2.693619e+00,-1.610189e-01 -5.841843e-01 2.691373e+00,-1.608408e-01 -5.864267e-01 2.689551e+00,-1.606015e-01 -5.865201e-01 2.688250e+00,-1.577455e-01 -5.874132e-01 2.684754e+00,-1.566666e-01 -5.890952e-01 2.683271e+00,-1.562817e-01 -5.906301e-01 2.682930e+00,-1.565140e-01 -5.915985e-01 2.682371e+00,-1.484693e-01 -6.106051e-01 2.691401e+00,-1.567084e-01 -6.007969e-01 2.706807e+00,-1.594769e-01 -6.014993e-01 2.712681e+00,-1.638718e-01 -6.019362e-01 2.717482e+00,-1.667083e-01 -6.022673e-01 2.721807e+00,-1.718697e-01 -6.024308e-01 2.726763e+00,-1.747135e-01 -6.017614e-01 2.729715e+00,-1.757000e-01 -6.026273e-01 2.729116e+00,-1.760657e-01 -6.014588e-01 2.725872e+00,-1.760402e-01 -6.007401e-01 2.723321e+00,-1.706408e-01 -5.974917e-01 2.711364e+00,-1.673810e-01 -5.943737e-01 2.700167e+00,-1.664280e-01 -5.937930e-01 2.696482e+00,-1.607302e-01 -5.893148e-01 2.688762e+00,-1.597708e-01 -5.905206e-01 2.686889e+00,-1.590306e-01 -5.913363e-01 2.684293e+00,-1.587054e-01 -5.922866e-01 2.682816e+00,-1.572371e-01 -5.934147e-01 2.682381e+00,-1.564931e-01 -5.933132e-01 2.681597e+00,-1.574526e-01 -5.932230e-01 2.681187e+00,-1.572402e-01 -5.930363e-01 2.680768e+00,-1.576384e-01 -5.930434e-01 2.680372e+00,-1.563561e-01 -5.926872e-01 2.679809e+00,-1.566952e-01 -5.924600e-01 2.679868e+00,-1.568285e-01 -5.927087e-01 2.679239e+00,-1.564848e-01 -5.929989e-01 2.679313e+00,-1.567661e-01 -5.934612e-01 2.679315e+00,-1.570424e-01 -5.914659e-01 2.680016e+00
-1.464390e-01 -6.128482e-01 2.696686e+00,-1.460892e-01 -6.132885e-01 2.695250e+00,-1.460984e-01 -6.134332e-01 2.696826e+00,-1.461512e-01 -6.120818e-01 2.694193e+00,-1.462065e-01 -6.122231e-01 2.694986e+00,-1.464237e-01 -6.112688e-01 2.694686e+00,-1.469364e-01 -6.127775e-01 2.692374e+00,-1.496458e-01 -6.105415e-01 2.690752e+00,-1.510471e-01 -6.108513e-01 2.689222e+00,-1.520808e-01 -6.096541e-01 2.688699e+00,-1.521437e-01 -6.095690e-01 2.685581e+00,-1.519289e-01 -6.090050e-01 2.684438e+00,-1.495440e-01 -6.088161e-01 2.683728e+00,-1.485528e-01 -6.097853e-01 2.683721e+00,-1.480164e-01 -6.102710e-01 2.681866e+00,-1.480386e-01 -6.090915e-01 2.678253e+00,-1.474851e-01 -6.094974e-01 2.677051e+00,-1.448197e-01 -6.061170e-01 2.676651e+00,-1.450057e-01 -6.067521e-01 2.679094e+00,-1.456232e-01 -6.091134e-01 2.680095e+00,-1.443125e-01 -6.082133e-01 2.683379e+00,-1.460613e-01 -6.304909e-01 2.682698e+00,-1.435008e-01 -6.132057e-01 2.699828e+00,-1.469240e-01 -6.190140e-01 2.712052e+00,-1.536892e-01 -6.198998e-01 2.715832e+00,-1.559123e-01 -6.205664e-01 2.721728e+00,-1.653902e-01 -6.437967e-01 2.722108e+00,-1.685113e-01 -6.422997e-01 2.720396e+00,-1.663543e-01 -6.426731e-01 2.717633e+00,-1.655454e-01 -6.422527e-01 2.710407e+00,-1.641290e-01 -6.399404e-01 2.706486e+00,-1.588852e-01 -6.133767e-01 2.697450e+00,-1.523432e-01 -6.096088e-01 2.687047e+00,-1.504592e-01 -6.085003e-01 2.683298e+00,-1.445016e-01 -6.066936e-01 2.676099e+00,-1.440382e-01 -6.076269e-01 2.674734e+00,-1.452031e-01 -6.073255e-01 2.673790e+00,-1.460299e-01 -6.083902e-01 2.673944e+00,-1.449775e-01 -6.105277e-01 2.677708e+00,-1.455425e-01 -6.110303e-01 2.675976e+00,-1.458986e-01 -6.098583e-01 2.675951e+00,-1.461668e-01 -6.078067e-01 2.677636e+00,-1.466656e-01 -6.070939e-01 2.675364e+00,-1.449967e-01 -6.075889e-01 2.677114e+00,-1.469773e-01 -6.052260e-01 2.677031e+00,-1.466891e-01 -6.043195e-01 2.677160e+00,-1.455882e-01 -6.045687e-01 2.678121e+00,-1.456517e-01 -6.064827e-01 2.675589e+00,-1.461928e-01 -6.069238e-01 2.676077e+00
1.866887e-01 -1.618464e-01 2.795739e+00,1.861285e-01 -1.614814e-01 2.796036e+00,1.859325e-01 -1.614179e-01 2.796656e+00,1.856416e-01 -1.610745e-01 2.797084e+00,1.853804e-01 -1.609011e-01 2.796964e+00,1.848505e-01 -1.610925e-01 2.796580e+00,1.846790e-01 -1.613513e-01 2.796996e+00,1.851056e-01 -1.616153e-01 2.799444e+00,1.858970e-01 -1.615122e-01 2.800863e+00,1.865120e-01 -1.621875e-01 2.801537e+00,1.863474e-01 -1.615096e-01 2.799134e+00,1.856289e-01 -1.617958e-01 2.794991e+00,1.812280e-01 -1.685291e-01 2.779948e+00,1.793330e-01 -1.712947e-01 2.776684e+00,1.791090e-01 -1.720269e-01 2.773362e+00,1.769621e-01 -1.746132e-01 2.771085e+00,1.705809e-01 -1.849964e-01 2.761711e+00,1.592786e-01 -1.976487e-01 2.749897e+00,1.567095e-01 -1.999592e-01 2.744918e+00,1.546142e-01 -2.006792e-01 2.743230e+00,1.513848e-01 -2.004879e-01 2.741181e+00,1.484729e-01 -1.995000e-01 2.738076e+00,1.484397e-01 -1.993930e-01 2.737519e+00,1.486167e-01 -1.996256e-01 2.736369e+00,1.400726e-01 -2.018019e-01 2.718166e+00,1.427585e-01 -2.029063e-01 2.721710e+00,1.446304e-01 -2.022125e-01 2.725166e+00,1.468261e-01 -2.025030e-01 2.726713e+00,1.539938e-01 -1.991550e-01 2.728100e+00,1.573471e-01 -1.939760e-01 2.729429e+00,1.598110e-01 -1.887002e-01 2.731655e+00,1.685325e-01 -1.716552e-01 2.734725e+00,1.734915e-01 -1.653095e-01 2.738109e+00,1.846240e-01 -1.651855e-01 2.746816e+00,1.878487e-01 -1.658839e-01 2.750191e+00,1.890670e-01 -1.652546e-01 2.752596e+00,1.892712e-01 -1.645748e-01 2.753479e+00,1.899076e-01 -1.627255e-01 2.756200e+00,1.877954e-01 -1.625510e-01 2.757169e+00,1.888395e-01 -1.618891e-01 2.759130e+00,1.893266e-01 -1.621362e-01 2.760266e+00,1.898188e-01 -1.629605e-01 2.761802e+00,1.903731e-01 -1.633433e-01 2.762799e+00,1.904477e-01 -1.633547e-01 2.762923e+00,1.904534e-01 -1.635047e-01 2.763006e+00,1.906399e-01 -1.635150e-01 2.763241e+00,1.906897e-01 -1.632344e-01 2.763325e+00,1.907132e-01 -1.627067e-01 2.763431e+00,1.909646e-01 -1.628737e-01 2.763733e+00
2.228853e-01 -4.022961e-01 2.808671e+00,2.223797e-01 -4.027402e-01 2.809727e+00,2.220952e-01 -4.017065e-01 2.810397e+00,2.218225e-01 -4.027745e-01 2.811514e+00,2.214841e-01 -4.016246e-01 2.812669e+00,2.212617e-01 -3.991125e-01 2.815796e+00,2.200297e-01 -3.901586e-01 2.828406e+00,2.158416e-01 -3.715523e-01 2.841384e+00,2.157548e-01 -3.637325e-01 2.842154e+00,2.154856e-01 -3.594613e-01 2.839496e+00,2.567032e-01 -3.480052e-01 2.860620e+00,2.550767e-01 -3.561445e-01 2.827037e+00,2.905347e-01 -3.428122e-01 2.750764e+00,2.948363e-01 -3.263126e-01 2.688789e+00,2.816859e-01 -2.735760e-01 2.610467e+00,2.618825e-01 -2.485121e-01 2.582891e+00,2.015956e-01 -1.698103e-01 2.534910e+00,1.698228e-01 -1.323572e-01 2.490458e+00,1.338490e-01 -2.470550e-01 2.489433e+00,1.294931e-01 -2.323810e-01 2.485376e+00,1.266068e-01 -2.273193e-01 2.483591e+00,1.398890e-01 -1.069371e-01 2.459436e+00,1.966149e-01 -1.725484e-01 2.448963e+00,1.469079e-01 -1.115018e-01 2.456139e+00,2.042909e-01 -1.297497e-01 2.519895e+00,1.780536e-01 -1.495948e-01 2.452909e+00,1.920286e-01 -1.604550e-01 2.463070e+00,1.968741e-01 -1.718218e-01 2.464787e+00,2.170691e-01 -2.121868e-01 2.505320e+00,2.162962e-01 -2.208659e-01 2.512910e+00,2.365969e-01 -2.647610e-01 2.540626e+00,2.538669e-01 -3.193144e-01 2.602800e+00,2.496440e-01 -3.329953e-01 2.629035e+00,2.649600e-01 -3.513213e-01 2.692416e+00,2.531955e-01 -3.604577e-01 2.713200e+00,2.471898e-01 -3.623837e-01 2.752734e+00,2.501484e-01 -3.557889e-01 2.783573e+00,2.503982e-01 -3.584062e-01 2.795461e+00,2.499653e-01 -3.693287e-01 2.807620e+00,2.474055e-01 -3.711571e-01 2.809311e+00,2.410466e-01 -3.867697e-01 2.808603e+00,2.346201e-01 -4.007996e-01 2.803972e+00,2.330839e-01 -4.027576e-01 2.802631e+00,2.302225e-01 -4.041319e-01 2.801189e+00,2.291300e-01 -4.048949e-01 2.799881e+00,2.277876e-01 -4.049273e-01 2.798069e+00,2.274782e-01 -4.054727e-01 2.797614e+00,2.271036e-01 -4.054876e-01 2.797297e+00,2.264912e-01 -4.057727e-01 2.795583e+00
2.180077e-01 -5.941168e-01 2.725035e+00,2.172441e-01 -5.942156e-01 2.725204e+00,2.171301e-01 -5.931740e-01 2.725833e+00,2.163056e-01 -5.934851e-01 2.725013e+00,2.173489e-01 -5.914824e-01 2.723965e+00,2.185953e-01 -5.868303e-01 2.721956e+00,2.462130e-01 -5.400928e-01 2.680005e+00,2.634078e-01 -4.196125e-01 2.636892e+00,2.614672e-01 -3.597378e-01 2.631213e+00,2.614780e-01 -2.893841e-01 2.640708e+00,2.533917e-01 -2.194506e-01 2.688136e+00,2.488153e-01 -1.900206e-01 2.692485e+00,2.133523e-01 -1.517229e-01 2.709464e+00,1.757885e-01 -9.515722e-02 2.613685e+00,1.606066e-01 -1.039466e-01 2.597695e+00,1.301863e-01 -9.491181e-02 2.522981e+00,1.356997e-01 -9.627244e-02 2.452351e+00,1.282202e-01 -9.826003e-02 2.390230e+00,9.211411e-02 -1.504558e-01 2.220872e+00,9.458431e-02 -1.488158e-01 2.217313e+00,1.068143e-01 -1.346166e-01 2.271015e+00,1.095451e-01 -8.561099e-02 2.246426e+00,1.327001e-01 -1.077512e-01 2.280719e+00,1.152403e-01 -8.689293e-02 2.243685e+00,1.438271e-01 -9.905270e-02 2.314745e+00,1.394031e-01 -1.068426e-01 2.318700e+00,1.229896e-01 -8.185713e-02 2.274500e+00,1.499123e-01 -1.183754e-01 2.365554e+00,1.211348e-01 -9.241077e-02 2.355448e+00,1.150051e-01 -9.441857e-02 2.372836e+00,1.246130e-01 -1.222456e-01 2.428285e+00,1.841267e-01 -2.293431e-01 2.522045e+00,1.904697e-01 -2.770649e-01 2.559824e+00,1.491786e-01 -2.740860e-01 2.528476e+00,2.004560e-01 -3.512237e-01 2.604741e+00,1.646603e-01 -3.954445e-01 2.556360e+00,1.794033e-01 -4.566037e-01 2.608073e+00,1.964355e-01 -5.253116e-01 2.677278e+00,2.060911e-01 -5.440481e-01 2.697767e+00,2.259365e-01 -5.567979e-01 2.713146e+00,2.331073e-01 -5.741860e-01 2.714301e+00,2.442762e-01 -5.946935e-01 2.726744e+00,2.465001e-01 -5.988826e-01 2.733171e+00,2.459634e-01 -6.025763e-01 2.740950e+00,2.460229e-01 -6.042206e-01 2.743817e+00,2.460903e-01 -6.050502e-01 2.746354e+00,2.460306e-01 -6.056753e-01 2.746428e+00,2.454736e-01 -6.058028e-01 2.746593e+00,2.444979e-01 -6.060150e-01 2.744339e+00
