File Name	Subject Description	Motion Description	KeyWords	Number of Frames	Frame Rate	Length (s)
01_01.amc	climb, swing, hang on playground equipment	playground - forward jumps, turn around	['jump', 'turn']	1145	120	9.541666666666666
01_02.amc	climb, swing, hang on playground equipment	playground - climb	['climb']	1810	120	15.083333333333334
01_03.amc	climb, swing, hang on playground equipment	playground - climb, hang, swing	['climb']	1878	120	15.65
01_04.amc	climb, swing, hang on playground equipment	playground - climb	['climb']	1790	120	14.916666666666666
01_05.amc	climb, swing, hang on playground equipment	playground - climb, go under	['climb']	1822	120	15.183333333333334
01_06.amc	climb, swing, hang on playground equipment	playground - climb, sit, dangle legs, descend	['climb', 'sit']	2138	120	17.816666666666666
01_07.amc	climb, swing, hang on playground equipment	playground - climb, sit, dangle legs, jump down	['climb', 'jump', 'sit']	2015	120	16.791666666666668
01_08.amc	climb, swing, hang on playground equipment	playground - climb, sit, dangle legs, rock back, lower self to ground	['climb', 'sit']	1087	120	9.058333333333334
01_09.amc	climb, swing, hang on playground equipment	playground - climb, hang, hold self up with arms straight, swing, drop, sit, dangle legs, go under	['climb', 'sit']	1767	120	14.725
01_10.amc	climb, swing, hang on playground equipment	playground - climb, swing, lean back, drop	['climb']	1360	120	11.333333333333334
01_11.amc	climb, swing, hang on playground equipment	playground - climb, hang, lean over, jump down	['climb', 'jump']	1938	120	16.15
01_12.amc	climb, swing, hang on playground equipment	playground - climb, pull up, dangle, sit, lower self to ground	['climb', 'sit']	1711	120	14.258333333333333
01_13.amc	climb, swing, hang on playground equipment	playground - climb, go under, jump down	['climb', 'jump']	1410	120	11.75
01_14.amc	climb, swing, hang on playground equipment	playground - climb, jump down, dangle, legs push off against	['climb', 'jump']	973	120	8.108333333333333
02_01.amc	various expressions and human behaviors	walk	['walk']	142	120	1.1833333333333333
02_02.amc	various expressions and human behaviors	walk	['walk']	123	120	1.025
02_03.amc	various expressions and human behaviors	run/jog	['run']	71	120	0.5916666666666667
02_04.amc	various expressions and human behaviors	jump, balance	['jump']	200	120	1.6666666666666667
02_05.amc	various expressions and human behaviors	punch/strike	['punch']	772	120	6.433333333333334
02_06.amc	various expressions and human behaviors	bend over, scoop up, rise, lift arm	[]	930	120	7.75
02_07.amc	various expressions and human behaviors	swordplay	[]	937	120	7.808333333333334
02_08.amc	various expressions and human behaviors	swordplay	[]	624	120	5.2
02_09.amc	various expressions and human behaviors	swordplay	[]	430	120	3.5833333333333335
02_10.amc	various expressions and human behaviors	wash self	[]	1101	120	9.175
03_01.amc	walk on uneven terrain	walk on uneven terrain	['walk']	179	120	1.4916666666666667
03_02.amc	walk on uneven terrain	walk on uneven terrain	['walk']	151	120	1.2583333333333333
03_03.amc	walk on uneven terrain	walk on uneven terrain	['walk']	1900	120	15.833333333333334
